進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),114年6月,841459,其他, Other,23575
出口總值(含復出口),114年6月,841950,熱交換器, Heat exchange units,6073
出口總值(含復出口),114年6月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,6053503
出口總值(含復出口),114年6月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1927545
出口總值(含復出口),114年6月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,9902
出口總值(含復出口),114年6月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,93610
出口總值(含復出口),114年6月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,163521
出口總值(含復出口),114年6月,848690,零件及附件, Parts and accessories,208529
出口總值(含復出口),114年6月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,11607
出口總值(含復出口),114年6月,850440,靜電式變流器, Static converters,232277
出口總值(含復出口),114年6月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,970353
出口總值(含復出口),114年6月,853400,印刷電路, Printed circuit,405954
出口總值(含復出口),114年6月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,78894
出口總值(含復出口),114年6月,854149,其他, Other,20902
出口總值(含復出口),114年6月,854232,記憶體, Memories,2338157
出口總值(含復出口),114年6月,854470,光纖電纜, Optical fibre cables,6035
出口總值(含復出口),114年6月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1003
出口總值(含復出口),114年7月,841459,其他, Other,27052
出口總值(含復出口),114年7月,841950,熱交換器, Heat exchange units,11844
出口總值(含復出口),114年7月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,4894907
出口總值(含復出口),114年7月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,7767338
出口總值(含復出口),114年7月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7907
出口總值(含復出口),114年7月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,93008
出口總值(含復出口),114年7月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,218281
出口總值(含復出口),114年7月,848690,零件及附件, Parts and accessories,222148
出口總值(含復出口),114年7月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,12553
出口總值(含復出口),114年7月,850440,靜電式變流器, Static converters,210931
出口總值(含復出口),114年7月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,1026265
出口總值(含復出口),114年7月,853400,印刷電路, Printed circuit,471272
出口總值(含復出口),114年7月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,70167
出口總值(含復出口),114年7月,854149,其他, Other,18290
出口總值(含復出口),114年7月,854232,記憶體, Memories,2427706
出口總值(含復出口),114年7月,854470,光纖電纜, Optical fibre cables,6256
出口總值(含復出口),114年7月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1107
出口總值(含復出口),114年8月,841459,其他, Other,24985
