進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),113年1月,841459,其他, Other,25687
出口總值(含復出口),113年1月,841950,熱交換器, Heat exchange units,6486
出口總值(含復出口),113年1月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1125614
出口總值(含復出口),113年1月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1162058
出口總值(含復出口),113年1月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,6883
出口總值(含復出口),113年1月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,90739
出口總值(含復出口),113年1月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,128406
出口總值(含復出口),113年1月,848690,零件及附件, Parts and accessories,177995
出口總值(含復出口),113年1月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,14209
出口總值(含復出口),113年1月,850440,靜電式變流器, Static converters,160137
出口總值(含復出口),113年1月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,553550
出口總值(含復出口),113年1月,853400,印刷電路, Printed circuit,438045
出口總值(含復出口),113年1月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,61965
出口總值(含復出口),113年1月,854149,其他, Other,18065
出口總值(含復出口),113年1月,854232,記憶體, Memories,1721723
出口總值(含復出口),113年1月,854470,光纖電纜, Optical fibre cables,2583
出口總值(含復出口),113年1月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,424
出口總值(含復出口),113年2月,841459,其他, Other,16737
出口總值(含復出口),113年2月,841950,熱交換器, Heat exchange units,6133
出口總值(含復出口),113年2月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1200254
出口總值(含復出口),113年2月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,926269
出口總值(含復出口),113年2月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,6469
出口總值(含復出口),113年2月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,59721
出口總值(含復出口),113年2月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,75401
出口總值(含復出口),113年2月,848690,零件及附件, Parts and accessories,167052
出口總值(含復出口),113年2月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,12619
出口總值(含復出口),113年2月,850440,靜電式變流器, Static converters,120711
出口總值(含復出口),113年2月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,496707
出口總值(含復出口),113年2月,853400,印刷電路, Printed circuit,320970
出口總值(含復出口),113年2月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,46557
出口總值(含復出口),113年2月,854149,其他, Other,14233
出口總值(含復出口),113年2月,854232,記憶體, Memories,1418470
出口總值(含復出口),113年2月,854470,光纖電纜, Optical fibre cables,2214
