Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,536.25,538.0,499.75,538.0,490.0588684082031,29302400
2019-01-07,556.5,571.75,555.5,562.5,512.3756713867188,12742000
2019-01-08,563.5,566.0,546.25,559.75,509.87078857421875,19905600
2019-01-09,554.5,555.0,530.75,546.0,497.3460388183594,22097200
2019-01-10,550.0,561.25,545.0,558.5,508.7321472167969,18721600
2019-01-11,566.0,583.75,561.75,579.25,527.6331787109375,23071600
2019-01-15,573.0,596.75,571.75,594.75,541.7518310546875,15088800
2019-01-16,599.75,603.25,570.5,571.5,520.57373046875,18093200
2019-01-17,572.0,573.0,541.0,552.25,503.0391540527344,21533600
2019-01-18,561.0,565.25,548.75,562.5,512.3756713867188,19087600
2019-01-21,562.5,567.5,543.5,551.75,502.5835876464844,19901600
2019-01-22,548.25,561.25,544.75,545.75,497.11834716796875,12585200
2019-01-23,540.0,551.0,530.5,540.5,492.3360900878906,14066400
2019-01-24,544.25,575.5,542.25,573.75,522.623291015625,27032000
2019-01-25,586.25,606.0,586.0,601.75,548.1280517578125,24875200
2019-01-28,598.0,608.75,596.0,602.25,548.5836181640625,17242000
2019-01-29,577.25,578.75,555.5,574.5,523.306396484375,27629200
2019-01-30,579.25,583.5,563.75,573.0,521.940185546875,23502000
2019-01-31,601.25,621.75,588.25,618.25,563.1578369140625,46028800
2019-02-01,616.0,633.75,615.75,619.75,564.5242309570312,22582400
2019-02-04,615.25,629.5,613.25,626.25,570.445068359375,14178000
2019-02-05,629.0,639.75,628.0,637.0,580.2371215820312,14222800
2019-02-06,642.75,652.25,637.5,643.0,585.7024536132812,14768400
2019-02-07,645.25,656.25,629.0,631.5,575.2271728515625,17169600
2019-02-08,612.5,620.75,603.25,607.5,553.3659057617188,22136800
2019-02-12,625.0,641.5,619.5,637.75,580.9202270507812,15998000
2019-02-13,650.0,673.5,648.5,665.0,605.7420043945312,28249200
2019-02-14,665.75,681.0,665.5,675.5,615.3063354492188,18116400
2019-02-15,685.75,687.25,666.5,672.25,612.345947265625,19627600
2019-02-18,685.5,688.75,674.0,677.75,617.35595703125,9863200
2019-02-19,671.5,682.25,670.0,675.5,615.3063354492188,8937200
2019-02-20,678.25,683.5,671.75,676.0,615.7617797851562,10566000
2019-02-21,674.75,676.25,661.0,661.25,602.3262329101562,18591200
2019-02-22,648.75,657.5,644.25,651.75,593.6727294921875,19504800
2019-02-25,662.75,667.25,651.75,652.0,593.900390625,9962000
2019-02-26,654.25,658.0,645.0,651.75,593.6727294921875,10945600
2019-02-27,652.5,662.0,647.75,648.25,590.484619140625,9339600
2019-02-28,648.25,662.25,641.5,657.25,598.6824951171875,15693200
2019-03-01,667.5,687.75,667.25,684.25,623.276611328125,20654000
2019-03-04,687.75,718.75,687.75,708.25,645.1380615234375,21513600
2019-03-05,691.25,702.0,682.5,689.0,627.6033935546875,18430000
