Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,2116.0,2436.0,2108.0,2350.0,2297.327880859375,34234200
2023-10-26,2300.0,2445.0,2252.0,2418.0,2363.803955078125,15303700
2023-10-27,2475.0,2664.0,2433.0,2664.0,2604.29052734375,13202400
2023-10-30,2794.0,2879.0,2568.0,2568.0,2510.44189453125,14264800
2023-10-31,2518.0,2537.0,2370.0,2470.0,2414.638427734375,11511100
2023-11-01,2550.0,2562.0,2262.0,2387.0,2333.4990234375,8054900
2023-11-02,2351.0,2530.0,2319.0,2493.0,2437.123046875,5590700
2023-11-06,2590.0,2672.0,2476.0,2650.0,2590.604248046875,4757500
2023-11-07,2600.0,2615.0,2487.0,2518.0,2461.562744140625,3773600
2023-11-08,2533.0,2597.0,2450.0,2525.0,2468.40625,3496300
2023-11-09,2525.0,2560.0,2485.0,2507.0,2450.809326171875,2550900
2023-11-10,2555.0,2725.0,2520.0,2680.0,2619.931884765625,7232400
2023-11-13,2700.0,2720.0,2618.0,2618.0,2559.3212890625,3395800
2023-11-14,2649.0,2694.0,2526.0,2661.0,2601.357666015625,3668600
2023-11-15,2730.0,2839.0,2711.0,2839.0,2775.367919921875,4548900
2023-11-16,2800.0,3000.0,2765.0,3000.0,2932.759521484375,6041700
2023-11-17,3000.0,3180.0,2970.0,3140.0,3069.62158203125,6208900
2023-11-20,3240.0,3265.0,3000.0,3000.0,2932.759521484375,4031700
2023-11-21,3150.0,3240.0,3040.0,3150.0,3079.3974609375,3940500
2023-11-22,3155.0,3300.0,3090.0,3260.0,3186.931884765625,4277100
2023-11-24,3315.0,3395.0,3210.0,3220.0,3147.828369140625,4690100
2023-11-27,3360.0,3440.0,3280.0,3380.0,3304.2421875,4811800
2023-11-28,3335.0,3405.0,3150.0,3315.0,3240.69921875,5012400
2023-11-29,3245.0,3395.0,3180.0,3335.0,3260.250732421875,10302100
2023-11-30,3335.0,3435.0,3275.0,3315.0,3240.69921875,3290700
2023-12-01,3290.0,3300.0,3185.0,3225.0,3152.71630859375,2531000
2023-12-04,3155.0,3210.0,3055.0,3195.0,3123.388671875,2581800
2023-12-05,3110.0,3110.0,3000.0,3015.0,2947.423095703125,2611900
2023-12-06,2951.0,3160.0,2950.0,3105.0,3035.406005859375,1810000
2023-12-07,3020.0,3050.0,2909.0,2909.0,2843.799072265625,2668800
2023-12-08,2859.0,2995.0,2853.0,2995.0,2927.871337890625,2641100
2023-12-11,3025.0,3075.0,2931.0,2971.0,2904.409423828125,2804000
2023-12-12,3025.0,3040.0,2783.0,2818.0,2754.838623046875,4495000
2023-12-13,2890.0,2993.0,2854.0,2976.0,2909.29736328125,2748100
2023-12-14,2992.0,3050.0,2893.0,2974.0,2907.34228515625,2309000
2023-12-15,3025.0,3150.0,3005.0,3095.0,3025.630126953125,3016600
2023-12-18,3055.0,3070.0,2932.0,2961.0,2894.633544921875,2130900
2023-12-19,2921.0,3075.0,2921.0,3060.0,2991.414794921875,1445100
2023-12-20,3100.0,3115.0,3030.0,3080.0,3010.96630859375,1556600
2023-12-21,3010.0,3100.0,3005.0,3085.0,3015.854248046875,1644300
2023-12-22,3125.0,3235.0,3120.0,3175.0,3103.8369140625,3699800
2023-12-25,3170.0,3175.0,3090.0,3145.0,3074.509521484375,1168700
2023-12-26,3135.0,3140.0,3035.0,3080.0,3010.96630859375,1322100
2023-12-27,3090.0,3220.0,3055.0,3200.0,3128.276611328125,2182000
2023-12-28,3200.0,3205.0,3045.0,3090.0,3020.7421875,2078200
