Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,754.0,764.0,735.0,764.0,637.0609130859375,12400
2019-01-07,824.0,824.0,794.0,818.0,682.0887451171875,10600
2019-01-08,803.0,819.0,803.0,810.0,675.4179077148438,7200
2019-01-09,815.0,816.0,813.0,813.0,677.9195556640625,1400
2019-01-10,839.0,963.0,839.0,860.0,717.1104736328125,146500
2019-01-11,900.0,918.0,870.0,907.0,756.3013305664062,22800
2019-01-15,896.0,896.0,841.0,875.0,729.6182861328125,15000
2019-01-16,880.0,890.0,873.0,880.0,733.7874145507812,5800
2019-01-17,874.0,889.0,867.0,879.0,732.9535522460938,14900
2019-01-18,874.0,896.0,865.0,865.0,721.2797241210938,22900
2019-01-21,869.0,894.0,869.0,874.0,728.7842407226562,8500
2019-01-22,874.0,889.0,869.0,870.0,725.4488525390625,2200
2019-01-23,870.0,887.0,867.0,873.0,727.9503784179688,3700
2019-01-24,901.0,920.0,894.0,900.0,750.4644775390625,16700
2019-01-25,915.0,917.0,896.0,901.0,751.29833984375,11700
2019-01-28,903.0,918.0,897.0,906.0,755.4675903320312,5500
2019-01-29,906.0,912.0,897.0,902.0,752.1321411132812,7600
2019-01-30,898.0,905.0,881.0,902.0,752.1321411132812,6600
2019-01-31,903.0,917.0,866.0,917.0,764.6398315429688,12300
2019-02-01,1001.0,1021.0,978.0,1020.0,850.5263061523438,145800
2019-02-04,1020.0,1239.0,1020.0,1206.0,1005.6223754882812,399300
2019-02-05,1176.0,1199.0,1114.0,1199.0,999.7852783203125,146800
2019-02-06,1190.0,1190.0,1124.0,1165.0,971.4346313476562,132200
2019-02-07,1190.0,1190.0,1122.0,1122.0,935.5787963867188,59900
2019-02-08,1100.0,1163.0,1074.0,1140.0,950.5881958007812,74400
2019-02-12,1230.0,1347.0,1230.0,1294.0,1079.001220703125,464900
2019-02-13,1290.0,1322.0,1270.0,1298.0,1082.3363037109375,132800
2019-02-14,1340.0,1395.0,1301.0,1305.0,1088.173583984375,288900
2019-02-15,1301.0,1374.0,1294.0,1350.0,1125.696533203125,128900
2019-02-18,1423.0,1577.0,1410.0,1471.0,1226.5924072265625,336400
2019-02-19,1530.0,1598.0,1483.0,1586.0,1322.4852294921875,299000
2019-02-20,1618.0,1720.0,1423.0,1491.0,1243.269287109375,720000
2019-02-21,1512.0,1555.0,1489.0,1500.0,1250.7740478515625,206200
2019-02-22,1498.0,1680.0,1471.0,1674.0,1395.86376953125,416700
2019-02-25,1665.0,1745.0,1580.0,1715.0,1430.0517578125,309200
2019-02-26,1733.0,1793.0,1666.0,1793.0,1495.0919189453125,314700
2019-02-27,1815.0,2000.0,1814.0,1971.0,1643.5169677734375,530200
2019-02-28,1949.0,2150.0,1850.0,1960.0,1634.3447265625,560200
2019-03-01,1950.0,2048.0,1930.0,1982.0,1652.689453125,345900
2019-03-04,2022.0,2328.0,2015.0,2131.0,1776.9332275390625,873400
2019-03-05,2120.0,2247.0,2107.0,2220.0,1851.1453857421875,454100
2019-03-06,2250.0,2292.0,2101.0,2189.0,1825.296142578125,387200
2019-03-07,2105.0,2139.0,1851.0,1943.0,1620.16943359375,688700
2019-03-08,1855.0,1910.0,1764.0,1777.0,1481.7503662109375,576500
2019-03-11,1813.0,1864.0,1641.0,1695.0,1413.374755859375,594100
2019-03-12,1787.0,1945.0,1763.0,1916.0,1597.6556396484375,556300
2019-03-13,1932.0,1939.0,1807.0,1861.0,1551.793701171875,330600
2019-03-14,1908.0,1934.0,1703.0,1713.0,1428.3837890625,406400
2019-03-15,1653.0,1739.0,1590.0,1621.0,1351.6695556640625,380900
2019-03-18,1608.0,1656.0,1510.0,1620.0,1350.8358154296875,305900
2019-03-19,1626.0,1626.0,1532.0,1543.0,1286.629638671875,153200
2019-03-20,1547.0,1606.0,1503.0,1525.0,1271.620361328125,206500
2019-03-22,1550.0,1550.0,1448.0,1466.0,1222.4232177734375,208300
2019-03-25,1400.0,1460.0,1395.0,1427.0,1189.903076171875,135500
2019-03-26,1469.0,1512.0,1441.0,1462.0,1219.0877685546875,152200
2019-03-27,1470.0,1650.0,1453.0,1628.0,1381.123779296875,305700
2019-03-28,1580.0,1598.0,1494.0,1505.0,1276.7757568359375,316500
2019-03-29,1532.0,1552.0,1424.0,1432.0,1214.8458251953125,308900
2019-04-01,1448.0,1537.0,1445.0,1500.0,1272.5341796875,297600
2019-04-02,1537.0,1551.0,1407.0,1415.0,1200.4239501953125,268400
2019-04-03,1447.0,1532.0,1416.0,1487.0,1261.50537109375,252000
2019-04-04,1524.0,1683.0,1521.0,1613.0,1368.3985595703125,625200
2019-04-05,1717.0,1757.0,1668.0,1757.0,1490.5616455078125,769200
2019-04-08,1850.0,1993.0,1823.0,1933.0,1639.872314453125,1167500
2019-04-09,1930.0,1948.0,1808.0,1902.0,1613.5733642578125,503100
2019-04-10,1875.0,1965.0,1853.0,1866.0,1583.0325927734375,350900
2019-04-11,1894.0,1948.0,1857.0,1895.0,1607.6346435546875,265300
2019-04-12,1869.0,1884.0,1767.0,1787.0,1516.01220703125,245700
2019-04-15,1850.0,1963.0,1830.0,1930.0,1637.3271484375,361200
2019-04-16,1950.0,2028.0,1949.0,2027.0,1719.61767578125,523000
2019-04-17,2073.0,2162.0,2001.0,2036.0,1727.253173828125,739300
2019-04-18,1986.0,2068.0,1959.0,1965.0,1667.0198974609375,341900
2019-04-19,2026.0,2073.0,1996.0,2048.0,1737.433349609375,265400
2019-04-22,2090.0,2136.0,1971.0,2016.0,1710.285888671875,437000
2019-04-23,1981.0,2017.0,1950.0,1981.0,1680.593505859375,156800
2019-04-24,2000.0,2001.0,1900.0,1928.0,1635.6307373046875,238600
