ticker,status,facts,quarters,first,last,last_filed,px_last,price_src,splits
MSFT,ok,facts,75,2007-09-30,2026-03-31,2026-04-29,2026-09-30,stooq-unadj<2015-01-31×0.989+splitonly,
GOOGL,ok,facts,46,2014-09-30,2026-03-31,2026-04-30,2026-09-30,stooq-unadj<2015-01-31×0.996+splitonly,2022-06-30:20
META,ok,facts,59,2011-06-30,2026-03-31,2026-04-30,2026-09-30,stooq-unadj<2015-01-31×0.992+splitonly,
AMZN,ok,facts,71,2008-06-30,2026-03-31,2026-04-30,2026-09-30,stooq-unadj<2015-01-31×1.000+splitonly,2022-06-30:20
AAPL,ok,facts,71,2008-06-28,2026-03-28,2026-05-01,2025-09-30,stooq-unadj,2014-06-28:7;2020-09-26:4
NVDA,ok,facts,72,2008-07-27,2026-04-26,2026-05-20,2026-09-30,stooq-unadj<2015-01-31×1.001+splitonly,2021-08-01:4;2024-07-28:10
AMD,ok,facts,67,2009-06-27,2026-03-28,2026-05-06,2026-09-30,stooq-unadj<2015-01-31×1.000+splitonly,
INTC,ok,facts,71,2008-06-28,2026-03-28,2026-04-24,2025-09-30,stooq-unadj,
MU,ok,facts,68,2008-12-04,2026-05-28,2026-06-25,2026-09-30,stooq-unadj<2015-01-31×0.984+splitonly,
WDC,ok,company_facts,66,2008-09-26,2024-12-27,2025-08-14,2025-01-31,stooq-unadj,
STX,ok,company_facts,64,2009-10-02,2025-06-27,2025-08-01,2025-09-30,stooq-unadj,
AVGO,ok,facts,38,2017-01-29,2026-05-03,2026-06-09,2026-09-30,stooq-unadj<2015-01-31×1.013+splitonly,2024-08-04:10
QCOM,ok,company_facts,68,2008-06-29,2025-06-29,2025-07-30,2025-09-30,stooq-unadj,
TXN,ok,company_facts,68,2008-06-30,2025-06-30,2025-07-29,2025-09-30,stooq-unadj,
ADI,ok,company_facts,69,2008-08-02,2025-08-02,2025-08-20,2025-09-30,stooq-unadj,
AMAT,ok,facts,71,2008-07-27,2026-04-26,2026-05-21,2026-09-30,stooq-unadj<2015-01-31×0.979+splitonly,
LRCX,ok,facts,67,2009-09-27,2026-03-29,2026-04-23,2026-09-30,stooq-unadj<2015-01-31×0.987+splitonly,2024-09-29:10
KLAC,ok,company_facts,64,2009-09-30,2025-06-30,2025-08-08,2025-09-30,stooq-unadj,
TER,ok,company_facts,71,2009-07-05,2025-06-29,2025-08-01,2025-09-30,stooq-unadj,
ORCL,ok,facts,72,2008-08-31,2026-05-31,2026-06-22,2026-09-30,stooq-unadj<2015-01-31×0.966+splitonly,
CRM,ok,company_facts,68,2008-07-31,2025-07-31,2025-09-04,2025-09-30,stooq-unadj,2013-04-30:4
ADBE,ok,company_facts,68,2008-05-30,2025-05-30,2025-06-25,2025-09-30,stooq-unadj,
CSCO,ok,facts,71,2008-10-25,2026-04-25,2026-05-19,2025-09-30,stooq-unadj,
IBM,ok,company_facts,68,2008-06-30,2025-06-30,2025-07-24,2025-09-30,stooq-unadj,
NFLX,ok,company_facts,68,2008-06-30,2025-06-30,2025-07-18,2025-09-30,stooq-unadj,2015-06-30:7
NOW,ok,company_facts,56,2011-06-30,2025-06-30,2025-07-24,2025-09-30,stooq-unadj,
INTU,ok,company_facts,68,2008-10-31,2025-07-31,2025-09-03,2025-09-30,stooq-unadj,
HPQ,ok,company_facts,39,2016-01-31,2025-07-31,2025-08-28,2025-09-30,stooq-unadj,
NXPI,ok,company_facts,27,2018-09-30,2025-06-29,2025-07-24,2025-09-30,stooq-unadj,
MCHP,ok,company_facts,69,2008-06-30,2025-06-30,2025-08-07,2025-09-30,stooq-unadj,2021-09-30:2
ON,ok,company_facts,69,2009-07-03,2025-07-04,2025-08-04,2025-09-30,stooq-unadj,
MPWR,ok,company_facts,60,2010-06-30,2025-06-30,2025-08-04,2025-09-30,stooq-unadj,
