ticker,status,facts,quarters,first,last,last_filed,px_last,price_src,splits
XOM,ok,company_facts,34.0,2017-03-31,2025-06-30,2025-08-04,2025-09-30,stooq-unadj,
CVX,ok,company_facts,70.0,2008-03-31,2025-06-30,2025-08-07,2025-09-30,stooq-unadj,
COP,ok,company_facts,68.0,2008-06-30,2025-06-30,2025-08-07,2025-09-30,stooq-unadj,
VST,ok,company_facts,35.0,2016-12-31,2025-06-30,2025-08-08,2026-09-30,stooq-unadj<2016-10-31×1.080+splitonly,
CEG,ok,company_facts,18.0,2021-03-31,2025-06-30,2025-08-07,2026-09-30,stooq-unadj<2022-01-31×0.983+splitonly,
NRG,ok,company_facts,68.0,2008-06-30,2025-06-30,2025-08-06,2025-09-30,stooq-unadj,
GEV,no revenue,,,,,,,,
LMT,ok,company_facts,74.0,2008-06-29,2025-06-29,2025-07-22,2025-09-30,stooq-unadj,
NOC,ok,company_facts,68.0,2008-06-30,2025-06-30,2025-07-22,2025-09-30,stooq-unadj,
RTX,ok,company_facts,20.0,2020-09-30,2025-06-30,2025-07-22,2025-09-30,stooq-unadj,
GD,ok,company_facts,68.0,2008-06-29,2025-06-29,2025-07-23,2025-09-30,stooq-unadj,
LHX,ok,company_facts,68.0,2008-09-26,2025-06-27,2025-07-24,2025-09-30,stooq-unadj,
TSLA,ok,company_facts,62.0,2010-03-31,2025-06-30,2025-07-24,2025-09-30,stooq-unadj,2020-09-30:5;2022-09-30:3
