cik,ticker,status,quarters,prices,splits,share_scale_fixed
1750,AIR,ok,68.0,28.0,2.0,2.0
2098,,no v2,,,,
2186,,no v2,,,,
3197,CECO,ok,65.0,24.0,2.0,0.0
3453,MATX,ok,69.0,28.0,1.0,0.0
3499,,no v2,,,,
3545,,no v2,,,,
5513,UNM,ok,73.0,21.0,1.0,0.0
5981,,no v2,,,,
6176,,no v2,,,,
6201,AAL,ok,54.0,9.0,0.0,0.0
6845,APOG,ok,64.0,28.0,3.0,0.0
6955,EPAC,ok,66.0,27.0,1.0,0.0
7431,AWI,ok,62.0,12.0,0.0,1.0
7536,ARW,ok,69.0,28.0,0.0,0.0
7789,ASB,ok,69.0,28.0,4.0,0.0
8063,ATRO,ok,67.0,27.0,3.0,0.0
8504,,no v2,,,,
8858,AVT,ok,71.0,28.0,0.0,0.0
8947,AZZ,ok,64.0,28.0,3.0,0.0
9092,BMI,ok,65.0,28.0,2.0,0.0
9326,BCPC,ok,66.0,28.0,2.0,0.0
10329,,no v2,,,,
12208,BIO,ok,69.0,11.0,0.0,0.0
12659,HRB,ok,75.0,1.0,0.0,0.0
14177,,no v2,,,,
14707,CAL,ok,65.0,27.0,0.0,15.0
14846,,no v2,,,,
14930,BC,ok,66.0,28.0,0.0,0.0
15615,MTZ,ok,66.0,28.0,1.0,0.0
16040,CBT,ok,69.0,28.0,1.0,0.0
16058,CACI,ok,68.0,28.0,0.0,0.0
16160,CALM,ok,64.0,28.0,4.0,0.0
17843,CRS,ok,68.0,28.0,1.0,0.0
18255,,no v2,,,,
18498,GCO,ok,67.0,27.0,2.0,0.0
18926,LUMN,ok,69.0,14.0,1.0,0.0
19584,CHE,ok,69.0,28.0,0.0,0.0
19745,CPK,ok,65.0,28.0,2.0,2.0
20212,CHDN,ok,39.0,28.0,2.0,0.0
21535,COHU,ok,67.0,28.0,2.0,0.0
22356,CBSH,ok,69.0,0.0,0.0,0.0
22444,CMC,ok,71.0,28.0,2.0,0.0
23194,CRK,ok,48.0,28.0,8.0,0.0
23197,,no v2,,,,
23795,,no v2,,,,
24090,,no v2,,,,
25232,CUZ,ok,62.0,28.0,1.0,0.0
25445,CXT,ok,69.0,14.0,0.0,0.0
25475,CRD-A,ok,73.0,1.0,0.0,0.0
25743,,no v2,,,,
26058,CTS,ok,71.0,28.0,1.0,0.0
26324,CW,ok,69.0,28.0,0.0,0.0
26780,DAN,ok,65.0,28.0,3.0,0.0
27093,,no v2,,,,
27996,DLX,ok,69.0,28.0,3.0,1.0
28823,DBD,ok,68.0,22.0,1.0,0.0
28917,DDS,ok,69.0,19.0,4.0,0.0
29002,DIOD,ok,69.0,1.0,0.0,0.0
29644,DCI,ok,67.0,28.0,0.0,0.0
30305,DCO,ok,65.0,28.0,3.0,0.0
30625,FLS,ok,73.0,23.0,0.0,0.0
30697,WEN,ok,68.0,28.0,0.0,0.0
31107,,no v2,,,,
31235,KODK,ok,68.0,25.0,7.0,6.0
33002,,no v2,,,,
33488,,no v2,,,,
33533,,no v2,,,,
33992,,no v2,,,,
34067,,no v2,,,,
34782,SRCE,ok,65.0,28.0,4.0,0.0
34956,,no v2,,,,
36029,FFIN,ok,69.0,28.0,2.0,0.0
36146,TRMK,ok,68.0,28.0,1.0,0.0
36377,FHB,ok,45.0,25.0,0.0,0.0
36966,FHN,ok,70.0,28.0,0.0,0.0
37472,,no v2,,,,
