ticker,gics,status,quarters,first,last,px_last,splits,note,share_scale_fixed
MMM,Industrials,too short after spin-off cut,,,,,,,
AOS,Industrials,ok,63.0,2009-06-30,2025-06-30,2025-09-30,2013-03-31:2;2016-09-30:2,,0.0
ABT,Health Care,ok,50.0,2013-03-31,2025-06-30,2025-09-30,,分拆 2013-01-02×2.0842,0.0
ABBV,Health Care,ok,54.0,2012-03-31,2025-06-30,2025-09-30,,,0.0
ACN,Information Technology,ok,68.0,2008-11-30,2025-05-31,2025-09-30,,,0.0
ADBE,Information Technology,ok,68.0,2008-05-30,2025-05-30,2025-09-30,,,0.0
AMD,Information Technology,ok,64.0,2009-06-27,2025-06-28,2025-09-30,,,0.0
AES,Utilities,ok,56.0,2010-09-30,2025-06-30,2025-09-30,,,0.0
AFL,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2018-03-31:2,,0.0
A,Health Care,ok,43.0,2015-01-31,2025-07-31,2025-09-30,,分拆 2014-11-03×1.398,0.0
APD,Materials,ok,35.0,2016-12-31,2025-06-30,2025-09-30,,分拆 2016-10-03×1.081,0.0
ABNB,Consumer Discretionary,ok,22.0,2020-03-31,2025-06-30,2025-09-30,,,0.0
AKAM,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
ALB,Materials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
ARE,Real Estate,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
ALGN,Health Care,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
ALLE,Industrials,ok,50.0,2013-03-31,2025-06-30,2025-09-30,,,0.0
LNT,Utilities,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2016-06-30:2,,0.0
ALL,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
GOOGL,Communication Services,ok,43.0,2014-09-30,2025-06-30,2025-09-30,2022-06-30:20,,0.0
MO,Consumer Staples,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
AMZN,Consumer Discretionary,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2022-06-30:20,,0.0
AMCR,Materials,ok,32.0,2017-09-30,2025-06-30,2025-09-30,,,0.0
AEE,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AEP,Utilities,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AXP,Financials,ok,38.0,2016-03-31,2025-06-30,2025-09-30,,,1.0
AIG,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,2.0
AMT,Real Estate,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AWK,Utilities,ok,54.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
AMP,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AME,Industrials,ok,69.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
AMGN,Health Care,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
APH,Information Technology,ok,68.0,2008-06-30,2025-06-30,2025-09-30,2014-09-30:2;2021-03-31:2;2024-06-30:2,,0.0
ADI,Information Technology,ok,69.0,2008-08-02,2025-08-02,2025-09-30,,,0.0
AON,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
APA,Energy,no revenue,,,,,,,
APO,Financials,ok,18.0,2021-03-31,2025-06-30,2025-09-30,,,0.0
AAPL,Information Technology,ok,68.0,2008-06-28,2025-06-28,2025-09-30,2014-06-28:7;2020-09-26:4,,0.0
AMAT,Information Technology,ok,68.0,2008-07-27,2025-07-27,2025-09-30,,,0.0
APTV,Consumer Discretionary,ok,31.0,2017-12-31,2025-06-30,2025-09-30,,分拆 2017-12-05×1.193,0.0
ACGL,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2011-06-30:3;2018-06-30:3,,0.0
ADM,Consumer Staples,ok,68.0,2008-09-30,2025-06-30,2025-09-30,,,0.0
ANET,Information Technology,ok,48.0,2013-06-30,2025-06-30,2025-09-30,2021-12-31:4;2024-12-31:4,,0.0
AJG,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,0.0
AIZ,Financials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
