ticker,month,mc,px
MSFT,2009-10-01,2.62085e+11,28.5403
MSFT,2009-11-01,2.77943e+11,30.2671
MSFT,2009-12-01,2.86842e+11,31.2362
MSFT,2010-01-01,2.57413e+11,28.8774
MSFT,2010-02-01,2.619e+11,29.3808
MSFT,2010-03-01,2.66371e+11,29.8824
MSFT,2010-04-01,2.77379e+11,31.1522
MSFT,2010-05-01,2.34384e+11,26.3235
MSFT,2010-06-01,2.0801e+11,23.3615
MSFT,2010-07-01,2.35741e+11,26.2051
MSFT,2010-08-01,2.14381e+11,23.8307
MSFT,2010-09-01,2.22199e+11,24.6997
MSFT,2010-10-01,2.33844e+11,26.8941
MSFT,2010-11-01,2.21544e+11,25.4795
MSFT,2010-12-01,2.4327e+11,27.9781
MSFT,2011-01-01,2.38187e+11,27.7931
MSFT,2011-02-01,2.29672e+11,26.7996
MSFT,2011-03-01,2.18062e+11,25.4448
MSFT,2011-04-01,2.2108e+11,25.9788
MSFT,2011-05-01,2.14714e+11,25.2308
MSFT,2011-06-01,2.21751e+11,26.0577
MSFT,2011-07-01,2.35981e+11,27.4619
MSFT,2011-08-01,2.30606e+11,26.8365
MSFT,2011-09-01,2.14169e+11,24.9236
MSFT,2011-10-01,2.26417e+11,26.6687
MSFT,2011-11-01,2.19113e+11,25.8083
MSFT,2011-12-01,2.20672e+11,25.9919
MSFT,2012-01-01,2.50305e+11,29.5694
MSFT,2012-02-01,2.70722e+11,31.9813
MSFT,2012-03-01,2.73529e+11,32.3129
MSFT,2012-04-01,2.7245e+11,32.0605
MSFT,2012-05-01,2.5007e+11,29.427
MSFT,2012-06-01,2.60314e+11,30.6324
MSFT,2012-07-01,2.51015e+11,29.5104
MSFT,2012-08-01,2.64224e+11,31.0632
MSFT,2012-09-01,2.53289e+11,29.7777
MSFT,2012-10-01,2.42542e+11,28.5545
MSFT,2012-11-01,2.2802e+11,26.8448
MSFT,2012-12-01,2.26934e+11,26.717
MSFT,2013-01-01,2.31862e+11,27.4588
MSFT,2013-02-01,2.36744e+11,28.0369
MSFT,2013-03-01,2.41552e+11,28.6063
MSFT,2013-04-01,2.79118e+11,33.114
MSFT,2013-05-01,2.96386e+11,35.1626
