ticker,month,mc,px
XOM,2018-02-01,3.48636e+11,81.9164
XOM,2018-03-01,3.40204e+11,79.9352
XOM,2018-04-01,3.54516e+11,83.2979
XOM,2018-05-01,3.75425e+11,87.9216
XOM,2018-06-01,3.78744e+11,88.6988
XOM,2018-07-01,3.7315e+11,87.3887
XOM,2018-08-01,3.70899e+11,86.8412
XOM,2018-09-01,3.89614e+11,91.2232
XOM,2018-10-01,3.65147e+11,85.4945
XOM,2018-11-01,3.68015e+11,86.166
XOM,2018-12-01,3.12659e+11,73.2051
XOM,2019-01-01,3.36002e+11,78.6706
XOM,2019-02-01,3.66292e+11,85.7828
XOM,2019-03-01,3.70919e+11,86.8662
XOM,2019-04-01,3.68526e+11,86.3057
XOM,2019-05-01,3.28599e+11,76.9553
XOM,2019-06-01,3.51793e+11,82.3871
XOM,2019-07-01,3.4137e+11,79.9462
XOM,2019-08-01,3.18356e+11,74.5391
XOM,2019-09-01,3.24433e+11,75.9619
XOM,2019-10-01,3.10459e+11,72.69
XOM,2019-11-01,3.16797e+11,74.1739
XOM,2019-12-01,3.20675e+11,75.082
XOM,2020-01-01,2.85476e+11,66.8406
XOM,2020-02-01,2.39733e+11,56.1436
XOM,2020-03-01,1.74206e+11,40.7978
XOM,2020-04-01,2.13209e+11,49.9318
XOM,2020-05-01,2.12669e+11,49.8054
XOM,2020-06-01,2.05508e+11,48.1283
XOM,2020-07-01,1.93378e+11,45.2877
XOM,2020-08-01,1.872e+11,43.8305
XOM,2020-09-01,1.57721e+11,36.9284
XOM,2020-10-01,1.49864e+11,35.0887
XOM,2020-11-01,1.79399e+11,42.0041
XOM,2020-12-01,1.8992e+11,44.4674
XOM,2021-01-01,2.066e+11,48.3727
XOM,2021-02-01,2.54765e+11,59.65
XOM,2021-03-01,2.57793e+11,60.359
XOM,2021-04-01,2.64304e+11,61.8833
XOM,2021-05-01,2.73509e+11,64.0237
XOM,2021-06-01,2.91562e+11,68.2496
XOM,2021-07-01,2.66095e+11,62.2882
XOM,2021-08-01,2.5605e+11,59.8808
XOM,2021-09-01,2.72235e+11,63.6658
XOM,2021-10-01,2.98384e+11,69.7811
XOM,2021-11-01,2.80677e+11,65.64
XOM,2021-12-01,2.83159e+11,66.2206
XOM,2022-01-01,3.51508e+11,82.2049
XOM,2022-02-01,3.6683e+11,85.8082
XOM,2022-03-01,3.82374e+11,89.4442
XOM,2022-04-01,3.94689e+11,92.325
XOM,2022-05-01,4.48067e+11,105.032
XOM,2022-06-01,3.96364e+11,92.9124
XOM,2022-07-01,4.48617e+11,105.161
XOM,2022-08-01,4.43258e+11,104.715
XOM,2022-09-01,4.01461e+11,94.8407
XOM,2022-10-01,5.09516e+11,120.368
XOM,2022-11-01,5.10223e+11,121.917
XOM,2022-12-01,5.01684e+11,119.877
XOM,2023-01-01,5.27655e+11,126.083
XOM,2023-02-01,5.02299e+11,119.453
XOM,2023-03-01,4.97339e+11,118.273
XOM,2023-04-01,5.36705e+11,127.635
XOM,2023-05-01,4.52064e+11,110.206
XOM,2023-06-01,4.70577e+11,114.719
XOM,2023-07-01,4.70533e+11,114.708
XOM,2023-08-01,4.83582e+11,118.933
XOM,2023-09-01,5.07461e+11,124.806
XOM,2023-10-01,4.52229e+11,112.355
XOM,2023-11-01,4.38942e+11,109.054
XOM,2023-12-01,4.23429e+11,105.2
XOM,2024-01-01,4.35415e+11,108.178
XOM,2024-02-01,4.45626e+11,109.977
XOM,2024-03-01,4.91314e+11,121.252
XOM,2024-04-01,4.93232e+11,123.37
XOM,2024-05-01,4.8902e+11,122.316
XOM,2024-06-01,4.76367e+11,119.151
XOM,2024-07-01,4.90725e+11,122.743
XOM,2024-08-01,5.26976e+11,122.07
XOM,2024-09-01,5.19683e+11,120.381
XOM,2024-10-01,5.17732e+11,119.929
XOM,2024-11-01,5.40529e+11,121.141
XOM,2024-12-01,4.8889e+11,109.568
XOM,2025-01-01,4.85527e+11,108.814
XOM,2025-02-01,4.87382e+11,113.397
XOM,2025-03-01,5.16108e+11,120.081
XOM,2025-04-01,4.58391e+11,106.652
XOM,2025-05-01,4.51584e+11,103.29
XOM,2025-06-01,4.71302e+11,107.8
XOM,2025-07-01,4.8809e+11,111.64
