ticker,month,mc,px
AOS,2010-08-01,1.65457e+09,8.97046
AOS,2010-09-01,1.86554e+09,10.1143
AOS,2010-10-01,1.79903e+09,9.75365
AOS,2010-11-01,1.90415e+09,10.2918
AOS,2010-12-01,1.83974e+09,9.94363
AOS,2011-01-01,2.062e+09,11.1449
AOS,2011-02-01,1.94601e+09,10.518
AOS,2011-03-01,2.13606e+09,11.5452
AOS,2011-04-01,2.11902e+09,11.4532
AOS,2011-05-01,2.00965e+09,10.7952
AOS,2011-06-01,2.05045e+09,11.0143
AOS,2011-07-01,2.00995e+09,10.7968
AOS,2011-08-01,1.90907e+09,10.2316
AOS,2011-09-01,1.55623e+09,8.34057
AOS,2011-10-01,1.806e+09,9.67921
AOS,2011-11-01,1.90771e+09,10.2252
AOS,2011-12-01,1.94962e+09,10.4498
AOS,2012-01-01,2.06455e+09,11.0658
AOS,2012-02-01,2.19224e+09,11.7673
AOS,2012-03-01,2.18146e+09,11.7095
AOS,2012-04-01,2.31033e+09,12.4012
AOS,2012-05-01,2.2361e+09,12.025
AOS,2012-06-01,2.36885e+09,12.739
AOS,2012-07-01,2.3951e+09,12.8801
AOS,2012-08-01,2.65625e+09,14.2582
AOS,2012-09-01,2.79387e+09,14.9969
AOS,2012-10-01,2.95076e+09,15.8391
AOS,2012-11-01,3.05606e+09,16.406
AOS,2012-12-01,3.06163e+09,16.4359
AOS,2013-01-01,3.36363e+09,18.0572
AOS,2013-02-01,3.47226e+09,18.6464
AOS,2013-03-01,3.57066e+09,19.1748
AOS,2013-04-01,3.66193e+09,19.6649
AOS,2013-05-01,3.80981e+09,20.4422
AOS,2013-06-01,3.52523e+09,18.9152
AOS,2013-07-01,4.01541e+09,21.5454
AOS,2013-08-01,4.08826e+09,21.9252
AOS,2013-09-01,4.39426e+09,23.5663
AOS,2013-10-01,5.0226e+09,26.9361
AOS,2013-11-01,5.23673e+09,28.237
AOS,2013-12-01,5.21635e+09,28.1271
AOS,2014-01-01,4.5668e+09,24.6247
AOS,2014-02-01,4.80982e+09,25.9184
AOS,2014-03-01,4.45408e+09,24.0015
AOS,2014-04-01,4.52628e+09,24.3905
AOS,2014-05-01,4.73717e+09,25.755
AOS,2014-06-01,4.75679e+09,25.8617
AOS,2014-07-01,4.48132e+09,24.364
AOS,2014-08-01,4.66813e+09,25.6051
AOS,2014-09-01,4.4971e+09,24.667
AOS,2014-10-01,5.07474e+09,27.8354
AOS,2014-11-01,5.09822e+09,28.1341
AOS,2014-12-01,5.33348e+09,29.4323
AOS,2015-01-01,5.61716e+09,30.9978
AOS,2015-02-01,5.98478e+09,32.8881
AOS,2015-03-01,6.23514e+09,34.2639
AOS,2015-04-01,6.06833e+09,33.3473
AOS,2015-05-01,6.71766e+09,37.2513
AOS,2015-06-01,6.77392e+09,37.5632
AOS,2015-07-01,6.75997e+09,37.4858
AOS,2015-08-01,6.04893e+09,33.6706
AOS,2015-09-01,6.11275e+09,34.0258
AOS,2015-10-01,7.2041e+09,40.1007
AOS,2015-11-01,7.44187e+09,41.6353
AOS,2015-12-01,7.14774e+09,39.9898
AOS,2016-01-01,6.51722e+09,36.4622
AOS,2016-02-01,6.57709e+09,36.7417
AOS,2016-03-01,7.13153e+09,39.8389
AOS,2016-04-01,7.21758e+09,40.3196
AOS,2016-05-01,7.64091e+09,42.9721
AOS,2016-06-01,8.18005e+09,46.0043
AOS,2016-07-01,8.62497e+09,48.5065
AOS,2016-08-01,8.91705e+09,50.3792
AOS,2016-09-01,9.13065e+09,51.586
AOS,2016-10-01,8.35099e+09,47.1811
AOS,2016-11-01,8.96754e+09,50.7937
AOS,2016-12-01,8.73163e+09,49.4574
AOS,2017-01-01,8.99093e+09,50.9261
AOS,2017-02-01,9.30203e+09,52.6058
AOS,2017-03-01,9.44993e+09,53.4422
AOS,2017-04-01,9.95357e+09,56.2904
AOS,2017-05-01,1.0056e+10,57.3256
AOS,2017-06-01,1.03231e+10,58.8477
AOS,2017-07-01,9.81528e+09,55.9531
AOS,2017-08-01,1.01759e+10,58.1847
AOS,2017-09-01,1.08597e+10,62.0945
AOS,2017-10-01,1.0819e+10,61.8621
AOS,2017-11-01,1.1555e+10,66.2725
AOS,2017-12-01,1.11648e+10,64.0345
AOS,2018-01-01,1.2168e+10,69.7884
AOS,2018-02-01,1.1713e+10,67.083
AOS,2018-03-01,1.16037e+10,66.4566
AOS,2018-04-01,1.11962e+10,64.1232
AOS,2018-05-01,1.14279e+10,65.9234
AOS,2018-06-01,1.07172e+10,61.824
AOS,2018-07-01,1.07878e+10,62.2311
AOS,2018-08-01,1.04872e+10,60.7141
AOS,2018-09-01,9.63659e+09,55.7898
AOS,2018-10-01,8.22314e+09,47.6069
AOS,2018-11-01,8.52507e+09,49.54
AOS,2018-12-01,7.68287e+09,44.6459
AOS,2019-01-01,8.61306e+09,50.0513
AOS,2019-02-01,9.35171e+09,54.3092
AOS,2019-03-01,9.6017e+09,55.7609
AOS,2019-04-01,9.46866e+09,54.9883
AOS,2019-05-01,7.16338e+09,42.3627
AOS,2019-06-01,8.34116e+09,49.3279
AOS,2019-07-01,8.04043e+09,47.5495
AOS,2019-08-01,8.18069e+09,48.6696
AOS,2019-09-01,8.39008e+09,49.9153
AOS,2019-10-01,8.73854e+09,51.9884
AOS,2019-11-01,8.3844e+09,50.6478
AOS,2019-12-01,8.25293e+09,49.8536
AOS,2020-01-01,7.39704e+09,44.6834
AOS,2020-02-01,6.90134e+09,41.397
AOS,2020-03-01,6.59797e+09,39.5773
AOS,2020-04-01,7.39701e+09,44.3703
AOS,2020-05-01,8.1009e+09,49.73
AOS,2020-06-01,8.03628e+09,49.3333
AOS,2020-07-01,8.2118e+09,50.4108
AOS,2020-08-01,8.31638e+09,51.2807
AOS,2020-09-01,8.9666e+09,55.2901
AOS,2020-10-01,8.78018e+09,54.1405
AOS,2020-11-01,9.58304e+09,58.9799
