ticker,month,mc,px
AIR,2019-12-01,1.5785e+09,28.864
AIR,2020-03-01,6.216e+08,11.3664
AIR,2020-06-01,7.25517e+08,13.2288
AIR,2020-09-01,6.5988e+08,12.032
AIR,2020-12-01,1.2677e+09,23.1808
AIR,2021-03-01,1.45775e+09,26.656
AIR,2021-06-01,1.37562e+09,24.8
AIR,2021-09-01,1.15126e+09,20.7552
AIR,2021-12-01,1.39337e+09,24.9792
AIR,2022-03-01,1.72411e+09,30.9952
AIR,2022-06-01,1.49369e+09,26.7776
AIR,2022-09-01,1.27877e+09,22.9248
AIR,2022-12-01,1.58946e+09,28.736
AIR,2023-03-01,1.89288e+09,34.912
AIR,2023-06-01,1.9985e+09,36.9664
AIR,2023-09-01,2.05974e+09,38.0992
AIR,2023-12-01,2.19024e+09,39.936
AIR,2024-03-01,2.11341e+09,38.3168
AIR,2024-06-01,1.63779e+09,46.528
AIR,2024-09-01,1.84054e+09,52.288
AIR,2024-12-01,2.72696e+09,49.024
AIR,2025-03-01,1.97085e+09,44.792
AIR,2025-06-01,2.43517e+09,55.032
AIR,2025-09-01,3.17432e+09,71.736
AIR,2025-12-01,3.7152e+09,82.79
AIR,2026-03-01,5.21303e+09,109.46
AIR,2026-06-01,5.64574e+09,142.93
AIR,2026-09-01,4.71867e+09,119.46
CECO,2019-12-01,2.72884e+08,4.9024
CECO,2020-03-01,1.66367e+08,2.9888
CECO,2020-06-01,2.33252e+08,4.2176
CECO,2020-09-01,2.5814e+08,4.6656
CECO,2020-12-01,3.07623e+08,5.568
CECO,2021-03-01,3.50495e+08,6.344
CECO,2021-06-01,2.56143e+08,5.728
CECO,2021-09-01,2.52168e+08,5.632
CECO,2021-12-01,2.20992e+08,4.984
CECO,2022-03-01,1.94743e+08,4.392
CECO,2023-06-01,4.70254e+08,10.688
CECO,2023-09-01,5.61246e+08,12.776
CECO,2023-12-01,8.94891e+08,20.28
CECO,2024-03-01,1.0158e+09,23.02
CECO,2024-06-01,1.04372e+09,28.85
CECO,2024-09-01,1.02374e+09,28.2
CECO,2024-12-01,1.10306e+09,30.23
CECO,2025-03-01,8.31944e+08,22.8
CECO,2025-06-01,1.03867e+09,28.31
CECO,2025-09-01,1.87179e+09,51.2
CECO,2025-12-01,2.17834e+09,59.85
CECO,2026-03-01,2.16851e+09,59.58
CECO,2026-06-01,3.23858e+09,90.74
CECO,2026-09-01,3.24764e+09,74.985
MATX,2019-12-01,1.76664e+09,32.64
MATX,2020-03-01,1.32585e+09,24.496
MATX,2020-06-01,1.26003e+09,23.28
MATX,2020-09-01,1.7359e+09,32.072
MATX,2020-12-01,3.09774e+09,56.97
MATX,2021-03-01,3.62681e+09,66.7
MATX,2021-06-01,2.8032e+09,64
MATX,2021-09-01,3.5351e+09,80.71
MATX,2021-12-01,3.9073e+09,90.03
MATX,2022-03-01,5.23491e+09,120.62
MATX,2022-06-01,3.00266e+09,72.88
MATX,2022-09-01,2.46695e+09,61.52
MATX,2022-12-01,2.41289e+09,62.51
MATX,2023-03-01,2.30326e+09,59.67
MATX,2023-06-01,2.8216e+09,77.73
MATX,2023-09-01,3.1673e+09,88.72
MATX,2023-12-01,3.86888e+09,109.6
MATX,2024-03-01,3.96772e+09,112.4
MATX,2024-06-01,4.53156e+09,130.97
MATX,2024-09-01,4.8776e+09,142.62
MATX,2024-12-01,4.55759e+09,134.84
MATX,2025-03-01,4.33215e+09,128.17
MATX,2025-06-01,3.69682e+09,111.35
MATX,2025-09-01,3.19432e+09,98.59
MATX,2025-12-01,3.92889e+09,123.55
MATX,2026-03-01,5.21329e+09,163.94
MATX,2026-06-01,5.88224e+09,192.23
MATX,2026-09-01,6.72387e+09,221.91
UNM,2021-09-01,5.14416e+09,31.325
UNM,2021-12-01,5.04035e+09,30.7125
UNM,2022-03-01,6.46403e+09,39.3875
UNM,2022-06-01,6.92322e+09,42.525
UNM,2022-09-01,7.85435e+09,48.5
UNM,2022-12-01,8.27371e+09,51.2875
UNM,2023-03-01,7.97728e+09,49.45
UNM,2023-06-01,9.51711e+09,59.625
UNM,2023-09-01,9.74633e+09,61.4875
UNM,2023-12-01,8.9143e+09,56.525
UNM,2024-03-01,8.46247e+09,53.66
UNM,2024-06-01,9.87788e+09,51.11
UNM,2024-09-01,1.13132e+10,59.44
UNM,2024-12-01,1.3648e+10,73.03
UNM,2025-03-01,1.52234e+10,81.46
UNM,2025-06-01,1.44465e+10,80.76
UNM,2025-09-01,1.35673e+10,77.78
UNM,2025-12-01,1.32206e+10,77.5
UNM,2026-03-01,1.24581e+10,73.03
UNM,2026-06-01,1.46973e+10,89.4
UNM,2026-09-01,1.51159e+10,94.46
AAL,2024-09-01,8.09619e+09,11.24
AAL,2024-12-01,1.14589e+10,17.43
AAL,2025-03-01,6.93582e+09,10.55
AAL,2025-06-01,7.39263e+09,11.22
AAL,2025-09-01,7.42253e+09,11.24
AAL,2025-12-01,1.01233e+10,15.33
AAL,2026-03-01,7.09224e+09,10.74
AAL,2026-06-01,1.19475e+10,18.07
AAL,2026-09-01,8.84588e+09,13.35
APOG,2019-12-01,8.6892e+08,26
APOG,2020-03-01,5.56935e+08,16.656
APOG,2020-06-01,6.1632e+08,18.432
APOG,2020-09-01,5.64553e+08,17.096
APOG,2020-12-01,1.05039e+09,31.68
APOG,2021-03-01,1.3401e+09,40.88
APOG,2021-06-01,1.33518e+09,40.73
APOG,2021-09-01,9.75039e+08,37.76
APOG,2021-12-01,1.21049e+09,48.15
APOG,2022-03-01,1.20117e+09,47.46
APOG,2022-06-01,7.94095e+08,31.376
APOG,2022-09-01,6.92577e+08,30.576
APOG,2022-12-01,9.89013e+08,35.568
APOG,2023-03-01,9.63524e+08,34.6
APOG,2023-06-01,1.05754e+09,37.976
APOG,2023-09-01,1.05393e+09,37.664
APOG,2023-12-01,1.46624e+09,53.41
APOG,2024-03-01,1.62896e+09,59.2
APOG,2024-06-01,1.72898e+09,62.835
APOG,2024-09-01,1.5446e+09,70.015
APOG,2024-12-01,1.56209e+09,71.41
APOG,2025-03-01,1.01541e+09,46.33
APOG,2025-06-01,8.8983e+08,40.6
APOG,2025-09-01,9.29697e+08,43.57
APOG,2025-12-01,7.86092e+08,36.41
APOG,2026-03-01,7.24196e+08,33.54
APOG,2026-06-01,9.87618e+08,45.74
APOG,2026-09-01,7.83855e+08,36.78
EPAC,2020-03-01,1.00295e+09,13.24
EPAC,2020-06-01,1.06503e+09,14.08
EPAC,2020-09-01,1.12533e+09,15.048
EPAC,2020-12-01,1.69083e+09,22.61
EPAC,2021-03-01,1.962e+09,26.12
EPAC,2021-06-01,1.60436e+09,26.62
EPAC,2021-09-01,1.2557e+09,20.73
EPAC,2021-12-01,1.22844e+09,20.28
EPAC,2022-03-01,1.32699e+09,21.89
EPAC,2022-06-01,1.1543e+09,19.02
EPAC,2022-09-01,1.08068e+09,17.83
EPAC,2022-12-01,1.54252e+09,25.45
EPAC,2023-03-01,1.46158e+09,25.5
EPAC,2023-06-01,1.5525e+09,27
EPAC,2023-09-01,1.51793e+09,26.43
EPAC,2023-12-01,1.78556e+09,31.09
EPAC,2024-03-01,1.96159e+09,35.66
EPAC,2024-06-01,2.08787e+09,38.18
EPAC,2024-09-01,2.29666e+09,41.89
EPAC,2024-12-01,2.2528e+09,41.09
EPAC,2025-03-01,2.45887e+09,44.86
EPAC,2025-06-01,2.22301e+09,40.56
EPAC,2025-09-01,2.2311e+09,41
EPAC,2025-12-01,2.08091e+09,38.24
EPAC,2026-03-01,1.9456e+09,36.47
EPAC,2026-06-01,1.87548e+09,35.86
EPAC,2026-09-01,1.85696e+09,36.01
AWI,2023-12-01,4.38507e+09,98.32
AWI,2024-03-01,5.54021e+09,124.22
AWI,2024-06-01,4.99388e+09,113.24
AWI,2024-09-01,5.78292e+09,131.43
AWI,2024-12-01,6.20439e+09,141.33
AWI,2025-03-01,6.18463e+09,140.88
AWI,2025-06-01,7.11487e+09,162.44
AWI,2025-09-01,8.56564e+09,196.01
AWI,2025-12-01,8.33196e+09,191.1
AWI,2026-03-01,7.18528e+09,164.8
AWI,2026-06-01,6.93014e+09,160.42
AWI,2026-09-01,7.00152e+09,163.97
ARW,2019-12-01,7.06706e+09,84.74
ARW,2020-03-01,4.3258e+09,51.87
ARW,2020-06-01,5.57131e+09,68.69
ARW,2020-09-01,6.23192e+09,78.66
ARW,2020-12-01,7.59777e+09,97.3
ARW,2021-03-01,8.65349e+09,110.82
ARW,2021-06-01,8.62763e+09,113.83
ARW,2021-09-01,8.37807e+09,112.29
ARW,2021-12-01,9.74411e+09,134.27
ARW,2022-03-01,8.6091e+09,118.63
ARW,2022-06-01,7.70608e+09,112.09
ARW,2022-09-01,6.16299e+09,92.19
ARW,2022-12-01,6.79485e+09,104.57
ARW,2023-03-01,8.11393e+09,124.87
ARW,2023-06-01,8.51918e+09,143.23
ARW,2023-09-01,7.18314e+09,125.24
ARW,2023-12-01,6.88243e+09,122.25
ARW,2024-03-01,7.28834e+09,129.46
ARW,2024-06-01,6.61946e+09,120.76
ARW,2024-09-01,7.19686e+09,132.83
ARW,2024-12-01,6.04909e+09,113.12
ARW,2025-03-01,5.55231e+09,103.83
ARW,2025-06-01,6.71225e+09,127.43
ARW,2025-09-01,6.33338e+09,121
ARW,2025-12-01,5.7449e+09,110.18
ARW,2026-03-01,7.47754e+09,143.41
ARW,2026-06-01,1.10348e+10,213.41
ARW,2026-09-01,1.17645e+10,226.82
ASB,2019-12-01,2.26228e+09,9.02758
ASB,2020-03-01,1.31282e+09,5.23878
ASB,2020-06-01,1.36248e+09,5.60333
ASB,2020-09-01,1.23696e+09,5.16915
ASB,2020-12-01,1.67165e+09,6.98368
ASB,2021-03-01,2.09226e+09,8.74086
ASB,2021-06-01,2.01442e+09,8.38861
ASB,2021-09-01,2.10267e+09,8.77363
ASB,2021-12-01,2.18517e+09,9.25286
ASB,2022-03-01,2.20161e+09,9.3225
ASB,2022-06-01,1.75871e+09,7.4793
ASB,2022-09-01,1.93029e+09,8.22477
ASB,2022-12-01,2.22051e+09,9.45766
ASB,2023-03-01,1.72909e+09,7.36461
ASB,2023-06-01,1.96225e+09,8.30976
ASB,2023-09-01,2.06511e+09,8.76032
ASB,2023-12-01,3.23019e+09,13.6896
ASB,2024-03-01,3.24831e+09,13.7664
ASB,2024-06-01,2.55986e+09,13.536
ASB,2024-09-01,2.60699e+09,13.7856
ASB,2024-12-01,3.62066e+09,19.12
ASB,2025-03-01,3.41311e+09,18.024
ASB,2025-06-01,3.25078e+09,19.512
ASB,2025-09-01,3.42134e+09,20.568
ASB,2025-12-01,3.43542e+09,20.608
ASB,2026-03-01,3.44875e+09,20.688
ASB,2026-06-01,4.10007e+09,24.616
ASB,2026-09-01,5.4463e+09,28.68
ATRO,2019-12-01,9.10695e+08,26.832
ATRO,2020-06-01,3.25396e+08,10.1376
ATRO,2020-09-01,2.37436e+08,7.4112
ATRO,2020-12-01,4.07087e+08,12.7008
ATRO,2021-03-01,5.55091e+08,17.3184
ATRO,2021-06-01,5.41112e+08,16.8096
ATRO,2021-09-01,4.3482e+08,13.4976
ATRO,2021-12-01,3.71448e+08,11.52
ATRO,2022-03-01,4.00235e+08,12.4128
ATRO,2022-06-01,3.24759e+08,9.7632
ATRO,2022-09-01,2.52165e+08,7.5456
ATRO,2022-12-01,3.32082e+08,9.888
ATRO,2023-03-01,4.3074e+08,12.8256
ATRO,2023-06-01,6.45549e+08,19.0656
ATRO,2023-09-01,5.17258e+08,15.2256
ATRO,2023-12-01,7.18575e+08,20.904
ATRO,2024-03-01,7.854e+08,22.848
ATRO,2024-06-01,6.98306e+08,24.036
ATRO,2024-09-01,8.65569e+08,29.22
ATRO,2024-12-01,6.98469e+08,23.94
ATRO,2025-03-01,1.05777e+09,36.255
ATRO,2025-06-01,1.4382e+09,50.22
ATRO,2025-09-01,1.99047e+09,68.415
ATRO,2025-12-01,2.88202e+09,81.36
ATRO,2026-03-01,3.54567e+09,100.095
ATRO,2026-06-01,3.00547e+09,78.63
ATRO,2026-09-01,3.21743e+09,69.14
AVT,2019-12-01,4.42976e+09,42.44
AVT,2020-03-01,2.54268e+09,25.1
AVT,2020-06-01,2.77397e+09,27.885
AVT,2020-09-01,2.57054e+09,25.84
AVT,2020-12-01,3.47227e+09,35.11
AVT,2021-03-01,4.14818e+09,41.51
AVT,2021-06-01,4.0179e+09,40.08
AVT,2021-09-01,3.70613e+09,36.97
AVT,2021-12-01,4.16901e+09,41.23
AVT,2022-03-01,4.07061e+09,40.59
AVT,2022-06-01,4.26596e+09,42.88
AVT,2022-09-01,3.59343e+09,36.12
AVT,2022-12-01,3.97654e+09,41.58
AVT,2023-03-01,4.19253e+09,45.2
AVT,2023-06-01,4.66441e+09,50.45
AVT,2023-09-01,4.45545e+09,48.19
AVT,2023-12-01,4.69617e+09,50.4
AVT,2024-03-01,4.55105e+09,49.58
