ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
MSFT,2007-09-30,2010-07-30,2010-07-30,13762000000,11087000000,,4.289e+09,9.53111e+09,1,9.53111e+09,,,,,,0
MSFT,2007-12-31,2010-07-30,2010-07-30,16367000000,12824000000,,4.707e+09,9.414e+09,1,9.414e+09,,,,,,0
MSFT,2008-03-31,2010-07-30,2010-07-30,14454000000,11940000000,,4.388e+09,9.33617e+09,1,9.33617e+09,,,,,,0
MSFT,2008-06-30,2010-07-30,2010-07-30,15837000000,12971000000,,4.297e+09,9.47e+09,1,9.47e+09,,,,3.6286e+10,1.0339e+10,0
MSFT,2008-09-30,2009-10-23,2009-10-23,15061000000,12213000000,5999000000.0,4.373e+09,9.183e+09,1,9.183e+09,0.13,0.13,,3.3594e+10,9.004e+09,0
MSFT,2008-12-31,2010-01-28,2010-01-28,16629000000,12722000000,5939000000.0,4.174e+09,8.914e+09,1,8.914e+09,0.13,0.13,,3.4478e+10,8.346e+09,0
MSFT,2009-03-31,2010-04-22,2010-04-22,13648000000,10834000000,4438000000.0,2.977e+09,8.904e+09,1,8.904e+09,0.13,0.13,,3.6943e+10,7.285e+09,0
MSFT,2009-06-30,2010-07-30,2010-07-30,13099000000,10513000000,3987000000.0,3.045e+09,8.996e+09,1,8.996e+09,0.13,0.13,7.17e+08,3.9558e+10,6.076e+09,5.746e+09
MSFT,2009-09-30,2009-10-23,2009-10-23,12920000000,10078000000,4482000000.0,3.574e+09,8.983e+09,1,8.983e+09,0.13,0.13,1.15e+09,4.1212e+10,8.823e+09,5.996e+09
MSFT,2009-12-31,2010-01-28,2010-01-28,19022000000,15394000000,8513000000.0,6.662e+09,8.951e+09,1,8.951e+09,0.13,0.13,5.89e+08,4.4283e+10,9.422e+09,5.995e+09
MSFT,2010-03-31,2010-04-22,2010-04-22,14503000000,11748000000,5173000000.0,4.006e+09,8.876e+09,1,8.876e+09,0.13,0.13,5.01e+08,4.571e+10,8.155e+09,5.995e+09
MSFT,2010-06-30,2010-07-30,2010-07-30,16039000000,12869000000,5930000000.0,4.518e+09,8.927e+09,1,8.927e+09,0.13,0.13,7.4e+08,4.6175e+10,5.505e+09,6e+09
MSFT,2010-09-30,2010-10-28,2010-10-28,16195000000,13056000000,7116000000.0,5.41e+09,8.695e+09,1,8.695e+09,0.16,0.16,1.242e+09,4.6942e+10,8.161e+09,1.07e+10
MSFT,2010-12-31,2011-01-27,2011-01-27,19953000000,15120000000,8165000000.0,6.634e+09,8.57e+09,1,8.57e+09,0.16,0.16,8.61e+08,4.8481e+10,4.023e+09,9.7e+09
MSFT,2011-03-31,2011-04-28,2011-04-28,16428000000,12531000000,5709000000.0,5.232e+09,8.51e+09,1,8.51e+09,0.16,0.16,1.056e+09,5.3452e+10,7.021e+09,1.19e+10
MSFT,2011-06-30,2011-07-28,2011-07-28,17367000000,13659000000,6171000000.0,5.874e+09,8.593e+09,1,8.593e+09,0.16,0.16,1.372e+09,5.7083e+10,9.61e+09,1.19e+10
MSFT,2011-09-30,2011-10-20,2011-10-20,17372000000,13595000000,7203000000.0,5.738e+09,8.49e+09,1,8.49e+09,0.2,0.2,2.27e+09,5.9391e+10,1.2881e+10,1.19e+10
MSFT,2011-12-31,2012-01-27,2012-01-27,20885000000,15247000000,7994000000.0,6.624e+09,8.465e+09,1,8.465e+09,0.2,0.2,1.351e+09,6.4121e+10,1.061e+10,1.19e+10
MSFT,2012-03-31,2012-04-19,2012-04-19,17407000000,13455000000,6374000000.0,5.108e+09,8.498e+09,1,8.498e+09,0.2,0.2,1.412e+09,6.8659e+10,6.388e+09,1.1938e+10
MSFT,2012-06-30,2012-07-26,2012-07-26,18059000000,13896000000,192000000.0,-4.92e+08,8.506e+09,1,8.506e+09,0.2,0.2,1.137e+09,6.6363e+10,6.938e+09,1.3131e+10
MSFT,2012-09-30,2012-10-18,2012-10-18,16008000000,11840000000,5308000000.0,4.466e+09,8.494e+09,1,8.494e+09,0.23,0.23,1.624e+09,6.8836e+10,5.036e+09,1.4236e+10
MSFT,2012-12-31,2013-01-24,2013-01-24,21456000000,15764000000,7771000000.0,6.377e+09,8.444e+09,1,8.444e+09,0.23,0.23,1.661e+09,7.2576e+10,6.017e+09,1.6441e+10
MSFT,2013-03-31,2013-04-18,2013-04-18,20489000000,15702000000,7612000000.0,6.055e+09,8.429e+09,1,8.429e+09,0.23,0.23,2.133e+09,7.6688e+10,5.24e+09,1.6446e+10
MSFT,2013-06-30,2013-07-30,2013-07-30,19896000000,14294000000,6073000000.0,4.965e+09,8.47e+09,1,8.47e+09,0.23,0.23,1.938e+09,7.8944e+10,3.804e+09,1.8599e+10
MSFT,2013-09-30,2013-10-24,2013-10-24,18529000000,13415000000,6334000000.0,5.244e+09,8.434e+09,1,8.434e+09,0.28,0.28,2.613e+09,8.1641e+10,4.023e+09,1.66e+10
MSFT,2013-12-31,2014-01-23,2014-01-23,24519000000,16235000000,7969000000.0,6.558e+09,8.395e+09,1,8.395e+09,0.28,0.28,1.594e+09,8.51e+10,1.0059e+10,2.47e+10
MSFT,2014-03-31,2014-04-24,2014-04-24,20403000000,14462000000,6974000000.0,5.66e+09,8.367e+09,1,8.367e+09,0.28,0.28,1.92e+09,8.7424e+10,1.1572e+10,2.47e+10
MSFT,2014-06-30,2014-07-31,2014-07-31,23382000000,15787000000,6482000000.0,4.612e+09,8.399e+09,1,8.399e+09,0.28,0.28,2.66e+09,8.9784e+10,8.669e+09,2.06e+10
MSFT,2014-09-30,2014-10-23,2014-10-23,23201000000,14928000000,5844000000.0,4.54e+09,8.351e+09,1,8.351e+09,0.31,0.31,3.141e+09,9.017e+10,6.302e+09,2.1948e+10
MSFT,2014-12-31,2015-01-26,2015-01-26,26470000000,16334000000,7776000000.0,5.863e+09,8.297e+09,1,8.297e+09,0.31,0.31,2.053e+09,9.1879e+10,6.426e+09,2.1749e+10
