ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
XOM,2017-03-31,2018-05-03,2018-05-03,56474000000,,,4010000000,4.223e+09,1,4.223e+09,0.75,0.75,,1.77151e+11,4.897e+09,4.239e+10
XOM,2017-06-30,2018-08-02,2018-08-02,56026000000,,,3350000000,4.271e+09,1,4.271e+09,0.77,0.77,,1.79178e+11,4.042e+09,4.0716e+10
XOM,2017-09-30,2018-11-07,2018-11-07,59350000000,,,3970000000,4.271e+09,1,4.271e+09,0.77,0.77,,1.82276e+11,4.266e+09,3.9264e+10
XOM,2017-12-31,2018-02-28,2018-02-28,65312000000,,,8380000000,4.256e+09,1,4.256e+09,0.77,0.77,,1.87688e+11,3.177e+09,2.7866e+10
XOM,2018-03-31,2018-05-03,2018-05-03,65436000000,,,4650000000,4.27e+09,1,4.27e+09,0.77,0.77,,1.88195e+11,4.125e+09,1.9836e+10
XOM,2018-06-30,2018-08-02,2018-08-02,71456000000,,,3950000000,4.271e+09,1,4.271e+09,0.82,0.82,,1.87222e+11,3.43e+09,2.05e+10
XOM,2018-09-30,2018-11-07,2018-11-07,74187000000,,,6240000000,4.271e+09,1,4.271e+09,0.82,0.82,,1.90365e+11,5.669e+09,1.9413e+10
XOM,2018-12-31,2019-02-27,2019-02-27,68253000000,,,6000000000,4.27e+09,1,4.27e+09,0.8200000000000003,0.8200000000000003,,1.91794e+11,3.042e+09,4.07e+09
XOM,2019-03-31,2019-05-02,2019-05-02,61646000000,,,2350000000,4.27e+09,1,4.27e+09,0.82,0.82,,1.91222e+11,4.586e+09,2.1794e+10
XOM,2019-06-30,2019-08-07,2019-08-07,67491000000,,,3130000000,4.271e+09,1,4.271e+09,0.87,0.87,,1.91377e+11,4.213e+09,2.6195e+10
XOM,2019-09-30,2019-11-06,2019-11-06,65049000000,,,3170000000,4.271e+09,1,4.271e+09,0.87,0.87,,1.89915e+11,5.351e+09,2.1196e+10
XOM,2019-12-31,2020-02-26,2020-02-26,70752000000,,,5690000000,4.27e+09,1,4.27e+09,0.8700000000000001,0.8700000000000001,,1.9165e+11,3.089e+09,1.617e+09
XOM,2020-03-31,2020-05-06,2020-05-06,56158000000,,,-610000000,4.27e+09,1,4.27e+09,0.87,0.87,,1.82079e+11,1.1412e+10,2.7755e+10
XOM,2020-06-30,2020-08-05,2020-08-05,32605000000,,,-1080000000,4.271e+09,1,4.271e+09,0.87,0.87,,1.80183e+11,1.2576e+10,2.2952e+10
XOM,2020-09-30,2020-11-04,2020-11-04,46199000000,,,-680000000,4.271e+09,1,4.271e+09,0.87,0.87,,1.774e+11,8.832e+09,2.1911e+10
XOM,2020-12-31,2021-02-24,2021-02-24,46540000000,,,-20070000000,4.271e+09,1,4.271e+09,0.8700000000000001,0.8700000000000001,,1.5715e+11,4.364e+09,2.93e+09
XOM,2021-03-31,2021-05-05,2021-05-05,59147000000,,,2730000000,4.272e+09,1,4.272e+09,0.87,0.87,,1.56974e+11,3.515e+09,1.8185e+10
XOM,2021-06-30,2021-08-04,2021-08-04,67742000000,,,4690000000,4.276e+09,1,4.276e+09,0.87,0.87,,1.58571e+11,3.465e+09,1.5293e+10
XOM,2021-09-30,2021-11-03,2021-11-03,73786000000,,,6750000000,4.276e+09,1,4.276e+09,0.87,0.87,,1.60589e+11,4.768e+09,1.2966e+10
XOM,2021-12-31,2022-02-23,2022-02-23,84965000000,,,8870000000,4.275e+09,1,4.275e+09,0.8800000000000003,0.8800000000000003,,1.68577e+11,6.802e+09,2.392e+09
XOM,2022-03-31,2022-05-04,2022-05-04,90500000000,,,5480000000,4.266e+09,1,4.266e+09,0.88,0.88,,1.69215e+11,1.1074e+10,4.886e+09
XOM,2022-06-30,2022-08-03,2022-08-03,115681000000,,,17850000000,4.233e+09,1,4.233e+09,0.88,0.88,,1.77316e+11,1.8861e+10,7.367e+09
XOM,2022-09-30,2022-11-02,2022-11-02,112070000000,,,19660000000,4.185e+09,1,4.185e+09,0.88,0.88,,1.861e+11,3.0407e+10,6.182e+09
XOM,2022-12-31,2023-02-22,2023-02-22,95429000000,,,12750000000,4.205e+09,1,4.205e+09,0.9099999999999997,0.9099999999999997,,1.95049e+11,2.964e+10,1.81e+08
XOM,2023-03-31,2023-05-02,2023-05-02,86564000000,,,11430000000,4.102e+09,1,4.102e+09,0.91,0.91,,1.98685e+11,3.2651e+10,2.296e+09
XOM,2023-06-30,2023-08-01,2023-08-01,82914000000,,,7880000000,4.066e+09,1,4.066e+09,0.91,0.91,,1.99046e+11,2.9528e+10,3.929e+09
XOM,2023-09-30,2023-10-31,2023-10-31,90760000000,,,9070000000,4.025e+09,1,4.025e+09,0.91,0.91,,1.99703e+11,3.2944e+10,4.743e+09
XOM,2023-12-31,2024-02-28,2024-02-28,84344000000,,,7630000000,4.052e+09,1,4.052e+09,0.9500000000000002,0.9500000000000002,,2.04802e+11,3.1539e+10,4.009e+09
XOM,2024-03-31,2024-04-29,2024-04-29,83083000000,,,8220000000,3.998e+09,1,3.998e+09,0.95,0.95,,2.0525e+11,3.332e+10,8.227e+09
XOM,2024-06-30,2024-08-05,2024-08-05,93060000000,,,9240000000,4.317e+09,1,4.317e+09,0.95,0.95,,2.68405e+11,2.646e+10,6.621e+09
XOM,2024-09-30,2024-11-04,2024-11-04,90016000000,,,8610000000,4.462e+09,1,4.462e+09,0.95,0.95,,2.68592e+11,2.6926e+10,5.632e+09
XOM,2024-12-31,2025-02-19,2025-02-19,83426000000,,,7610000000,4.298e+09,1,4.298e+09,0.9900000000000002,0.9900000000000002,,2.63705e+11,2.3029e+10,4.892e+09
XOM,2025-03-31,2025-05-05,2025-05-05,83130000000,,,7713000000,4.372e+09,1,4.372e+09,0.99,0.99,,2.6272e+11,1.7036e+10,4.728e+09
XOM,2025-06-30,2025-08-04,2025-08-04,81506000000,,,7082000000,4.331e+09,1,4.331e+09,0.99,0.99,,2.62593e+11,1.4352e+10,5.419e+09
CVX,2008-03-31,2009-05-07,2009-05-07,65946000000,,,5168000000,2.08021e+09,1,2.08021e+09,0.58,0.58,,,8.208e+09,0
CVX,2008-06-30,2009-08-06,2009-08-06,82989000000,,,5975000000,2.06489e+09,1,2.06489e+09,0.65,0.65,,,8.18e+09,0
CVX,2008-09-30,2009-11-05,2009-11-05,78867000000,,,7893000000,2.04462e+09,1,2.04462e+09,0.65,0.65,,,1.0636e+10,0
CVX,2008-12-31,2010-02-25,2010-02-25,45203000000,,,4895000000,2.05e+09,1,2.05e+09,,,6.854e+09,8.7117e+10,9.56e+09,8.56e+09
