ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
AOS,2009-06-30,2010-08-04,2010-08-04,498700000,122400000,,2.13e+07,25357142.85714286,4,101428571.42857143,0.19,0.0475,,,5.35e+07,0
AOS,2009-09-30,2010-11-04,2010-11-04,501500000,138500000,,3.46e+07,30350877.192982458,4,121403508.77192983,0.195,0.04875,,,6.92e+07,0
AOS,2010-03-31,2011-05-10,2011-05-10,366700000,108300000,,3.09e+07,46119402.985074624,4,184477611.9402985,0.13,0.0325,,,7.98e+07,0
AOS,2010-06-30,2010-08-04,2010-08-04,572500000,158300000,,1.66e+07,46111781.0,4,184447124.0,0.195,0.04875,2.571e+08,8.246e+08,9.4e+07,1.203e+08
AOS,2010-09-30,2010-11-04,2010-11-04,559400000,149100000,,3.2e+07,46254155.0,4,185016620.0,0.21,0.0525,2.686e+08,8.619e+08,1.091e+08,1.186e+08
AOS,2010-12-31,2012-02-27,2012-02-27,370200000,116300000,,3.22e+07,46162715.0,4,184650860.0,0.14,0.035,1.468e+08,8.814e+08,1.189e+08,2.61e+08
AOS,2011-03-31,2011-05-10,2011-05-10,417400000,127000000,48900000.0,4.1e+07,46540471.0,4,186161884.0,0.14,0.035,1.608e+08,9.219e+08,1.242e+08,3.398e+08
AOS,2011-06-30,2011-08-08,2011-08-08,405300000,111900000,49300000.0,5.03e+07,46646497.0,4,186585988.0,0.14,0.035,1.616e+08,9.698e+08,1.082e+08,3.755e+08
AOS,2011-09-30,2011-11-08,2011-11-08,412000000,118700000,39900000.0,1.823e+08,46642523.0,4,186570092.0,0.16,0.04,1.767e+08,1.1235e+09,4.406e+08,3.949e+08
AOS,2011-12-31,2012-02-27,2012-02-27,475800000,155000000,58400000.0,3.21e+07,46574618.0,4,186298472.0,0.16,0.04,1.684e+08,1.0858e+09,4.634e+08,4.802e+08
AOS,2012-03-31,2012-05-07,2012-05-07,468600000,149100000,56400000.0,4.75e+07,46488336.0,4,185953344.0,0.16,0.04,1.722e+08,1.1407e+09,3.672e+08,3.192e+08
AOS,2012-06-30,2012-08-03,2012-08-03,484200000,160500000,63500000.0,3.5e+07,46573981.0,4,186295924.0,0.16,0.04,1.77e+08,1.1578e+09,2.596e+08,2.846e+08
AOS,2012-09-30,2012-11-06,2012-11-06,462200000,156800000,63400000.0,3.7e+07,46569092.0,4,186276368.0,0.2,0.05,1.782e+08,1.1914e+09,2.796e+08,2.796e+08
AOS,2012-12-31,2013-02-27,2013-02-27,524200000,185600000,76100000.0,3.92e+07,46554061.0,4,186216244.0,0.2,0.05,1.634e+08,1.1941e+09,4.629e+08,2.623e+08
AOS,2013-03-31,2013-05-06,2013-05-06,509600000,179300000,72300000.0,3.9e+07,93184890.0,2,186369780.0,0.1,0.05,1.698e+08,1.2357e+09,4.514e+08,2.291e+08
AOS,2013-06-30,2013-08-05,2013-08-05,549100000,198000000,77400000.0,4.21e+07,93231908.0,2,186463816.0,0.12,0.06,1.789e+08,1.2565e+09,4.639e+08,2.093e+08
AOS,2013-09-30,2013-11-04,2013-11-04,536200000,196600000,78300000.0,4.62e+07,92728061.0,2,185456122.0,0.12,0.06,1.895e+08,1.2526e+09,4.768e+08,2.278e+08
AOS,2013-12-31,2014-02-20,2014-02-20,558900000,199900000,71900000.0,4.24e+07,92787670.0,2,185575340.0,0.12,0.06,1.934e+08,1.3287e+09,4.86e+08,2.061e+08
AOS,2014-03-31,2014-05-05,2014-05-05,552200000,195900000,80400000.0,4.67e+07,91965995.0,2,183931990.0,0.15,0.075,1.974e+08,1.3434e+09,4.725e+08,2.27e+08
AOS,2014-06-30,2014-08-05,2014-08-05,595400000,216200000,92500000.0,5.73e+07,91156313.0,2,182312626.0,0.15,0.075,2.068e+08,1.3567e+09,4.966e+08,2.504e+08
AOS,2014-09-30,2014-11-03,2014-11-03,581600000,215300000,83000000.0,5.06e+07,90605750.0,2,181211500.0,0.15,0.075,2.185e+08,1.3752e+09,5.237e+08,2.545e+08
AOS,2014-12-31,2015-02-18,2015-02-18,626800000,231900000,89400000.0,5.32e+07,90986981.0,2,181973962.0,0.15,0.075,2.083e+08,1.3813e+09,5.419e+08,2.375e+08
AOS,2015-03-31,2015-05-05,2015-05-05,618500000,229200000,97400000.0,5.84e+07,90166925.0,2,180333850.0,0.19,0.095,2.188e+08,1.4051e+09,5.749e+08,3.039e+08
AOS,2015-06-30,2015-08-10,2015-08-10,653500000,263300000,116900000.0,7.11e+07,89825155.0,2,179650310.0,0.19,0.095,2.334e+08,1.4365e+09,5.524e+08,2.796e+08
AOS,2015-09-30,2015-11-09,2015-11-09,625100000,256700000,117900000.0,7.36e+07,89369574.0,2,178739148.0,0.19,0.095,2.39e+08,1.4224e+09,6.064e+08,2.608e+08
AOS,2015-12-31,2016-02-17,2016-02-17,639400000,262600000,120700000.0,7.98e+07,89504590.0,2,179009180.0,0.19,0.095,2.229e+08,1.4423e+09,6.452e+08,2.619e+08
