ticker,cik,sector,start,end,note
MSFT,789019,software,,,
GOOGL,1652044,internet,,,
META,1326801,internet,,,
AMZN,1018724,internet,,,
AAPL,320193,hardware,,,
NVDA,1045810,semis,,,
AMD,2488,semis,,,
INTC,50863,semis,,,
MU,723125,memory,,,
WDC,106040,memory,,2025-01-31,2025-02 分拆 SanDisk：分拆後只有兩季，且合併前後口徑不一
STX,1137789,memory,,,
AVGO,1730168,semis,,,
QCOM,804328,semis,,,
TXN,97476,semis,,,
ADI,6281,semis,,,
AMAT,6951,semicap,,,
LRCX,707549,semicap,,,
KLAC,319201,semicap,,,
TER,97210,semicap,,,
ORCL,1341439,software,,,
CRM,1108524,software,,,
ADBE,796343,software,,,
CSCO,858877,hardware,,,
IBM,51143,itservices,,,
NFLX,1065280,internet,,,
NOW,1373715,software,,,
INTU,896878,software,,,
HPQ,47217,hardware,2015-11-01,,2015-11 分拆 HPE：Stooq 把分拆當股利還原（價格無斷點），分拆前市值會被低估一半
NXPI,1413447,semis,,,
MCHP,827054,semis,,,
ON,1097864,semis,,,
MPWR,1280452,semis,,,
SWKS,4127,semis,,,
ADSK,769397,software,,,
CDNS,813672,software,,,
SNPS,883241,software,,,
ANET,1596532,hardware,,,
PANW,1327567,software,,,
FTNT,1262039,software,,,
HPE,1645590,hardware,,,
DELL,1571996,hardware,2021-12-01,,2021-11 分拆 VMware：同上
NTAP,1002047,hardware,,,
GLW,24741,hardware,,,
APH,820313,hardware,,,
TEL,1385157,hardware,,,
KEYS,1601046,hardware,,,
ACN,1467373,itservices,,,
CTSH,1058290,itservices,,,
AKAM,1086222,internet,,,
FFIV,1048695,hardware,,,
ZBRA,877212,hardware,,,
PTC,857005,software,,,
TYL,860731,software,,,
FICO,814547,software,,,
IT,749251,itservices,,,
EPAM,1352010,itservices,,,
SMCI,1375365,hardware,,,
CRWD,1535527,software,,,
PLTR,1321655,software,,,
WDAY,1327811,software,,,
TRMB,864749,hardware,,,
JBL,898293,hardware,,,
EA,712515,internet,,,
TTWO,946581,internet,,,
EBAY,1065088,internet,2015-08-01,,2015-07 分拆 PayPal：同上
MSI,68505,hardware,2011-02-01,,2011-01 分拆 Motorola Mobility＋1:7 反分割，早期 XBRL 期間重疊
CDW,1402057,itservices,,,
VRSN,1014473,internet,,,
