ticker,cik,sector,gics,start,end,note
AOS,91142,gics_indu,Industrials,,,
ABT,1800,gics_health,Health Care,2013-01-31,,分拆 2013-01-02×2.0842
ABBV,1551152,gics_health,Health Care,,,
ACN,1467373,itservices,Information Technology,,,
ADBE,796343,software,Information Technology,,,
AMD,2488,semis,Information Technology,,,
AES,874761,gics_util,Utilities,,,
AFL,4977,gics_fin,Financials,,,
A,1090872,gics_health,Health Care,2014-11-30,,分拆 2014-11-03×1.398
APD,2969,gics_mat,Materials,2016-10-31,,分拆 2016-10-03×1.081
ABNB,1559720,gics_discr,Consumer Discretionary,,,
AKAM,1086222,internet,Information Technology,,,
ALB,915913,gics_mat,Materials,,,
ARE,1035443,gics_re,Real Estate,,,
ALGN,1097149,gics_health,Health Care,,,
ALLE,1579241,gics_indu,Industrials,,,
LNT,352541,gics_util,Utilities,,,
ALL,899051,gics_fin,Financials,,,
GOOGL,1652044,internet,Communication Services,,,
MO,764180,gics_staples,Consumer Staples,,,
AMZN,1018724,internet,Consumer Discretionary,,,
AMCR,1748790,gics_mat,Materials,,,
AEE,1002910,gics_util,Utilities,,,
AEP,4904,gics_util,Utilities,,,
AXP,4962,gics_fin,Financials,,,
AIG,5272,gics_fin,Financials,,,
AMT,1053507,gics_re,Real Estate,,,
AWK,1410636,gics_util,Utilities,,,
AMP,820027,gics_fin,Financials,,,
AME,1037868,gics_indu,Industrials,,,
AMGN,318154,gics_health,Health Care,,,
APH,820313,hardware,Information Technology,,,
ADI,6281,semis,Information Technology,,,
AON,315293,gics_fin,Financials,,,
APO,1858681,gics_fin,Financials,,,
AAPL,320193,hardware,Information Technology,,,
AMAT,6951,semicap,Information Technology,,,
APTV,1521332,gics_discr,Consumer Discretionary,2017-12-31,,分拆 2017-12-05×1.193
ACGL,947484,gics_fin,Financials,,,
ADM,7084,gics_staples,Consumer Staples,,,
ANET,1596532,hardware,Information Technology,,,
AJG,354190,gics_fin,Financials,,,
AIZ,1267238,gics_fin,Financials,,,
T,732717,gics_comm,Communication Services,,,
ATO,731802,gics_util,Utilities,,,
ADSK,769397,software,Information Technology,,,
ADP,8670,gics_indu,Industrials,2014-10-31,,分拆 2014-10-01×1.139
AZO,866787,gics_discr,Consumer Discretionary,,,
AVB,915912,gics_re,Real Estate,,,
AVY,8818,gics_mat,Materials,,,
AXON,1069183,gics_indu,Industrials,,,
BKR,1701605,gics_energy,Energy,,,
BALL,9389,gics_mat,Materials,,,
BAC,70858,gics_fin,Financials,,,
BAX,10456,gics_health,Health Care,2015-07-31,,分拆 2015-07-01×1.841
BDX,10795,gics_health,Health Care,2022-04-30,,分拆 2022-04-01×1.025
BBY,764478,gics_discr,Consumer Discretionary,,,
TECH,842023,gics_health,Health Care,,,
BIIB,875045,gics_health,Health Care,,,
BX,1393818,gics_fin,Financials,,,
XYZ,1512673,gics_fin,Financials,,,
BK,1390777,gics_fin,Financials,,,
BA,12927,gics_indu,Industrials,,,
BKNG,1075531,gics_discr,Consumer Discretionary,,,
BSX,885725,gics_health,Health Care,,,
BMY,14272,gics_health,Health Care,,,
AVGO,1730168,semis,Information Technology,,,
BR,1383312,gics_indu,Industrials,,,
BRO,79282,gics_fin,Financials,,,
BLDR,1316835,gics_indu,Industrials,,,
BG,1996862,gics_staples,Consumer Staples,,,
BXP,1037540,gics_re,Real Estate,,,
CHRW,1043277,gics_indu,Industrials,,,
CDNS,813672,software,Information Technology,,,
CZR,1590895,gics_discr,Consumer Discretionary,,,
CPT,906345,gics_re,Real Estate,,,
CPB,16732,gics_staples,Consumer Staples,,,
COF,927628,gics_fin,Financials,,,
CAH,721371,gics_health,Health Care,,,
KMX,1170010,gics_discr,Consumer Discretionary,,,
CCL,815097,gics_discr,Consumer Discretionary,,,
CARR,1783180,gics_indu,Industrials,,,
CAT,18230,gics_indu,Industrials,,,
CBOE,1374310,gics_fin,Financials,,,
CBRE,1138118,gics_re,Real Estate,,,
CDW,1402057,itservices,Information Technology,,,
COR,1140859,gics_health,Health Care,,,
CNC,1071739,gics_health,Health Care,,,
CNP,1130310,gics_util,Utilities,,,
CF,1324404,gics_mat,Materials,,,
CRL,1100682,gics_health,Health Care,,,
SCHW,316709,gics_fin,Financials,,,
CHTR,1091667,gics_comm,Communication Services,,,
CVX,93410,gics_energy,Energy,,,
CMG,1058090,gics_discr,Consumer Discretionary,,,
CB,896159,gics_fin,Financials,,,
CHD,313927,gics_staples,Consumer Staples,,,
CI,1739940,gics_health,Health Care,,,
CINF,20286,gics_fin,Financials,,,
CTAS,723254,gics_indu,Industrials,,,
CSCO,858877,hardware,Information Technology,,,
C,831001,gics_fin,Financials,,,
CFG,759944,gics_fin,Financials,,,
CLX,21076,gics_staples,Consumer Staples,,,
CME,1156375,gics_fin,Financials,,,
CMS,811156,gics_util,Utilities,,,
KO,21344,gics_staples,Consumer Staples,,,
CTSH,1058290,itservices,Information Technology,,,
COIN,1679788,gics_fin,Financials,,,
CL,21665,gics_staples,Consumer Staples,,,
CMCSA,1166691,gics_comm,Communication Services,,,
CAG,23217,gics_staples,Consumer Staples,2016-11-30,,分拆 2016-11-10×1.285
COP,1163165,gics_energy,Energy,2012-05-31,,分拆 2012-05-01×1.31179
