規格,期間,PE誤差h6,PE誤差h12,PE誤差h24,PE誤差h36,PE誤差四距離平均,隨機漫步h6,隨機漫步h12,隨機漫步h24,隨機漫步h36,盈餘誤差pp_h6,盈餘誤差pp_h12,盈餘誤差pp_h24,盈餘誤差pp_h36
E0 財報＋股價動能＋P/S,選模期,0.1807,0.2727,0.3130,0.3383,0.2762,0.1985,0.3178,0.3534,0.3314,0.4535,0.8848,1.5037,2.1035
E0 財報＋股價動能＋P/S,保留期,0.1937,0.2731,0.3858,0.5025,0.3388,0.2051,0.2959,0.3497,0.4542,0.3658,0.7466,1.3475,2.2138
E1 E0＋E/P,選模期,0.1819,0.2784,0.3129,0.3414,0.2787,0.1990,0.3220,0.3566,0.3374,0.4566,0.8704,1.4209,1.9517
E1 E0＋E/P,保留期,0.1916,0.2542,0.3665,0.4836,0.3240,0.2051,0.2955,0.3486,0.4517,0.3516,0.7425,1.3737,2.0995
E2 只有財報（不看股價）,選模期,0.1812,0.2744,0.3165,0.3262,0.2746,0.1991,0.3192,0.3553,0.3328,0.4696,0.9109,1.5104,2.1263
E2 只有財報（不看股價）,保留期,0.1947,0.2820,0.3746,0.5017,0.3382,0.2051,0.2956,0.3497,0.4545,0.4064,0.7936,1.5952,2.5737
E3 E1＋循環性交互作用,選模期,0.1872,0.2865,0.3286,0.3385,0.2852,0.1986,0.3215,0.3564,0.3373,0.4584,0.8877,1.3959,1.9570
E3 E1＋循環性交互作用,保留期,0.1920,0.2530,0.3669,0.4860,0.3245,0.2051,0.2955,0.3494,0.4517,0.3547,0.7483,1.3978,2.0164
E1＋兩階段隱含利潤率（最終版）,選模期,0.1831,0.2765,0.3156,0.3291,0.2761,0.1992,0.3220,0.3569,0.3386,0.4558,0.8596,1.2899,1.6302
E1＋兩階段隱含利潤率（最終版）,保留期,0.1939,0.2549,0.3726,0.3674,0.2972,0.2051,0.2958,0.3497,0.4545,0.3583,0.7563,1.2438,1.7180
最終版，但報酬＝過去10年中位,選模期,0.1813,0.2863,0.3294,0.3324,0.2824,0.1992,0.3220,0.3569,0.3386,0.4558,0.8596,1.2899,1.6302
最終版，但報酬＝過去10年中位,保留期,0.1957,0.2498,0.3073,0.3205,0.2684,0.2051,0.2958,0.3497,0.4545,0.3583,0.7563,1.2438,1.7180
