期間,h,n,本益比不變,模型,改善,OOS_R2,方向命中,±20%內,±20%內_不變,±30%內,±30%內_不變,大變動時方向命中,組合比不變準
選模期,3,28975,0.111551,0.108635,-0.026146,0.127385,0.598619,0.691251,0.679206,0.801519,0.790923,0.702636,0.551199
保留期,3,17835,0.119967,0.116699,-0.027241,0.136641,0.597365,0.681805,0.665826,0.808635,0.794617,0.690268,0.546454
全期,3,46810,0.114852,0.111934,-0.025400,0.130712,0.598141,0.687652,0.674108,0.804230,0.792331,0.697804,0.549391
選模期,6,28587,0.175216,0.162238,-0.074067,0.223232,0.639102,0.542764,0.513240,0.675307,0.644454,0.721452,0.575366
保留期,6,16347,0.172858,0.163268,-0.055477,0.227939,0.638710,0.543280,0.517281,0.685692,0.653147,0.727031,0.562550
全期,6,44934,0.174554,0.162730,-0.067738,0.224802,0.638959,0.542952,0.514710,0.679085,0.647617,0.723471,0.570704
選模期,9,28287,0.233037,0.195801,-0.159787,0.302996,0.660127,0.472903,0.414325,0.607735,0.541061,0.731032,0.590907
保留期,9,14930,0.215638,0.188190,-0.127286,0.345525,0.665104,0.487810,0.439786,0.631949,0.573275,0.746533,0.575151
全期,9,43217,0.226347,0.193238,-0.146275,0.316640,0.661846,0.478053,0.423121,0.616100,0.552190,0.736232,0.585464
選模期,12,28030,0.278036,0.234806,-0.155485,0.297259,0.664467,0.411202,0.359222,0.542062,0.480806,0.724069,0.593757
保留期,12,13536,0.251670,0.211991,-0.157664,0.317410,0.681294,0.446070,0.392066,0.577054,0.514997,0.752096,0.590278
全期,12,41566,0.268512,0.227071,-0.154338,0.303387,0.669947,0.422557,0.369918,0.553457,0.491941,0.732875,0.592624
選模期,18,27850,0.306949,0.258054,-0.159292,0.294077,0.671131,0.386499,0.329228,0.506355,0.443950,0.724265,0.592316
保留期,18,10958,0.274323,0.239475,-0.127032,0.357482,0.684431,0.401077,0.363570,0.533583,0.484851,0.759966,0.594908
全期,18,38808,0.297634,0.252704,-0.150956,0.311165,0.674887,0.390615,0.338925,0.514043,0.455499,0.733970,0.593048
選模期,24,27788,0.313400,0.268751,-0.142465,0.283089,0.664603,0.363250,0.314488,0.491687,0.432669,0.713213,0.577084
保留期,24,8450,0.296850,0.241924,-0.185028,0.413204,0.714083,0.403787,0.330769,0.532781,0.454556,0.782493,0.611716
全期,24,36238,0.309966,0.261489,-0.156393,0.313643,0.676141,0.372703,0.318285,0.501269,0.437773,0.729072,0.585159
選模期,36,27805,0.318370,0.282713,-0.112000,0.289862,0.636145,0.349290,0.315267,0.472541,0.430031,0.686065,0.549074
保留期,36,3619,0.328093,0.246134,-0.249806,0.444336,0.723404,0.390992,0.310030,0.524454,0.422769,0.797757,0.626416
全期,36,31424,0.319693,0.278093,-0.130124,0.309455,0.646194,0.354092,0.314664,0.478520,0.429194,0.699016,0.557981
