h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,樣本,比較,典型誤差
3,rw,28961.000000,0.111904,0.000000,0.000000,,選模期,全部,訓練名單,
3,E_tech,28961.000000,0.113713,0.016164,0.029472,0.591692,選模期,全部,訓練名單,
3,E_all,28961.000000,0.109296,-0.023304,0.036190,0.602880,選模期,全部,訓練名單,
6,rw,28559.000000,0.176226,0.000000,0.000000,,選模期,全部,訓練名單,
6,E_tech,28559.000000,0.168265,-0.045173,0.154168,0.632410,選模期,全部,訓練名單,
6,E_all,28559.000000,0.164071,-0.068974,0.172488,0.643090,選模期,全部,訓練名單,
9,rw,28271.000000,0.234832,0.000000,0.000000,,選模期,全部,訓練名單,
9,E_tech,28271.000000,0.214986,-0.084512,0.233445,0.650136,選模期,全部,訓練名單,
9,E_all,28271.000000,0.196237,-0.164352,0.266123,0.661208,選模期,全部,訓練名單,
12,rw,28039.000000,0.280467,0.000000,0.000000,,選模期,全部,訓練名單,
12,E_tech,28039.000000,0.256002,-0.087230,0.223213,0.648811,選模期,全部,訓練名單,
12,E_all,28039.000000,0.235016,-0.162055,0.267332,0.662684,選模期,全部,訓練名單,
18,rw,27849.000000,0.309384,0.000000,0.000000,,選模期,全部,訓練名單,
18,E_tech,27849.000000,0.284869,-0.079240,0.222406,0.656146,選模期,全部,訓練名單,
18,E_all,27849.000000,0.256404,-0.171242,0.272726,0.671227,選模期,全部,訓練名單,
24,rw,27757.000000,0.314206,0.000000,0.000000,,選模期,全部,訓練名單,
24,E_tech,27757.000000,0.295004,-0.061110,0.211309,0.641820,選模期,全部,訓練名單,
24,E_all,27757.000000,0.268858,-0.144325,0.254801,0.664157,選模期,全部,訓練名單,
36,rw,24287.000000,0.314085,0.000000,0.000000,,選模期,全部,訓練名單,
36,E_tech,24287.000000,0.297783,-0.051903,0.244371,0.634661,選模期,全部,訓練名單,
36,E_all,24287.000000,0.276166,-0.120728,0.293573,0.643513,選模期,全部,訓練名單,
3,rw,4318.000000,0.126569,0.000000,0.000000,,選模期,科技股名單,訓練名單,
3,E_tech,4318.000000,0.124848,-0.013598,0.180041,0.604447,選模期,科技股名單,訓練名單,
3,E_all,4318.000000,0.122452,-0.032526,0.180013,0.602131,選模期,科技股名單,訓練名單,
6,rw,4274.000000,0.200248,0.000000,0.000000,,選模期,科技股名單,訓練名單,
6,E_tech,4274.000000,0.180043,-0.100902,0.272996,0.649509,選模期,科技股名單,訓練名單,
6,E_all,4274.000000,0.182019,-0.091030,0.280529,0.651146,選模期,科技股名單,訓練名單,
9,rw,4258.000000,0.273316,0.000000,0.000000,,選模期,科技股名單,訓練名單,
9,E_tech,4258.000000,0.236258,-0.135584,0.311781,0.669093,選模期,科技股名單,訓練名單,
9,E_all,4258.000000,0.228511,-0.163931,0.304167,0.659230,選模期,科技股名單,訓練名單,
12,rw,4223.000000,0.327124,0.000000,0.000000,,選模期,科技股名單,訓練名單,
12,E_tech,4223.000000,0.272565,-0.166782,0.309802,0.684584,選模期,科技股名單,訓練名單,
12,E_all,4223.000000,0.276510,-0.154723,0.312872,0.659721,選模期,科技股名單,訓練名單,
18,rw,4224.000000,0.359499,0.000000,0.000000,,選模期,科技股名單,訓練名單,
18,E_tech,4224.000000,0.298979,-0.168346,0.314895,0.687263,選模期,科技股名單,訓練名單,
18,E_all,4224.000000,0.289486,-0.194752,0.332844,0.687500,選模期,科技股名單,訓練名單,
24,rw,4210.000000,0.363286,0.000000,0.000000,,選模期,科技股名單,訓練名單,
24,E_tech,4210.000000,0.304434,-0.161999,0.301085,0.689074,選模期,科技股名單,訓練名單,
24,E_all,4210.000000,0.291638,-0.197223,0.339993,0.701188,選模期,科技股名單,訓練名單,
36,rw,3725.000000,0.338895,0.000000,0.000000,,選模期,科技股名單,訓練名單,
36,E_tech,3725.000000,0.292318,-0.137438,0.343558,0.682148,選模期,科技股名單,訓練名單,
36,E_all,3725.000000,0.284366,-0.160903,0.406187,0.681074,選模期,科技股名單,訓練名單,
3,rw,24643.000000,0.109158,0.000000,0.000000,,選模期,非科技股,訓練名單,
3,E_tech,24643.000000,0.111804,0.024246,0.005904,0.589457,選模期,非科技股,訓練名單,
3,E_all,24643.000000,0.107351,-0.016548,0.013678,0.603011,選模期,非科技股,訓練名單,
6,rw,24285.000000,0.172170,0.000000,0.000000,,選模期,非科技股,訓練名單,
6,E_tech,24285.000000,0.166094,-0.035290,0.133492,0.629401,選模期,非科技股,訓練名單,
6,E_all,24285.000000,0.160992,-0.064922,0.153689,0.641672,選模期,非科技股,訓練名單,
9,rw,24013.000000,0.228346,0.000000,0.000000,,選模期,非科技股,訓練名單,
9,E_tech,24013.000000,0.211173,-0.075206,0.218683,0.646775,選模期,非科技股,訓練名單,
9,E_all,24013.000000,0.190831,-0.164288,0.258954,0.661558,選模期,非科技股,訓練名單,
12,rw,23816.000000,0.270707,0.000000,0.000000,,選模期,非科技股,訓練名單,
12,E_tech,23816.000000,0.253105,-0.065021,0.206713,0.642467,選模期,非科技股,訓練名單,
12,E_all,23816.000000,0.229190,-0.153365,0.258654,0.663210,選模期,非科技股,訓練名單,
18,rw,23625.000000,0.301663,0.000000,0.000000,,選模期,非科技股,訓練名單,
18,E_tech,23625.000000,0.282676,-0.062940,0.203983,0.650582,選模期,非科技股,訓練名單,
18,E_all,23625.000000,0.250544,-0.169455,0.260751,0.668317,選模期,非科技股,訓練名單,
24,rw,23547.000000,0.307763,0.000000,0.000000,,選模期,非科技股,訓練名單,
24,E_tech,23547.000000,0.293550,-0.046182,0.192907,0.633372,選模期,非科技股,訓練名單,
24,E_all,23547.000000,0.264344,-0.141081,0.237339,0.657536,選模期,非科技股,訓練名單,
36,rw,20562.000000,0.309801,0.000000,0.000000,,選模期,非科技股,訓練名單,
36,E_tech,20562.000000,0.298192,-0.037471,0.226385,0.626058,選模期,非科技股,訓練名單,
36,E_all,20562.000000,0.274432,-0.114166,0.273152,0.636708,選模期,非科技股,訓練名單,
3,rw,17809.000000,0.120472,0.000000,0.000000,,保留期,全部,訓練名單,
3,E_tech,17809.000000,0.122234,0.014630,0.054834,0.586838,保留期,全部,訓練名單,
3,E_all,17809.000000,0.117577,-0.024032,0.081654,0.590825,保留期,全部,訓練名單,
6,rw,16290.000000,0.173512,0.000000,0.000000,,保留期,全部,訓練名單,
6,E_tech,16290.000000,0.168756,-0.027409,0.173411,0.633333,保留期,全部,訓練名單,
6,E_all,16290.000000,0.164248,-0.053390,0.191609,0.638428,保留期,全部,訓練名單,
9,rw,14921.000000,0.216601,0.000000,0.000000,,保留期,全部,訓練名單,
9,E_tech,14921.000000,0.192623,-0.110700,0.282266,0.663360,保留期,全部,訓練名單,
9,E_all,14921.000000,0.190475,-0.120619,0.304612,0.663695,保留期,全部,訓練名單,
12,rw,13520.000000,0.252443,0.000000,0.000000,,保留期,全部,訓練名單,
12,E_tech,13520.000000,0.222057,-0.120367,0.278306,0.673964,保留期,全部,訓練名單,
12,E_all,13520.000000,0.213228,-0.155343,0.286696,0.680769,保留期,全部,訓練名單,
18,rw,10954.000000,0.277023,0.000000,0.000000,,保留期,全部,訓練名單,
18,E_tech,10954.000000,0.246560,-0.109965,0.327486,0.686872,保留期,全部,訓練名單,
18,E_all,10954.000000,0.240936,-0.130268,0.334745,0.682764,保留期,全部,訓練名單,
24,rw,8445.000000,0.300203,0.000000,0.000000,,保留期,全部,訓練名單,
24,E_tech,8445.000000,0.258185,-0.139967,0.368160,0.711545,保留期,全部,訓練名單,
24,E_all,8445.000000,0.247347,-0.176070,0.373371,0.714150,保留期,全部,訓練名單,
36,rw,3619.000000,0.332954,0.000000,0.000000,,保留期,全部,訓練名單,
36,E_tech,3619.000000,0.261199,-0.215510,0.395809,0.735562,保留期,全部,訓練名單,
36,E_all,3619.000000,0.252217,-0.242487,0.405002,0.726996,保留期,全部,訓練名單,
3,rw,2535.000000,0.134736,0.000000,0.000000,,保留期,科技股名單,訓練名單,
3,E_tech,2535.000000,0.131166,-0.026498,0.141151,0.596844,保留期,科技股名單,訓練名單,
3,E_all,2535.000000,0.127437,-0.054171,0.172710,0.597633,保留期,科技股名單,訓練名單,
6,rw,2320.000000,0.203550,0.000000,0.000000,,保留期,科技股名單,訓練名單,
6,E_tech,2320.000000,0.193409,-0.049821,0.276258,0.641379,保留期,科技股名單,訓練名單,
6,E_all,2320.000000,0.197432,-0.030055,0.264397,0.636638,保留期,科技股名單,訓練名單,
9,rw,2122.000000,0.253033,0.000000,0.000000,,保留期,科技股名單,訓練名單,
9,E_tech,2122.000000,0.222982,-0.118762,0.347726,0.661640,保留期,科技股名單,訓練名單,
9,E_all,2122.000000,0.224759,-0.111739,0.326232,0.650330,保留期,科技股名單,訓練名單,
12,rw,1911.000000,0.295507,0.000000,0.000000,,保留期,科技股名單,訓練名單,
12,E_tech,1911.000000,0.244117,-0.173902,0.355472,0.690738,保留期,科技股名單,訓練名單,
12,E_all,1911.000000,0.252085,-0.146940,0.327128,0.687598,保留期,科技股名單,訓練名單,
18,rw,1553.000000,0.322954,0.000000,0.000000,,保留期,科技股名單,訓練名單,
18,E_tech,1553.000000,0.284707,-0.118427,0.384778,0.691565,保留期,科技股名單,訓練名單,
18,E_all,1553.000000,0.285417,-0.116231,0.364257,0.672247,保留期,科技股名單,訓練名單,
24,rw,1214.000000,0.342568,0.000000,0.000000,,保留期,科技股名單,訓練名單,
24,E_tech,1214.000000,0.321624,-0.061136,0.384850,0.682043,保留期,科技股名單,訓練名單,
24,E_all,1214.000000,0.305402,-0.108492,0.412412,0.691928,保留期,科技股名單,訓練名單,
36,rw,528.000000,0.416661,0.000000,0.000000,,保留期,科技股名單,訓練名單,
36,E_tech,528.000000,0.321561,-0.228244,0.433156,0.736742,保留期,科技股名單,訓練名單,
36,E_all,528.000000,0.281786,-0.323705,0.493088,0.774621,保留期,科技股名單,訓練名單,
3,rw,15274.000000,0.117964,0.000000,0.000000,,保留期,非科技股,訓練名單,
3,E_tech,15274.000000,0.120787,0.023931,0.041461,0.585177,保留期,非科技股,訓練名單,
3,E_all,15274.000000,0.115851,-0.017908,0.067547,0.589695,保留期,非科技股,訓練名單,
6,rw,13970.000000,0.169296,0.000000,0.000000,,保留期,非科技股,訓練名單,
6,E_tech,13970.000000,0.164506,-0.028295,0.155716,0.631997,保留期,非科技股,訓練名單,
6,E_all,13970.000000,0.159392,-0.058505,0.179086,0.638726,保留期,非科技股,訓練名單,
9,rw,12799.000000,0.211244,0.000000,0.000000,,保留期,非科技股,訓練名單,
9,E_tech,12799.000000,0.188647,-0.106970,0.271048,0.663646,保留期,非科技股,訓練名單,
9,E_all,12799.000000,0.184974,-0.124357,0.300907,0.665911,保留期,非科技股,訓練名單,
12,rw,11609.000000,0.245498,0.000000,0.000000,,保留期,非科技股,訓練名單,
12,E_tech,11609.000000,0.218609,-0.109527,0.264953,0.671203,保留期,非科技股,訓練名單,
12,E_all,11609.000000,0.206605,-0.158425,0.279700,0.679645,保留期,非科技股,訓練名單,
18,rw,9401.000000,0.268793,0.000000,0.000000,,保留期,非科技股,訓練名單,
18,E_tech,9401.000000,0.241162,-0.102797,0.317477,0.686097,保留期,非科技股,訓練名單,
18,E_all,9401.000000,0.233824,-0.130098,0.329589,0.684502,保留期,非科技股,訓練名單,
24,rw,7231.000000,0.292966,0.000000,0.000000,,保留期,非科技股,訓練名單,
24,E_tech,7231.000000,0.248088,-0.153186,0.365090,0.716498,保留期,非科技股,訓練名單,
24,E_all,7231.000000,0.239959,-0.180932,0.366188,0.717881,保留期,非科技股,訓練名單,
36,rw,3091.000000,0.319272,0.000000,0.000000,,保留期,非科技股,訓練名單,
36,E_tech,3091.000000,0.251445,-0.212443,0.389416,0.735361,保留期,非科技股,訓練名單,
36,E_all,3091.000000,0.248306,-0.222274,0.389923,0.718861,保留期,非科技股,訓練名單,
6,rw,28621.000000,0.176605,0.000000,0.000000,,選模期,全部,額外特徵,
6,E_all,28621.000000,0.164372,-0.069264,0.169285,0.642640,選模期,全部,額外特徵,
6,E_all_b,28621.000000,0.164573,-0.068128,0.169762,0.641033,選模期,全部,額外特徵,
12,rw,28051.000000,0.280467,0.000000,0.000000,,選模期,全部,額外特徵,
12,E_all,28051.000000,0.235077,-0.161840,0.269241,0.662971,選模期,全部,額外特徵,
12,E_all_b,28051.000000,0.236288,-0.157520,0.270179,0.664647,選模期,全部,額外特徵,
24,rw,27799.000000,0.314516,0.000000,0.000000,,選模期,全部,額外特徵,
24,E_all,27799.000000,0.269122,-0.144331,0.254052,0.664089,選模期,全部,額外特徵,
