產業,gics,n,公司數,本益比不變,E_tech,E_tech_R2,E_all,E_all_R2,方向命中_all
公用事業,Utilities,2350,30,0.191115,0.192087,0.271172,0.158101,0.342987,0.668085
必需消費,Consumer Staples,3296,33,0.203452,0.187648,0.177729,0.178239,0.203130,0.649575
工業,Industrials,6908,73,0.231656,0.205300,0.254118,0.199096,0.287631,0.676896
非必需消費,Consumer Discretionary,4548,49,0.246002,0.238891,0.141013,0.213645,0.195823,0.673923
金融,Financials,6214,66,0.250194,0.253762,0.141185,0.216613,0.240901,0.654329
醫療保健,Health Care,4853,57,0.311470,0.254519,0.271695,0.243940,0.301858,0.670719
原物料,Materials,2144,25,0.337602,0.282995,0.309803,0.267440,0.307092,0.701493
資訊科技,Information Technology,5923,66,0.316635,0.262469,0.326693,0.269737,0.337111,0.670944
通訊服務,Communication Services,1499,18,0.321436,0.313860,0.242454,0.283997,0.291695,0.643763
不動產,Real Estate,2662,31,0.350428,0.338919,0.186801,0.328678,0.195096,0.637866
能源,Energy,1162,21,0.460917,0.357417,0.355838,0.358710,0.316493,0.749570
