ticker,sector,n,報酬波動,盈餘成長波動,盈餘占比
HPE,hardware,81,0.2487,2.0308,0.9852
EBAY,internet,73,0.3125,2.0265,0.9768
CSCO,hardware,139,0.1742,0.9069,0.9644
NOW,software,62,0.3195,1.5644,0.9600
CRM,software,73,0.2987,1.4600,0.9598
MCHP,semis,148,0.2556,1.1063,0.9493
PTC,software,79,0.2121,0.9037,0.9478
SNPS,software,153,0.1780,0.7468,0.9462
EA,internet,143,0.2665,1.0306,0.9373
CDNS,software,153,0.1715,0.6502,0.9349
TEL,hardware,141,0.2052,0.7479,0.9300
IBM,itservices,153,0.1736,0.6189,0.9270
IT,itservices,141,0.2553,0.8915,0.9242
AMZN,internet,125,0.2712,0.9351,0.9224
FTNT,software,143,0.3193,1.0899,0.9210
ADSK,software,92,0.2473,0.7827,0.9092
TTWO,internet,66,0.3787,1.1975,0.9091
NXPI,semis,49,0.3185,0.9121,0.8913
ADI,semis,153,0.1438,0.3711,0.8694
ON,semis,134,0.3638,0.9288,0.8670
AVGO,semis,88,0.2854,0.7223,0.8650
KEYS,hardware,115,0.2416,0.5911,0.8568
AMD,semis,83,0.4833,1.0657,0.8294
AMAT,semicap,151,0.4098,0.8401,0.8077
STX,memory,125,0.3848,0.7827,0.8053
ORCL,software,165,0.2165,0.4390,0.8044
ZBRA,hardware,111,0.3690,0.7438,0.8025
MSI,hardware,128,0.1773,0.3570,0.8021
MSFT,software,165,0.1756,0.3529,0.8016
HPQ,hardware,94,0.2459,0.4893,0.7983
INTU,software,153,0.2012,0.3807,0.7816
NTAP,hardware,145,0.3454,0.6192,0.7627
LRCX,semicap,165,0.3793,0.6573,0.7502
WDC,memory,73,0.5103,0.8812,0.7489
MU,memory,106,0.7398,1.2203,0.7312
META,internet,152,0.4214,0.6888,0.7276
VRSN,internet,153,0.1916,0.3045,0.7163
TRMB,hardware,153,0.2969,0.4670,0.7122
KLAC,semicap,153,0.2347,0.3596,0.7013
NFLX,internet,153,0.4950,0.7332,0.6869
QCOM,semis,129,0.2621,0.3878,0.6864
INTC,semis,126,0.2426,0.3559,0.6827
ADBE,software,153,0.3018,0.4209,0.6603
TXN,semis,153,0.1678,0.2083,0.6064
AKAM,internet,153,0.2287,0.2776,0.5956
NVDA,semis,165,0.5034,0.5888,0.5778
ANET,hardware,113,0.3425,0.3861,0.5596
APH,hardware,153,0.1604,0.1786,0.5535
GOOGL,internet,116,0.2610,0.2886,0.5502
TYL,software,153,0.2505,0.2468,0.4926
CTSH,itservices,153,0.1946,0.1861,0.4777
CDW,itservices,136,0.2257,0.2083,0.4600
SWKS,semis,153,0.4055,0.3447,0.4196
ACN,itservices,153,0.1584,0.1164,0.3505
FFIV,hardware,153,0.2675,0.1911,0.3380
FICO,software,153,0.2321,0.1609,0.3245
AAPL,hardware,153,0.2463,0.1528,0.2780
JBL,hardware,153,1.3593,0.8338,0.2734
SMCI,hardware,57,0.7687,0.4429,0.2492
GLW,hardware,129,2.1167,0.9074,0.1553
TER,semicap,123,1.5732,0.5575,0.1116
EPAM,itservices,149,1.3482,0.2433,0.0315
MPWR,semis,149,1.9611,0.3464,0.0303
