year,n_E4,n_E12,gamma_6,gamma_12,gamma_24,gamma_36,mu_hist_6,mu_hist_12,mu_hist_24,mu_hist_36
2015,1654,509,0.004,0.002,-0.047,-0.065,0.095,0.168,0.314,0.435
2016,2317,1024,0.014,0.026,0.013,0.038,0.08,0.157,0.322,0.465
2017,2993,1639,0.01,0.025,0.038,0.073,0.077,0.134,0.28,0.431
2018,3702,2312,0.017,0.031,0.047,0.099,0.096,0.169,0.291,0.438
2019,4433,2987,0.023,0.047,0.071,0.122,0.095,0.18,0.333,0.465
2020,5167,3698,0.019,0.044,0.08,0.131,0.092,0.171,0.331,0.49
2021,5915,4413,0.021,0.045,0.079,0.136,0.093,0.175,0.331,0.498
2022,6684,5144,0.02,0.041,0.087,0.146,0.107,0.206,0.368,0.528
2023,7483,5883,0.018,0.037,0.083,0.14,0.088,0.18,0.355,0.512
2024,8285,6655,0.021,0.042,0.078,0.122,0.086,0.162,0.309,0.51
2025,9074,7436,0.021,0.041,0.074,0.104,0.091,0.181,0.34,0.472
2026,9735,8078,0.017,0.037,0.078,0.099,0.099,0.188,0.341,0.447
