口徑,期間,h,n,隨機漫步_誤差,組合_誤差,改善,OOS_R2,方向命中,盈餘全知_誤差,拿到可預測部分,大盤共同誤差占比
GAAP,選模期,3,4472,0.1277,0.1253,-0.0185,0.1880,0.6091,0.0943,0.0708,0.0483
GAAP,保留期,3,2717,0.1359,0.1334,-0.0183,0.1299,0.5937,0.1091,0.0929,0.0521
GAAP,全期,3,7189,0.1309,0.1281,-0.0217,0.1673,0.6033,0.0993,0.0899,0.0503
GAAP,選模期,6,4421,0.2006,0.1803,-0.1016,0.2787,0.6499,0.1387,0.3291,0.0552
GAAP,保留期,6,2504,0.2077,0.2002,-0.0359,0.2628,0.6382,0.1478,0.1245,0.0643
GAAP,全期,6,6925,0.2031,0.1881,-0.0736,0.2733,0.6456,0.1417,0.2436,0.0588
GAAP,選模期,9,4420,0.2739,0.2402,-0.1232,0.2919,0.6590,0.1815,0.3653,0.0794
GAAP,保留期,9,2301,0.2607,0.2286,-0.1228,0.3181,0.6593,0.1811,0.4021,0.0512
GAAP,全期,9,6721,0.2693,0.2358,-0.1247,0.3000,0.6591,0.1814,0.3819,0.0717
GAAP,選模期,12,4390,0.3289,0.2734,-0.1686,0.3012,0.6711,0.2185,0.5024,0.0823
GAAP,保留期,12,2096,0.3011,0.2503,-0.1690,0.3271,0.6842,0.1931,0.4711,0.0349
GAAP,全期,12,6486,0.3214,0.2641,-0.1782,0.3089,0.6753,0.2117,0.5221,0.0713
GAAP,選模期,18,4374,0.3595,0.2934,-0.1840,0.3113,0.6861,0.2663,0.7094,0.0803
GAAP,保留期,18,1718,0.3353,0.2888,-0.1386,0.3564,0.6723,0.2250,0.4213,0.0293
GAAP,全期,18,6092,0.3503,0.2919,-0.1666,0.3231,0.6822,0.2557,0.6174,0.0768
GAAP,選模期,24,4341,0.3640,0.2989,-0.1789,0.3113,0.6913,0.3028,1.0630,0.0753
GAAP,保留期,24,1368,0.3503,0.3263,-0.0684,0.3659,0.6776,0.2638,0.2772,0.0257
GAAP,全期,24,5709,0.3623,0.3053,-0.1574,0.3241,0.6880,0.2912,0.8011,0.0814
GAAP,選模期,36,3864,0.3365,0.2851,-0.1528,0.3474,0.6866,0.3333,16.1682,0.0262
GAAP,保留期,36,664,0.4542,0.3444,-0.2418,0.4238,0.7259,0.3588,1.1510,0.1010
GAAP,全期,36,4528,0.3527,0.2954,-0.1625,0.3610,0.6924,0.3358,3.3990,0.0446
核心,選模期,3,4495,0.1134,0.1111,-0.0199,0.1022,0.6089,0.0965,0.1333,0.0553
核心,保留期,3,2627,0.1263,0.1199,-0.0502,0.1569,0.5843,0.1080,0.3476,0.0698
核心,全期,3,7122,0.1175,0.1142,-0.0282,0.1229,0.5998,0.1004,0.1940,0.0626
核心,選模期,6,4473,0.1681,0.1574,-0.0637,0.2363,0.6501,0.1415,0.4029,0.0607
核心,保留期,6,2421,0.1800,0.1763,-0.0201,0.2175,0.6043,0.1478,0.1126,0.0876
核心,全期,6,6894,0.1718,0.1631,-0.0511,0.2299,0.6340,0.1439,0.3140,0.0708
核心,選模期,9,4469,0.2176,0.1974,-0.0928,0.2742,0.6628,0.1855,0.6282,0.0821
核心,保留期,9,2231,0.2190,0.2031,-0.0724,0.2641,0.6333,0.1835,0.4464,0.0868
核心,全期,9,6700,0.2178,0.1992,-0.0854,0.2710,0.6530,0.1849,0.5646,0.0837
核心,選模期,12,4451,0.2537,0.2253,-0.1118,0.2841,0.6628,0.2250,0.9876,0.0786
核心,保留期,12,2043,0.2403,0.2152,-0.1047,0.2627,0.6432,0.1964,0.5722,0.0586
核心,全期,12,6494,0.2495,0.2227,-0.1076,0.2780,0.6566,0.2174,0.8353,0.0725
核心,選模期,18,4449,0.3002,0.2554,-0.1491,0.3236,0.6777,0.2727,1.6296,0.0957
核心,保留期,18,1672,0.2756,0.2474,-0.1024,0.2404,0.6663,0.2276,0.5884,0.0450
核心,全期,18,6121,0.2941,0.2525,-0.1413,0.3022,0.6746,0.2597,1.2086,0.0841
核心,選模期,24,4413,0.3098,0.2666,-0.1394,0.3093,0.6630,0.3035,6.7976,0.0877
核心,保留期,24,1330,0.3226,0.2725,-0.1551,0.3360,0.7008,0.2615,0.8187,0.0362
核心,全期,24,5743,0.3127,0.2679,-0.1434,0.3158,0.6718,0.2925,2.2230,0.0806
核心,選模期,36,3859,0.3199,0.2806,-0.1230,0.3071,0.6600,0.3318,,0.0472
核心,保留期,36,649,0.3760,0.3006,-0.2004,0.3633,0.7427,0.3589,4.4025,0.0966
核心,全期,36,4508,0.3275,0.2825,-0.1374,0.3171,0.6719,0.3343,,0.0569
