窗口,h,公司數,n,隨機漫步_誤差,組合_誤差,改善,組合贏的公司比例
最後12個月,3,67,769,0.1320,0.1404,0.0633,0.4627
最後1個月,3,64,64,0.1182,0.1507,0.2753,0.4531
最後12個月,6,66,765,0.2205,0.2028,-0.0804,0.6364
最後1個月,6,63,63,0.1755,0.1970,0.1224,0.3651
最後12個月,9,66,760,0.2601,0.2107,-0.1898,0.6212
最後1個月,9,63,63,0.2211,0.1996,-0.0974,0.5238
最後12個月,12,64,749,0.3185,0.2566,-0.1944,0.7188
最後1個月,12,63,63,0.3038,0.2580,-0.1506,0.6032
最後12個月,18,63,723,0.3358,0.2939,-0.1246,0.5873
最後1個月,18,62,62,0.3245,0.3371,0.0389,0.6452
最後12個月,24,62,707,0.3436,0.3249,-0.0545,0.5161
最後1個月,24,59,59,0.3406,0.3133,-0.0802,0.4576
最後12個月,36,63,718,0.4209,0.3372,-0.1987,0.7302
最後1個月,36,58,58,0.6424,0.3871,-0.3975,0.7069
