h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,比較
3,rw,4214,0.1242,0.0000,0.0000,,選模期,各方法
3,run_rate,4214,0.2063,0.6605,-1.1350,0.5954,選模期,各方法
3,huber,4214,0.1249,0.0051,0.1426,0.6094,選模期,各方法
3,gbm,4214,0.1309,0.0535,0.0954,0.5707,選模期,各方法
3,gbm_z,4214,0.1245,0.0022,0.1341,0.5847,選模期,各方法
3,ens3,4214,0.1207,-0.0287,0.2284,0.6092,選模期,各方法
3,ens,4214,0.1207,-0.0287,0.2284,0.6092,選模期,各方法
6,rw,4169,0.1972,0.0000,0.0000,,選模期,各方法
6,run_rate,4169,0.2188,0.1096,-0.1361,0.6356,選模期,各方法
6,huber,4169,0.1949,-0.0118,0.1928,0.6256,選模期,各方法
6,gbm,4169,0.1926,-0.0233,0.2057,0.6260,選模期,各方法
6,gbm_z,4169,0.1940,-0.0160,0.2116,0.6249,選模期,各方法
6,ens3,4169,0.1766,-0.1045,0.2912,0.6438,選模期,各方法
6,ens,4169,0.1755,-0.1099,0.2922,0.6503,選模期,各方法
9,rw,4139,0.2649,0.0000,0.0000,,選模期,各方法
9,run_rate,4139,0.2536,-0.0425,0.0783,0.6482,選模期,各方法
9,huber,4139,0.2516,-0.0502,0.2255,0.6502,選模期,各方法
9,gbm,4139,0.2327,-0.1214,0.2402,0.6390,選模期,各方法
9,gbm_z,4139,0.2431,-0.0822,0.2265,0.6388,選模期,各方法
9,ens3,4139,0.2305,-0.1296,0.3143,0.6610,選模期,各方法
9,ens,4139,0.2305,-0.1296,0.3143,0.6610,選模期,各方法
12,rw,4047,0.3127,0.0000,0.0000,,選模期,各方法
12,run_rate,4047,0.3012,-0.0368,0.0235,0.6301,選模期,各方法
12,huber,4047,0.2953,-0.0557,0.1261,0.6242,選模期,各方法
12,gbm,4047,0.2719,-0.1306,0.1955,0.6331,選模期,各方法
12,gbm_z,4047,0.2720,-0.1304,0.2339,0.6533,選模期,各方法
12,ens3,4047,0.2664,-0.1481,0.2864,0.6657,選模期,各方法
12,ens,4047,0.2617,-0.1633,0.2908,0.6627,選模期,各方法
18,rw,4048,0.3404,0.0000,0.0000,,選模期,各方法
18,run_rate,4048,0.3325,-0.0232,-0.0079,0.6164,選模期,各方法
18,huber,4048,0.3244,-0.0469,0.1208,0.6532,選模期,各方法
18,gbm,4048,0.3111,-0.0861,0.1832,0.6423,選模期,各方法
18,gbm_z,4048,0.3001,-0.1184,0.2278,0.6667,選模期,各方法
18,ens3,4048,0.2840,-0.1655,0.2896,0.6798,選模期,各方法
18,ens,4048,0.2840,-0.1655,0.2896,0.6798,選模期,各方法
24,rw,3947,0.3408,0.0000,0.0000,,選模期,各方法
24,run_rate,3947,0.3334,-0.0216,-0.0050,0.6266,選模期,各方法
24,huber,3947,0.3387,-0.0062,0.0456,0.6514,選模期,各方法
24,gbm,3947,0.3277,-0.0386,0.1337,0.6306,選模期,各方法
24,gbm_z,3947,0.3127,-0.0826,0.2520,0.6539,選模期,各方法
24,ens3,3947,0.2895,-0.1506,0.2890,0.6869,選模期,各方法
24,ens,3947,0.2867,-0.1588,0.2883,0.6848,選模期,各方法
36,rw,3607,0.3201,0.0000,0.0000,,選模期,各方法
36,run_rate,3607,0.3646,0.1391,-0.1491,0.5625,選模期,各方法
36,huber,3607,0.3068,-0.0413,0.1543,0.6474,選模期,各方法
36,gbm,3607,0.3796,0.1860,-0.0138,0.6446,選模期,各方法
36,gbm_z,3607,0.3113,-0.0273,0.2208,0.6282,選模期,各方法
36,ens3,3607,0.2903,-0.0931,0.2997,0.6817,選模期,各方法
36,ens,3607,0.2814,-0.1209,0.3300,0.6781,選模期,各方法
6,rw,4418,0.2006,0.0000,0.0000,,選模期,舊模型
6,old,4418,0.1869,-0.0682,0.2052,0.6442,選模期,舊模型
6,ens3,4418,0.1824,-0.0906,0.2788,0.6419,選模期,舊模型
6,ens,4418,0.1802,-0.1016,0.2818,0.6496,選模期,舊模型
12,rw,4387,0.3280,0.0000,0.0000,,選模期,舊模型
12,old,4387,0.2894,-0.1178,0.2204,0.6617,選模期,舊模型
12,ens3,4387,0.2789,-0.1498,0.2982,0.6724,選模期,舊模型
12,ens,4387,0.2729,-0.1680,0.3032,0.6708,選模期,舊模型
24,rw,4337,0.3638,0.0000,0.0000,,選模期,舊模型
24,old,4337,0.3210,-0.1176,0.2072,0.6583,選模期,舊模型
24,ens3,4337,0.3012,-0.1720,0.2958,0.6894,選模期,舊模型
24,ens,4337,0.2978,-0.1814,0.3091,0.6910,選模期,舊模型
36,rw,3859,0.3359,0.0000,0.0000,,選模期,舊模型
36,old,3859,0.3166,-0.0572,0.2492,0.6385,選模期,舊模型
36,ens3,3859,0.2957,-0.1195,0.3141,0.6898,選模期,舊模型
36,ens,3859,0.2846,-0.1525,0.3473,0.6862,選模期,舊模型
3,rw,4466,0.1276,0.0000,0.0000,,選模期,歷史本益比特徵
3,ens3,4466,0.1252,-0.0188,0.1893,0.6088,選模期,歷史本益比特徵
3,ens3_hist,4466,0.1247,-0.0224,0.1803,0.6012,選模期,歷史本益比特徵
6,rw,4425,0.2009,0.0000,0.0000,,選模期,歷史本益比特徵
6,ens3,4425,0.1826,-0.0913,0.2749,0.6423,選模期,歷史本益比特徵
6,ens3_hist,4425,0.1841,-0.0836,0.2669,0.6405,選模期,歷史本益比特徵
9,rw,4415,0.2735,0.0000,0.0000,,選模期,歷史本益比特徵
9,ens3,4415,0.2397,-0.1234,0.2927,0.6591,選模期,歷史本益比特徵
9,ens3_hist,4415,0.2347,-0.1418,0.3010,0.6682,選模期,歷史本益比特徵
12,rw,4397,0.3304,0.0000,0.0000,,選模期,歷史本益比特徵
12,ens3,4397,0.2791,-0.1551,0.3018,0.6732,選模期,歷史本益比特徵
12,ens3_hist,4397,0.2740,-0.1707,0.3065,0.6777,選模期,歷史本益比特徵
18,rw,4374,0.3595,0.0000,0.0000,,選模期,歷史本益比特徵
18,ens3,4374,0.2934,-0.1840,0.3113,0.6861,選模期,歷史本益比特徵
18,ens3_hist,4374,0.2905,-0.1919,0.3201,0.6950,選模期,歷史本益比特徵
24,rw,4344,0.3643,0.0000,0.0000,,選模期,歷史本益比特徵
24,ens3,4344,0.3020,-0.1708,0.3011,0.6899,選模期,歷史本益比特徵
24,ens3_hist,4344,0.3056,-0.1610,0.2897,0.6846,選模期,歷史本益比特徵
36,rw,3864,0.3365,0.0000,0.0000,,選模期,歷史本益比特徵
36,ens3,3864,0.2960,-0.1202,0.3144,0.6902,選模期,歷史本益比特徵
36,ens3_hist,3864,0.2968,-0.1178,0.3235,0.6853,選模期,歷史本益比特徵
3,rw,2601,0.1330,0.0000,0.0000,,保留期,各方法
3,run_rate,2601,0.1873,0.4080,-0.9314,0.5898,保留期,各方法
3,huber,2601,0.1302,-0.0213,0.0784,0.5852,保留期,各方法
3,gbm,2601,0.1325,-0.0034,0.0973,0.5802,保留期,各方法
3,gbm_z,2601,0.1406,0.0569,0.1082,0.5486,保留期,各方法
3,ens3,2601,0.1299,-0.0233,0.1320,0.5875,保留期,各方法
3,ens,2601,0.1299,-0.0233,0.1320,0.5875,保留期,各方法
6,rw,2411,0.2044,0.0000,0.0000,,保留期,各方法
6,run_rate,2411,0.2091,0.0228,-0.1147,0.6201,保留期,各方法
6,huber,2411,0.1939,-0.0516,0.1724,0.6479,保留期,各方法
6,gbm,2411,0.1945,-0.0487,0.1776,0.6159,保留期,各方法
6,gbm_z,2411,0.2211,0.0816,0.1237,0.5521,保留期,各方法
6,ens3,2411,0.2003,-0.0204,0.2065,0.6180,保留期,各方法
6,ens,2411,0.1978,-0.0323,0.2324,0.6329,保留期,各方法
9,rw,2213,0.2545,0.0000,0.0000,,保留期,各方法
9,run_rate,2213,0.2384,-0.0635,0.0858,0.6100,保留期,各方法
9,huber,2213,0.2367,-0.0700,0.2664,0.6593,保留期,各方法
9,gbm,2213,0.2262,-0.1112,0.2460,0.6426,保留期,各方法
9,gbm_z,2213,0.2536,-0.0035,0.2222,0.5748,保留期,各方法
9,ens3,2213,0.2252,-0.1152,0.3044,0.6525,保留期,各方法
9,ens,2213,0.2252,-0.1152,0.3044,0.6525,保留期,各方法
12,rw,2002,0.2941,0.0000,0.0000,,保留期,各方法
12,run_rate,2002,0.2707,-0.0795,0.0237,0.6139,保留期,各方法
12,huber,2002,0.2674,-0.0909,0.2465,0.6828,保留期,各方法
12,gbm,2002,0.2688,-0.0860,0.2213,0.6334,保留期,各方法
12,gbm_z,2002,0.2567,-0.1272,0.2228,0.6538,保留期,各方法
12,ens3,2002,0.2446,-0.1684,0.2971,0.6833,保留期,各方法
