期間,群組,h,公司數,n,本益比不變,模型,相對隨機漫步,OOS_R2,方向命中
選模期,Nasdaq-100,12,90,4636,0.304709,0.253470,-0.168156,0.330216,0.668248
選模期,Nasdaq-100,36,91,4609,0.331015,0.277316,-0.162225,0.386577,0.652853
選模期,S&P 500 其他,12,392,23394,0.273000,0.231686,-0.151330,0.290457,0.663717
選模期,S&P 500 其他,36,394,23196,0.316545,0.284015,-0.102767,0.267683,0.632825
保留期,Nasdaq-100,12,92,2279,0.242582,0.209991,-0.134350,0.350404,0.695042
保留期,Nasdaq-100,36,93,575,0.356592,0.255612,-0.283181,0.494468,0.659130
保留期,S&P 500 其他,12,400,11257,0.253762,0.212330,-0.163271,0.311378,0.678511
保留期,S&P 500 其他,36,402,3044,0.322731,0.243148,-0.246591,0.435864,0.735545
全期,Nasdaq-100,12,114,6915,0.280536,0.237614,-0.153000,0.335931,0.677079
全期,Nasdaq-100,36,114,5184,0.334339,0.273107,-0.183143,0.397493,0.653549
全期,S&P 500 其他,12,421,34651,0.266280,0.224512,-0.156857,0.296907,0.668523
全期,S&P 500 其他,36,424,26240,0.317450,0.279006,-0.121104,0.289970,0.644741
