ticker,name,aliases,cik,sector,gics,industry,in_sp500,in_tech,price_date,px,mc,mc_check,ni_ttm,rev_ttm,oi_ttm,pe,period_end,fin_age_days,n_quarters,stale,y10,huber_3,gbm_3,gbm_z_3,ens_3,huber_6,gbm_6,gbm_z_6,old_6,ens_6,huber_9,gbm_9,gbm_z_9,ens_9,huber_12,gbm_12,gbm_z_12,old_12,ens_12,huber_18,gbm_18,gbm_z_18,ens_18,huber_24,gbm_24,gbm_z_24,old_24,ens_24,huber_36,gbm_36,gbm_z_36,old_36,ens_36,too_old,in_ndx,in_sp400,in_sp600,in_rut,tier
A,Agilent Technologies Inc. Common Stock,,1090872,gics_health,Health Care,Industrials,True,False,2026-09-24,165.32,4.67856e+10,0.996215,1.44e+09,7.372e+09,1.639e+09,32.49,2026-07-31,61,9,False,0.046,3.46491,3.4522,3.43107,3.44939,3.42855,3.52215,3.44887,3.40628,3.45147,3.39809,3.56653,3.50192,3.48884,3.36423,3.57919,3.48373,3.3108,3.43449,3.36532,3.60592,3.45346,3.4749,3.37992,3.5273,3.44665,3.22137,3.39381,3.40972,3.53037,3.4432,3.14831,3.3829,,False,False,False,False,S&P 500
AA,Alcoa Corporation Common Stock ,,1675149,gics_indu,,Industrials,False,False,2026-09-24,44.02,1.17093e+10,0.992141,1.277e+09,1.3603e+10,,9.1694,2026-06-30,92,9,False,0.046,2.21281,2.20883,2.29796,2.23986,2.24592,2.23356,2.43742,2.38684,2.32594,2.28926,2.2797,2.33204,2.30033,2.43312,2.48409,2.42021,2.76899,2.5266,2.51622,2.54034,2.51011,2.52222,2.57679,2.64803,2.51646,2.84046,2.64544,2.61977,2.71873,2.67784,2.70516,2.68038,,False,True,False,False,S&P 400
AAL,American Airlines Group Inc. Common Stock,,6201,gics_discr,,Consumer Discretionary,False,False,2026-09-24,13.35,8.84588e+09,0.999029,-3.26e+08,5.8337e+10,1.007e+09,-27.1346,2026-06-30,92,9,False,0.046,,,,,,3.41754,,3.13855,,4.44375,3.35936,,3.90155,3.93827,2.95834,,2.00285,2.96649,3.53089,3.03024,,3.28057,3.39007,2.56051,,1.58074,2.51044,3.21872,2.29258,,1.48569,2.33233,,False,True,False,False,S&P 400
AAOI,Applied Optoelectronics Inc. Common Stock,,1158114,gics_it,,Technology,False,False,2026-09-24,101.06,8.24326e+09,1.04093,-5.702e+07,5.9597e+08,-6.7407e+07,-144.568,2026-06-30,92,9,False,0.046,,,,,,,,,,6.08692,,,,4.92433,,,,,4.55143,4.49877,,4.5251,4.41935,4.2513,,6.63122,5.10062,4.32203,5.69771,,4.88501,4.96825,,False,False,False,False,
AAON,AAON Inc. Common Stock,,824142,gics_indu,,Industrials,False,False,2026-09-24,82.36,6.89528e+09,0.98486,1.59288e+08,1.93237e+09,2.13498e+08,43.2881,2026-06-30,92,9,False,0.046,3.60392,3.57863,3.68526,3.6226,3.49166,3.60588,3.71262,3.53082,3.58524,3.43187,3.44384,3.70932,3.52834,3.40334,3.4828,3.71211,3.38314,3.49535,3.41264,3.35023,3.6659,3.47626,3.4679,3.31835,3.75621,3.3142,3.46416,3.47967,3.424,3.88163,3.19935,3.49616,,False,True,False,False,S&P 400
AAP,Advance Auto Parts Inc.,,1158449,gics_discr,,Consumer Discretionary,False,False,2026-09-24,41.1,2.5071e+09,0.990164,8.4e+07,8.622e+09,2.36e+08,29.8464,2026-07-18,74,9,False,0.046,3.289,3.27084,3.2289,3.26291,3.03269,3.18936,2.82493,3.36879,3.10394,2.83278,3.18394,2.87032,2.96235,2.87982,2.75524,2.96654,3.50219,3.02595,2.86413,2.62188,3.17952,2.88851,2.85783,2.51205,3.01259,2.73387,2.77909,2.83013,2.22472,2.79701,2.42172,2.5684,,False,False,True,True,S&P 600
AAPL,Apple Inc. Common Stock,,320193,hardware,Information Technology,Technology,True,True,2026-09-24,337.02,4.96291e+12,0.991057,1.2893e+11,4.66823e+11,1.54859e+11,38.4931,2026-06-27,95,9,False,0.046,3.6042,3.62173,3.59615,3.60736,3.58205,3.60328,3.68405,3.58925,3.61466,3.52419,3.58779,3.71284,3.60827,3.58874,3.55329,3.73407,3.52832,3.6011,3.6003,3.50078,3.79968,3.63358,3.59626,3.42294,3.57746,3.40811,3.5012,3.69951,3.28128,3.70494,3.33251,3.50456,,True,False,False,False,S&P 500
AARD,Aardvark Therapeutics Inc. Common Stock,,1774857,gics_health,,Health Care,False,False,2026-09-24,5.56,1.21465e+08,1.00177,-6.9889e+07,4.06e+06,-7.3955e+07,-1.73797,2026-06-30,92,7,False,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12598,,,,,,False,False,False,False,
AAT,American Assets Trust Inc. Common Stock,,1500217,gics_re,,Real Estate,False,False,2026-09-24,21.49,1.65226e+09,0.798651,1.7966e+07,4.39739e+08,1.00113e+08,91.9657,2026-06-30,92,9,False,0.046,4.46422,4.45561,4.5112,4.47701,4.13707,4.20543,4.30659,4.08394,4.18326,3.83726,3.98328,4.18646,4.00234,3.61933,3.64117,4.20404,3.64371,3.77706,3.46598,3.6849,4.07762,3.74283,3.4005,3.5426,4.07957,3.36015,3.59571,3.36383,3.59387,4.00041,3.18189,3.535,,False,False,True,True,S&P 600
ABAT,American Battery Technology Company Common Stock,,1576873,gics_indu,,Industrials,False,False,2026-09-24,2.31,3.04587e+08,1.08132,-7.3379e+07,2.17417e+07,-7.4708e+07,-4.15087,2026-06-30,92,5,False,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,Russell 2000
ABBV,AbbVie Inc. Common Stock,,1551152,gics_health,Health Care,Health Care,True,False,2026-09-24,265.08,4.70252e+11,0.99612,6.31e+09,6.4386e+10,1.687e+10,74.5249,2026-06-30,92,9,False,0.046,4.1856,4.12271,4.13168,4.14666,3.95685,3.71839,3.94556,3.96165,3.89561,3.75228,3.69936,3.85154,3.76773,3.78931,3.64923,3.99237,3.81273,3.81091,3.73458,3.65307,4.00373,3.79713,3.7021,3.68652,3.95867,3.65545,3.75069,3.68781,3.77396,3.72463,3.46953,3.66398,,False,False,False,False,S&P 500
