ticker,name,mc,px,industry
SPCX,Space Exploration Technologies Corp. Class A Common Stock,2.01366e+12,148.36,Technology
HONA,Honeywell Aerospace Inc. Common Stock ,5.17679e+10,163.33,Industrials
CBRS,Cerebras Systems Inc. Class A Common Stock,4.87576e+10,205.24,Technology
MDLN,Medline Inc. Class A Common Stock,4.50945e+10,34.3,Health Care
XEL,Xcel Energy Inc. Common Stock,4.41367e+10,70.66,Utilities
TRI,Thomson Reuters Corporation Common Shares,4.26485e+10,98.45,Consumer Discretionary
RVMD,Revolution Medicines Inc. Common Stock,4.08825e+10,190.74,Health Care
VIK,Viking Holdings Ltd Ordinary Shares,3.57966e+10,80.3,Consumer Discretionary
FTS,Fortis Inc. Common Shares,2.7231e+10,53.3,Utilities
Q,Qnity Electronics Inc. Common Stock,2.60465e+10,124.5,Technology
GFS,GlobalFoundries Inc. Ordinary Shares,2.58754e+10,46.42,Technology
SN,SharkNinja Inc. Ordinary Shares,2.37354e+10,168.49,Consumer Discretionary
ARXS,Arxis Inc. Class A Common Stock,2.1358e+10,51.16,Industrials
FDXF,FedEx Freight Holding Company Inc. Common Stock,1.78256e+10,119.22,Consumer Discretionary
NLY,Annaly Capital Management Inc. Common Stock,1.58582e+10,21.04,Real Estate
APA,APA Corporation Common Stock,1.53104e+10,43.7,Energy
VNOM,Viper Energy Inc. Class A Common Stock,1.47018e+10,40.93,Energy
PNFP,Pinnacle Financial Partners Inc. Common stock,1.41139e+10,93.4,Finance
ARCC,Ares Capital Corporation Common Stock,1.37501e+10,19.15,Finance
CET,Central Securities Corporation Common Stock,1.36599e+10,56.44,Finance
QNT,Quantinuum Inc. Class A Common Stock,1.31944e+10,50.11,Technology
SMMT,Summit Therapeutics Inc. Common Stock ,1.3123e+10,16.45,Health Care
FPS,Forgent Power Solutions Inc. Class A Common Stock,1.21406e+10,39.88,Energy
AGNC,AGNC Investment Corp. Common Stock,1.17481e+10,9.91,Real Estate
PSKY,Paramount Skydance Corporation Class B Common Stock,1.11746e+10,9.96,Industrials
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,1.10126e+10,29.22,Utilities
SOLS,Solstice Advanced Materials Inc. Common Stock ,9.20997e+09,57.98,Industrials
LLYVK,Liberty Live Holdings Inc. Series C Liberty Live Group Common Stock,9.03125e+09,98.16,Industrials
LLYVA,Liberty Live Holdings Inc. Series A Liberty Live Group Common Stock,8.73959e+09,94.99,Industrials
PCVX,Vaxcyte Inc. Common Stock,8.40675e+09,56.495,Health Care
SYRE,Spyre Therapeutics Inc. Common Stock,7.77428e+09,88.17,Health Care
NTSK,Netskope Inc. Class A Common Stock,7.58747e+09,18.57,Technology
CBC,Central Bancompany Inc. Class A Common Stock,7.51328e+09,31.37,Finance
GJS,Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities Series 2006-2,7.28131e+09,23.33,Finance
OKLO,Oklo Inc. Class A common stock,7.22121e+09,38.82,Utilities
AUGO,Aura Minerals Inc. Common Shares,7.15057e+09,85.34,Basic Materials
IMVT,Immunovant Inc. Common Stock,7.13433e+09,34.54,Health Care
XE,X-Energy Inc. Class A Common Stock,6.65628e+09,16.38,Industrials
SRRK,Scholar Rock Holding Corporation Common Stock,6.071e+09,49.85,Health Care
SWX,Southwest Gas Holdings Inc. Common Stock (DE),5.96519e+09,82.34,Utilities
ORKA,Oruka Therapeutics Inc. Common Stock,5.95391e+09,89.93,Health Care
USAR,USA Rare Earth Inc. Class A Common Stock,5.93746e+09,15.83,Basic Materials
MMED,MiniMed Group Inc. Common Stock,5.77893e+09,20.54,Health Care
LGN,Legence Corp. Class A Common stock,5.71935e+09,52.92,Consumer Discretionary
BETA,Beta Technologies Inc. Class A Common Stock,5.69413e+09,24.34,Industrials
MBGL,Mobility Global Inc. Common Stock,5.56623e+09,18.88,Consumer Discretionary
COGT,Cogent Biosciences Inc. Common Stock,5.45042e+09,31.41,Health Care
OBDC,Blue Owl Capital Corporation Common Stock,5.39991e+09,10.95,Finance
BLLN,BillionToOne Inc. Class A Common Stock,5.39914e+09,114.42,Health Care
OCTV,Octave Intelligence plc Class B Ordinary Shares,5.32044e+09,19.82,Technology
OZK,Bank OZK Common Stock,5.21444e+09,46.09,Finance
MWH,SOLV Energy Inc. Class A Common Stock,5.15074e+09,25.45,Industrials
