產業,h,n,公司,模型,隨機漫步,歷史均值,同業中位數,方向命中,模型vs隨機漫步
energy_oil,6,204,3,0.1610,0.2702,0.5771,0.2774,0.8186,-0.4040
energy_oil,12,164,3,0.2335,0.4422,0.7083,0.4526,0.7988,-0.4720
energy_oil,24,144,3,0.2533,0.6115,0.6966,0.4977,0.8333,-0.5858
power,6,95,3,0.5827,0.5418,0.5139,0.4442,0.5895,0.0754
power,12,65,3,0.5120,0.6468,0.3921,0.3817,0.8154,-0.2085
power,24,36,2,0.7137,0.8101,0.4798,0.4761,0.9167,-0.1189
defense,6,511,5,0.1535,0.1514,0.1986,0.2171,0.6027,0.0138
defense,12,484,5,0.2080,0.2300,0.2215,0.2896,0.6281,-0.0955
defense,24,424,5,0.2199,0.2338,0.2466,0.2055,0.6722,-0.0593
auto_tech,6,34,1,0.5057,0.4651,1.2818,0.4651,0.6471,0.0873
