ticker,產業,n,模型,隨機漫步,歷史均值,贏隨機漫步,贏歷史均值
AAPL,hardware,117,0.1397,0.2178,0.2975,True,True
ACN,itservices,117,0.1261,0.1468,0.1720,True,True
ADBE,software,117,0.1961,0.1920,0.1922,False,False
ADI,semis,117,0.2412,0.2893,0.3033,True,True
ADSK,software,61,0.3034,0.4435,0.5842,True,True
AKAM,internet,117,0.1437,0.2117,0.1728,True,True
AMAT,semicap,129,0.2345,0.3453,0.2779,True,True
AMD,semis,83,0.6339,0.6765,0.7718,True,True
AMZN,internet,116,0.2401,0.4455,0.8458,True,True
ANET,hardware,107,0.3356,0.2618,0.2045,False,False
APH,hardware,117,0.1774,0.1970,0.1867,True,True
AVGO,semis,79,0.4754,0.5343,0.4566,True,False
CDNS,software,117,0.3045,0.2488,0.4181,False,True
CDW,itservices,117,0.2708,0.1858,0.1180,False,False
CRM,software,73,0.5459,0.8836,1.1699,True,True
CSCO,hardware,103,0.1758,0.2124,0.2473,True,True
CTSH,itservices,117,0.1666,0.2146,0.1865,True,True
DELL,hardware,10,0.3173,0.3234,,True,False
EA,internet,117,0.3100,0.3709,0.4336,True,True
EBAY,internet,66,0.8405,0.7298,0.4361,False,False
EPAM,itservices,117,0.2815,0.3121,0.6386,True,True
FFIV,hardware,117,0.1714,0.2309,0.1682,True,False
FICO,software,117,0.2633,0.2168,0.4322,False,True
FTNT,software,109,0.3115,0.4104,0.5572,True,True
GLW,hardware,93,0.6850,0.6792,0.6932,False,True
GOOGL,internet,107,0.1941,0.2606,0.1822,True,False
HPE,hardware,69,0.5675,1.1425,0.4906,True,False
HPQ,hardware,81,0.4402,0.2946,0.2140,False,False
IBM,itservices,117,0.3375,0.4656,0.1924,True,False
INTC,semis,90,0.1975,0.1961,0.2768,False,True
INTU,software,117,0.1833,0.1586,0.1880,False,True
IT,itservices,105,0.2361,0.3001,0.4723,True,True
JBL,hardware,108,1.1092,0.6227,0.6431,False,False
KEYS,hardware,103,0.2997,0.3889,0.3781,True,True
KLAC,semicap,117,0.2886,0.3274,0.2467,True,False
LRCX,semicap,129,0.2937,0.3641,0.3334,True,True
MCHP,semis,112,0.5113,0.7513,0.8014,True,True
META,internet,129,0.2234,0.2848,0.5268,True,True
MPWR,semis,117,0.2133,0.1957,0.4795,False,True
MSFT,software,129,0.1555,0.2082,0.1397,True,False
MSI,hardware,93,0.1084,0.1474,0.3301,True,True
MU,memory,91,0.6968,0.9006,0.7212,True,True
NFLX,internet,117,0.2914,0.3653,0.7825,True,True
NOW,software,62,0.6289,0.6822,0.9130,True,True
NTAP,hardware,109,0.3759,0.5226,0.3286,True,False
NVDA,semis,129,0.3210,0.4277,0.6426,True,True
NXPI,semis,44,0.1693,0.2311,0.6925,True,True
ON,semis,111,0.4205,0.5117,0.4717,True,True
ORCL,software,129,0.3533,0.1909,0.2620,False,False
PANW,software,20,0.9569,1.3055,,True,False
PTC,software,65,0.4980,0.6321,1.1176,True,True
QCOM,semis,93,0.2525,0.3563,0.2101,True,False
SMCI,hardware,57,0.3818,0.4550,0.4036,True,True
SNPS,software,117,0.3373,0.2733,0.2244,False,False
STX,memory,89,0.4809,0.5698,0.5064,True,True
SWKS,semis,117,0.2581,0.3192,0.2530,True,False
TEL,hardware,105,0.4288,0.4803,0.3531,True,False
TER,semicap,87,0.3915,0.4886,0.2991,True,False
TRMB,hardware,117,0.3735,0.3515,0.4021,False,True
TTWO,internet,55,0.3355,0.3060,0.5609,False,True
TXN,semis,117,0.1499,0.1999,0.2324,True,True
TYL,software,117,0.3360,0.2247,0.2735,False,False
VRSN,internet,117,0.2153,0.2259,0.2339,True,True
WDAY,software,11,1.0123,1.1878,,True,False
WDC,memory,37,0.8156,0.8348,1.2030,True,True
ZBRA,hardware,83,0.2872,0.5042,0.4125,True,True
