期間,h,方法,n,公司數,中位絕對誤差,平均絕對誤差,偏誤,方向命中,橫斷面排序相關
全期,6,模型（報酬＝資金成本）,6642,65,0.1881,0.2919,-0.0409,0.6423,0.8543
全期,6,模型（報酬＝過去10年中位）,6642,65,0.1873,0.2908,0.0103,0.6358,0.8543
全期,6,模型（股價不動）,6642,65,0.1950,0.2989,-0.0794,0.6186,0.8543
全期,6,隨機漫步,6642,65,0.2010,0.3265,0.0073,,0.8246
全期,6,歷史均值(5y),6642,65,0.3142,0.4553,-0.0153,0.5780,0.6786
全期,6,同業中位數,6642,65,0.3410,0.4836,-0.0065,0.5513,0.4771
全期,12,模型（報酬＝資金成本）,6208,63,0.2695,0.3970,-0.0745,0.6600,0.7122
全期,12,模型（報酬＝過去10年中位）,6208,63,0.2740,0.3940,0.0239,0.6527,0.7122
全期,12,模型（股價不動）,6208,63,0.2888,0.4148,-0.1473,0.6186,0.7122
全期,12,隨機漫步,6208,63,0.3125,0.4655,-0.0058,,0.6787
全期,12,歷史均值(5y),6208,63,0.3353,0.4866,-0.0225,0.6150,0.6219
全期,12,同業中位數,6208,63,0.3772,0.5148,-0.0232,0.5784,0.4186
全期,24,模型（報酬＝資金成本）,5489,63,0.3279,0.4654,-0.1365,0.6420,0.6202
全期,24,模型（報酬＝過去10年中位）,5489,63,0.3228,0.4508,0.0461,0.6590,0.6202
全期,24,模型（股價不動）,5489,63,0.3817,0.5206,-0.2815,0.5859,0.6202
全期,24,隨機漫步,5489,63,0.3557,0.5318,-0.0197,,0.5962
全期,24,歷史均值(5y),5489,63,0.3605,0.5240,-0.0598,0.6247,0.5535
全期,24,同業中位數,5489,63,0.3808,0.5220,-0.0394,0.6138,0.4045
全期,36,模型（報酬＝資金成本）,4811,63,0.3329,0.4651,-0.1644,0.6288,0.5690
全期,36,模型（報酬＝過去10年中位）,4811,63,0.3304,0.4520,0.0927,0.6514,0.5690
全期,36,模型（股價不動）,4811,63,0.4349,0.5670,-0.3765,0.5471,0.5690
全期,36,隨機漫步,4811,63,0.3539,0.5283,-0.0183,,0.5775
全期,36,歷史均值(5y),4811,63,0.4000,0.5607,-0.0852,0.5753,0.5233
全期,36,同業中位數,4811,63,0.3573,0.4900,-0.0718,0.6192,0.4142
選模期2015-21,6,模型（報酬＝資金成本）,4213,62,0.1831,0.2916,-0.0380,0.6430,0.8598
選模期2015-21,6,模型（報酬＝過去10年中位）,4213,62,0.1813,0.2908,0.0158,0.6357,0.8598
選模期2015-21,6,模型（股價不動）,4213,62,0.1891,0.2970,-0.0728,0.6195,0.8598
選模期2015-21,6,隨機漫步,4213,62,0.1992,0.3270,0.0158,,0.8336
選模期2015-21,6,歷史均值(5y),4213,62,0.3211,0.4824,-0.0537,0.5659,0.6090
選模期2015-21,6,同業中位數,4213,62,0.3444,0.5022,0.0099,0.5516,0.4705
選模期2015-21,12,模型（報酬＝資金成本）,4178,62,0.2765,0.4042,-0.0405,0.6628,0.7266
選模期2015-21,12,模型（報酬＝過去10年中位）,4178,62,0.2863,0.4077,0.0559,0.6429,0.7266
選模期2015-21,12,模型（股價不動）,4178,62,0.2876,0.4150,-0.1090,0.6345,0.7266
選模期2015-21,12,隨機漫步,4178,62,0.3220,0.4747,0.0188,,0.7011
選模期2015-21,12,歷史均值(5y),4178,62,0.3471,0.5178,-0.0412,0.6022,0.5771
選模期2015-21,12,同業中位數,4178,62,0.3925,0.5399,0.0091,0.5725,0.4459
選模期2015-21,24,模型（報酬＝資金成本）,4141,62,0.3156,0.4620,-0.0799,0.6595,0.6591
選模期2015-21,24,模型（報酬＝過去10年中位）,4141,62,0.3294,0.4652,0.0971,0.6428,0.6591
選模期2015-21,24,模型（股價不動）,4141,62,0.3516,0.5014,-0.2182,0.6187,0.6591
選模期2015-21,24,隨機漫步,4141,62,0.3569,0.5359,0.0237,,0.6525
選模期2015-21,24,歷史均值(5y),4141,62,0.3560,0.5430,-0.0655,0.6093,0.5607
選模期2015-21,24,同業中位數,4141,62,0.3777,0.5289,-0.0078,0.6141,0.4494
選模期2015-21,36,模型（報酬＝資金成本）,4158,62,0.3291,0.4605,-0.1425,0.6231,0.5885
選模期2015-21,36,模型（報酬＝過去10年中位）,4158,62,0.3324,0.4589,0.1108,0.6318,0.5885
選模期2015-21,36,模型（股價不動）,4158,62,0.4100,0.5513,-0.3512,0.5592,0.5885
選模期2015-21,36,隨機漫步,4158,62,0.3386,0.5180,0.0043,,0.5894
選模期2015-21,36,歷史均值(5y),4158,62,0.3978,0.5684,-0.0961,0.5572,0.5452
選模期2015-21,36,同業中位數,4158,62,0.3429,0.4828,-0.0531,0.6198,0.4243
保留期2022-26,6,模型（報酬＝資金成本）,2429,65,0.1939,0.2923,-0.0442,0.6410,0.8422
保留期2022-26,6,模型（報酬＝過去10年中位）,2429,65,0.1957,0.2909,0.0016,0.6361,0.8422
保留期2022-26,6,模型（股價不動）,2429,65,0.2053,0.3020,-0.0887,0.6171,0.8422
保留期2022-26,6,隨機漫步,2429,65,0.2051,0.3256,-0.0123,,0.8091
保留期2022-26,6,歷史均值(5y),2429,65,0.2990,0.4083,0.0501,0.5990,0.6901
保留期2022-26,6,同業中位數,2429,65,0.3339,0.4514,-0.0331,0.5508,0.4823
保留期2022-26,12,模型（報酬＝資金成本）,2030,62,0.2549,0.3822,-0.1288,0.6542,0.6742
保留期2022-26,12,模型（報酬＝過去10年中位）,2030,62,0.2498,0.3659,-0.0326,0.6729,0.6742
保留期2022-26,12,模型（股價不動）,2030,62,0.2909,0.4144,-0.2149,0.5857,0.6742
保留期2022-26,12,隨機漫步,2030,62,0.2958,0.4468,-0.0517,,0.6536
保留期2022-26,12,歷史均值(5y),2030,62,0.3067,0.4223,0.0107,0.6414,0.6536
保留期2022-26,12,同業中位數,2030,62,0.3498,0.4631,-0.0732,0.5906,0.2911
