產業,h,方法,n,公司數,中位絕對誤差,平均絕對誤差,偏誤,方向命中,橫斷面排序相關
hardware,6,模型（報酬＝資金成本）,1628,17,0.1997,0.3320,-0.0371,0.6413,
hardware,6,模型（報酬＝過去10年中位）,1628,17,0.2050,0.3322,0.0149,0.6216,
hardware,6,模型（股價不動）,1628,17,0.2106,0.3378,-0.0756,0.6229,
hardware,6,隨機漫步,1628,17,0.2131,0.3700,-0.0063,,
hardware,6,歷史均值(5y),1628,17,0.3075,0.4146,-0.0396,0.5983,
hardware,6,同業中位數,1628,17,0.3541,0.4682,-0.0593,0.5436,
hardware,12,模型（報酬＝資金成本）,1506,16,0.2909,0.4533,-0.0504,0.6780,
hardware,12,模型（報酬＝過去10年中位）,1506,16,0.3029,0.4567,0.0457,0.6707,
hardware,12,模型（股價不動）,1506,16,0.3022,0.4667,-0.1231,0.6534,
hardware,12,隨機漫步,1506,16,0.3359,0.5195,-0.0457,,
hardware,12,歷史均值(5y),1506,16,0.3241,0.4370,-0.0673,0.6268,
hardware,12,同業中位數,1506,16,0.4050,0.5056,-0.0771,0.5505,
hardware,24,模型（報酬＝資金成本）,1325,16,0.3262,0.5175,-0.1231,0.6355,
hardware,24,模型（報酬＝過去10年中位）,1325,16,0.3406,0.5082,0.0675,0.6732,
hardware,24,模型（股價不動）,1325,16,0.3657,0.5654,-0.2626,0.5721,
hardware,24,隨機漫步,1325,16,0.3591,0.5658,-0.0747,,
hardware,24,歷史均值(5y),1325,16,0.3394,0.4565,-0.0929,0.6528,
hardware,24,同業中位數,1325,16,0.3833,0.5114,-0.0729,0.6045,
hardware,36,模型（報酬＝資金成本）,1142,16,0.2948,0.4864,-0.1514,0.6567,
hardware,36,模型（報酬＝過去10年中位）,1142,16,0.3051,0.4790,0.1124,0.7268,
hardware,36,模型（股價不動）,1142,16,0.4035,0.5898,-0.3588,0.5342,
hardware,36,隨機漫步,1142,16,0.3381,0.5435,-0.0941,,
hardware,36,歷史均值(5y),1142,16,0.3535,0.4775,-0.1182,0.6217,
hardware,36,同業中位數,1142,16,0.3400,0.4732,-0.1125,0.6489,
internet,6,模型（報酬＝資金成本）,974,9,0.1632,0.2710,-0.0413,0.6571,
internet,6,模型（報酬＝過去10年中位）,974,9,0.1713,0.2696,0.0095,0.6273,
internet,6,模型（股價不動）,974,9,0.1734,0.2787,-0.0817,0.6232,
internet,6,隨機漫步,974,9,0.1854,0.3034,0.0513,,
internet,6,歷史均值(5y),974,9,0.3632,0.4882,0.2019,0.5462,
internet,6,同業中位數,974,9,0.3239,0.5362,-0.0074,0.5688,
internet,12,模型（報酬＝資金成本）,921,9,0.2380,0.3543,-0.0493,0.7068,
internet,12,模型（報酬＝過去10年中位）,921,9,0.2427,0.3557,0.0468,0.6428,
internet,12,模型（股價不動）,921,9,0.2658,0.3726,-0.1241,0.6840,
internet,12,隨機漫步,921,9,0.3030,0.4357,0.0994,,
internet,12,歷史均值(5y),921,9,0.3903,0.5328,0.2214,0.5700,
internet,12,同業中位數,921,9,0.3347,0.5406,-0.0085,0.6004,
internet,24,模型（報酬＝資金成本）,813,9,0.2399,0.3835,-0.0320,0.7282,
internet,24,模型（報酬＝過去10年中位）,813,9,0.2759,0.4076,0.1416,0.6704,
internet,24,模型（股價不動）,813,9,0.3038,0.4244,-0.1818,0.6925,
internet,24,隨機漫步,813,9,0.3259,0.5070,0.1484,,
internet,24,歷史均值(5y),813,9,0.4396,0.6074,0.2592,0.5400,
internet,24,同業中位數,813,9,0.3193,0.4894,0.0252,0.6827,
internet,36,模型（報酬＝資金成本）,708,9,0.2253,0.3390,-0.0559,0.7782,
internet,36,模型（報酬＝過去10年中位）,708,9,0.2964,0.3874,0.1981,0.6723,
internet,36,模型（股價不動）,708,9,0.3337,0.4236,-0.2721,0.7274,
internet,36,隨機漫步,708,9,0.4203,0.5731,0.1863,,
internet,36,歷史均值(5y),708,9,0.4770,0.6721,0.2629,0.5014,
internet,36,同業中位數,708,9,0.2989,0.4450,0.0571,0.6893,
itservices,6,模型（報酬＝資金成本）,721,6,0.1513,0.2125,-0.0320,0.6311,
itservices,6,模型（報酬＝過去10年中位）,721,6,0.1583,0.2120,0.0213,0.6103,
itservices,6,模型（股價不動）,721,6,0.1578,0.2194,-0.0712,0.6019,
itservices,6,隨機漫步,721,6,0.1608,0.2411,0.0039,,
itservices,6,歷史均值(5y),721,6,0.2188,0.3825,-0.0332,0.5742,
itservices,6,同業中位數,721,6,0.2868,0.3850,0.0134,0.5395,
itservices,12,模型（報酬＝資金成本）,686,6,0.2204,0.3067,-0.0995,0.6254,
itservices,12,模型（報酬＝過去10年中位）,686,6,0.2234,0.2985,0.0024,0.6210,
itservices,12,模型（股價不動）,686,6,0.2395,0.3293,-0.1707,0.5743,
itservices,12,隨機漫步,686,6,0.2306,0.3425,0.0034,,
itservices,12,歷史均值(5y),686,6,0.2474,0.4134,-0.0345,0.6356,
itservices,12,同業中位數,686,6,0.2907,0.3935,-0.0110,0.5700,
itservices,24,模型（報酬＝資金成本）,614,6,0.2580,0.3595,-0.1720,0.6515,
itservices,24,模型（報酬＝過去10年中位）,614,6,0.2363,0.3284,-0.0022,0.6238,
itservices,24,模型（股價不動）,614,6,0.3560,0.4334,-0.3152,0.5749,
itservices,24,隨機漫步,614,6,0.2577,0.3811,-0.0050,,
itservices,24,歷史均值(5y),614,6,0.3043,0.4796,-0.0700,0.5765,
itservices,24,同業中位數,614,6,0.2799,0.4006,-0.0290,0.6205,
itservices,36,模型（報酬＝資金成本）,544,6,0.2547,0.3510,-0.1573,0.6158,
itservices,36,模型（報酬＝過去10年中位）,544,6,0.2738,0.3470,0.1010,0.6213,
itservices,36,模型（股價不動）,544,6,0.3719,0.4641,-0.3592,0.5165,
itservices,36,隨機漫步,544,6,0.2408,0.3799,-0.0123,,
itservices,36,歷史均值(5y),544,6,0.3344,0.5437,-0.1259,0.4669,
itservices,36,同業中位數,544,6,0.2325,0.3781,-0.0303,0.6250,
memory,6,模型（報酬＝資金成本）,253,3,0.3388,0.4637,0.1467,0.7115,
memory,6,模型（報酬＝過去10年中位）,253,3,0.3835,0.4751,0.2057,0.6877,
memory,6,模型（股價不動）,253,3,0.3385,0.4585,0.1107,0.7510,
memory,6,隨機漫步,253,3,0.4439,0.5814,0.1009,,
memory,6,歷史均值(5y),253,3,0.5179,0.6429,-0.0950,0.6087,
memory,6,同業中位數,253,3,0.5624,0.6429,0.0797,0.3715,
memory,12,模型（報酬＝資金成本）,217,3,0.5639,0.6223,0.0955,0.7189,
memory,12,模型（報酬＝過去10年中位）,217,3,0.6238,0.6318,0.1966,0.6636,
memory,12,模型（股價不動）,217,3,0.5540,0.6203,0.0288,0.7650,
memory,12,隨機漫步,217,3,0.6752,0.7978,0.1116,,
