h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,群組
3,rw,8660,0.176375,0.000000,0.000000,,選模期,全部中小型股
3,V1,8660,0.168322,-0.045660,0.148610,0.627483,選模期,全部中小型股
3,V2,8660,0.168504,-0.044627,0.145783,0.624134,選模期,全部中小型股
3,V3,8660,0.166711,-0.054793,0.168358,0.634642,選模期,全部中小型股
3,V4,8660,0.169416,-0.039458,0.106180,0.634642,選模期,全部中小型股
6,rw,8430,0.273501,0.000000,0.000000,,選模期,全部中小型股
6,V1,8430,0.244020,-0.107791,0.279835,0.657414,選模期,全部中小型股
6,V2,8430,0.251061,-0.082049,0.251459,0.633452,選模期,全部中小型股
6,V3,8430,0.248674,-0.090777,0.262284,0.640332,選模期,全部中小型股
6,V4,8430,0.253785,-0.072089,0.169634,0.640332,選模期,全部中小型股
9,rw,8220,0.335025,0.000000,0.000000,,選模期,全部中小型股
9,V1,8220,0.289759,-0.135113,0.326932,0.671168,選模期,全部中小型股
9,V2,8220,0.291616,-0.129572,0.317364,0.663990,選模期,全部中小型股
9,V3,8220,0.292035,-0.128319,0.313878,0.658759,選模期,全部中小型股
9,V4,8220,0.305141,-0.089201,0.209882,0.658759,選模期,全部中小型股
12,rw,8061,0.390714,0.000000,0.000000,,選模期,全部中小型股
12,V1,8061,0.337743,-0.135576,0.292845,0.672497,選模期,全部中小型股
12,V2,8061,0.333161,-0.147301,0.299617,0.673862,選模期,全部中小型股
12,V3,8061,0.336957,-0.137586,0.295955,0.670388,選模期,全部中小型股
12,V4,8061,0.351986,-0.099121,0.206008,0.670388,選模期,全部中小型股
3,rw,6548,0.184834,0.000000,0.000000,,選模期,Russell 2000
3,V1,6548,0.178368,-0.034979,0.144720,0.625076,選模期,Russell 2000
3,V2,6548,0.179531,-0.028690,0.141166,0.622786,選模期,Russell 2000
3,V3,6548,0.176015,-0.047708,0.168552,0.633018,選模期,Russell 2000
3,V4,6548,0.177505,-0.039649,0.105852,0.633018,選模期,Russell 2000
6,rw,6368,0.283387,0.000000,0.000000,,選模期,Russell 2000
6,V1,6368,0.258423,-0.088093,0.273850,0.657192,選模期,Russell 2000
6,V2,6368,0.262823,-0.072566,0.239076,0.629397,選模期,Russell 2000
6,V3,6368,0.260926,-0.079258,0.254285,0.641018,選模期,Russell 2000
6,V4,6368,0.263956,-0.068566,0.162970,0.641018,選模期,Russell 2000
9,rw,6195,0.347328,0.000000,0.000000,,選模期,Russell 2000
9,V1,6195,0.305563,-0.120247,0.320669,0.668281,選模期,Russell 2000
9,V2,6195,0.306469,-0.117637,0.308728,0.657950,選模期,Russell 2000
9,V3,6195,0.305210,-0.121261,0.303785,0.653592,選模期,Russell 2000
9,V4,6195,0.317501,-0.085876,0.202547,0.653592,選模期,Russell 2000
12,rw,6066,0.402110,0.000000,0.000000,,選模期,Russell 2000
12,V1,6066,0.355937,-0.114828,0.292084,0.671118,選模期,Russell 2000
12,V2,6066,0.350570,-0.128176,0.297645,0.668810,選模期,Russell 2000
12,V3,6066,0.353732,-0.120312,0.292603,0.667491,選模期,Russell 2000
12,V4,6066,0.365301,-0.091540,0.204917,0.667491,選模期,Russell 2000
3,rw,3091,0.162692,0.000000,0.000000,,選模期,S&P 400 中型股
3,V1,3091,0.149082,-0.083658,0.143024,0.634099,選模期,S&P 400 中型股
3,V2,3091,0.150011,-0.077948,0.144792,0.629570,選模期,S&P 400 中型股
3,V3,3091,0.150291,-0.076227,0.146435,0.635393,選模期,S&P 400 中型股
3,V4,3091,0.152355,-0.063541,0.102692,0.635393,選模期,S&P 400 中型股
6,rw,3027,0.246099,0.000000,0.000000,,選模期,S&P 400 中型股
6,V1,3027,0.215763,-0.123268,0.298194,0.658408,選模期,S&P 400 中型股
6,V2,3027,0.219943,-0.106280,0.292020,0.643541,選模期,S&P 400 中型股
6,V3,3027,0.224137,-0.089238,0.288708,0.639577,選模期,S&P 400 中型股
6,V4,3027,0.229512,-0.067397,0.195667,0.639577,選模期,S&P 400 中型股
9,rw,2982,0.318683,0.000000,0.000000,,選模期,S&P 400 中型股
9,V1,2982,0.257479,-0.192053,0.358022,0.682428,選模期,S&P 400 中型股
9,V2,2982,0.256271,-0.195842,0.352599,0.681757,選模期,S&P 400 中型股
9,V3,2982,0.259478,-0.185781,0.351362,0.671697,選模期,S&P 400 中型股
9,V4,2982,0.277581,-0.128973,0.238576,0.671697,選模期,S&P 400 中型股
12,rw,2940,0.368225,0.000000,0.000000,,選模期,S&P 400 中型股
12,V1,2940,0.302072,-0.179655,0.315129,0.680612,選模期,S&P 400 中型股
12,V2,2940,0.294864,-0.199229,0.324446,0.690476,選模期,S&P 400 中型股
12,V3,2940,0.300238,-0.184634,0.326347,0.681293,選模期,S&P 400 中型股
12,V4,2940,0.318032,-0.136309,0.224431,0.681293,選模期,S&P 400 中型股
3,rw,3435,0.185144,0.000000,0.000000,,選模期,S&P 600 小型股
3,V1,3435,0.175803,-0.050454,0.179042,0.633188,選模期,S&P 600 小型股
3,V2,3435,0.177307,-0.042327,0.170800,0.628821,選模期,S&P 600 小型股
3,V3,3435,0.173397,-0.063449,0.199631,0.636972,選模期,S&P 600 小型股
3,V4,3435,0.175682,-0.051105,0.117637,0.636972,選模期,S&P 600 小型股
6,rw,3332,0.284655,0.000000,0.000000,,選模期,S&P 600 小型股
6,V1,3332,0.255795,-0.101387,0.291779,0.666567,選模期,S&P 600 小型股
6,V2,3332,0.259856,-0.087122,0.255564,0.639556,選模期,S&P 600 小型股
6,V3,3332,0.259019,-0.090062,0.267168,0.651261,選模期,S&P 600 小型股
6,V4,3332,0.264603,-0.070443,0.158272,0.651261,選模期,S&P 600 小型股
9,rw,3232,0.342250,0.000000,0.000000,,選模期,S&P 600 小型股
9,V1,3232,0.296360,-0.134083,0.326873,0.669554,選模期,S&P 600 小型股
9,V2,3232,0.300983,-0.120576,0.319842,0.664604,選模期,S&P 600 小型股
9,V3,3232,0.296236,-0.134447,0.317282,0.662438,選模期,S&P 600 小型股
9,V4,3232,0.312067,-0.088189,0.197517,0.662438,選模期,S&P 600 小型股
12,rw,3161,0.398699,0.000000,0.000000,,選模期,S&P 600 小型股
12,V1,3161,0.345706,-0.132915,0.311320,0.680165,選模期,S&P 600 小型股
12,V2,3161,0.337521,-0.153444,0.313038,0.678899,選模期,S&P 600 小型股
12,V3,3161,0.341911,-0.142433,0.307418,0.680165,選模期,S&P 600 小型股
12,V4,3161,0.360017,-0.097021,0.201827,0.680165,選模期,S&P 600 小型股
3,rw,8212,0.156968,0.000000,0.000000,,保留期,全部中小型股
3,V1,8212,0.152864,-0.026145,0.152262,0.594252,保留期,全部中小型股
3,V2,8212,0.153049,-0.024968,0.144939,0.589138,保留期,全部中小型股
3,V3,8212,0.157709,0.004719,0.152426,0.591695,保留期,全部中小型股
3,V4,8212,0.153925,-0.019389,0.098930,0.591695,保留期,全部中小型股
6,rw,7118,0.218584,0.000000,0.000000,,保留期,全部中小型股
6,V1,7118,0.203534,-0.068852,0.213717,0.618573,保留期,全部中小型股
6,V2,7118,0.208196,-0.047525,0.214945,0.607614,保留期,全部中小型股
6,V3,7118,0.205946,-0.057818,0.210412,0.617589,保留期,全部中小型股
6,V4,7118,0.206226,-0.056539,0.148272,0.617589,保留期,全部中小型股
9,rw,6112,0.262976,0.000000,0.000000,,保留期,全部中小型股
9,V1,6112,0.235204,-0.105608,0.268411,0.635962,保留期,全部中小型股
9,V2,6112,0.240345,-0.086056,0.267107,0.629418,保留期,全部中小型股
9,V3,6112,0.240795,-0.084346,0.258648,0.633999,保留期,全部中小型股
9,V4,6112,0.241098,-0.083194,0.193956,0.633999,保留期,全部中小型股
12,rw,5198,0.295571,0.000000,0.000000,,保留期,全部中小型股
12,V1,5198,0.267273,-0.095738,0.243667,0.646595,保留期,全部中小型股
12,V2,5198,0.273787,-0.073699,0.240595,0.620623,保留期,全部中小型股
12,V3,5198,0.266583,-0.098072,0.244946,0.645825,保留期,全部中小型股
12,V4,5198,0.273287,-0.075390,0.183295,0.645825,保留期,全部中小型股
3,rw,5626,0.169647,0.000000,0.000000,,保留期,Russell 2000
3,V1,5626,0.160827,-0.051991,0.157387,0.599893,保留期,Russell 2000
3,V2,5626,0.161751,-0.046543,0.146575,0.592073,保留期,Russell 2000
3,V3,5626,0.166424,-0.018995,0.158247,0.597583,保留期,Russell 2000
3,V4,5626,0.163430,-0.036646,0.100584,0.597583,保留期,Russell 2000
6,rw,4872,0.228691,0.000000,0.000000,,保留期,Russell 2000
6,V1,4872,0.211357,-0.075798,0.210550,0.631568,保留期,Russell 2000
6,V2,4872,0.217404,-0.049356,0.205169,0.615764,保留期,Russell 2000
6,V3,4872,0.215142,-0.059248,0.206721,0.630337,保留期,Russell 2000
6,V4,4872,0.216244,-0.054426,0.148072,0.630337,保留期,Russell 2000
9,rw,4177,0.271368,0.000000,0.000000,,保留期,Russell 2000
9,V1,4177,0.243364,-0.103194,0.261904,0.646636,保留期,Russell 2000
9,V2,4177,0.247802,-0.086839,0.258204,0.638736,保留期,Russell 2000
9,V3,4177,0.249008,-0.082395,0.249881,0.644721,保留期,Russell 2000
9,V4,4177,0.248136,-0.085610,0.189796,0.644721,保留期,Russell 2000
12,rw,3554,0.305998,0.000000,0.000000,,保留期,Russell 2000
12,V1,3554,0.270380,-0.116400,0.228579,0.653067,保留期,Russell 2000
12,V2,3554,0.280069,-0.084734,0.222093,0.622960,保留期,Russell 2000
12,V3,3554,0.271776,-0.111836,0.233111,0.655599,保留期,Russell 2000
12,V4,3554,0.277758,-0.092288,0.183130,0.655599,保留期,Russell 2000
3,rw,2985,0.135973,0.000000,0.000000,,保留期,S&P 400 中型股
3,V1,2985,0.134780,-0.008772,0.153895,0.583250,保留期,S&P 400 中型股
3,V2,2985,0.134286,-0.012409,0.154067,0.580235,保留期,S&P 400 中型股
3,V3,2985,0.135869,-0.000761,0.153696,0.576549,保留期,S&P 400 中型股
3,V4,2985,0.133328,-0.019448,0.104929,0.576549,保留期,S&P 400 中型股
6,rw,2621,0.193561,0.000000,0.000000,,保留期,S&P 400 中型股
6,V1,2621,0.180448,-0.067744,0.257079,0.605113,保留期,S&P 400 中型股
6,V2,2621,0.186569,-0.036122,0.269945,0.601297,保留期,S&P 400 中型股
6,V3,2621,0.186962,-0.034092,0.254518,0.599008,保留期,S&P 400 中型股
6,V4,2621,0.181351,-0.063079,0.169034,0.599008,保留期,S&P 400 中型股
9,rw,2275,0.235053,0.000000,0.000000,,保留期,S&P 400 中型股
9,V1,2275,0.220029,-0.063919,0.306394,0.619341,保留期,S&P 400 中型股
9,V2,2275,0.225835,-0.039217,0.311645,0.613187,保留期,S&P 400 中型股
9,V3,2275,0.227803,-0.030846,0.304476,0.612747,保留期,S&P 400 中型股
9,V4,2275,0.218805,-0.069124,0.216101,0.612747,保留期,S&P 400 中型股
12,rw,1950,0.279376,0.000000,0.000000,,保留期,S&P 400 中型股
12,V1,1950,0.253491,-0.092653,0.297442,0.642051,保留期,S&P 400 中型股
12,V2,1950,0.258597,-0.074373,0.302319,0.628205,保留期,S&P 400 中型股
12,V3,1950,0.256335,-0.082472,0.295008,0.637436,保留期,S&P 400 中型股
12,V4,1950,0.262559,-0.060194,0.196397,0.637436,保留期,S&P 400 中型股
3,rw,3483,0.161644,0.000000,0.000000,,保留期,S&P 600 小型股
3,V1,3483,0.155002,-0.041088,0.164811,0.590870,保留期,S&P 600 小型股
3,V2,3483,0.156858,-0.029605,0.156683,0.585415,保留期,S&P 600 小型股
3,V3,3483,0.163695,0.012692,0.167400,0.593167,保留期,S&P 600 小型股
3,V4,3483,0.158173,-0.021471,0.107479,0.593167,保留期,S&P 600 小型股
6,rw,2997,0.219945,0.000000,0.000000,,保留期,S&P 600 小型股
6,V1,2997,0.206994,-0.058882,0.195731,0.618952,保留期,S&P 600 小型股
6,V2,2997,0.206016,-0.063328,0.202035,0.613280,保留期,S&P 600 小型股
6,V3,2997,0.211582,-0.038024,0.196524,0.617284,保留期,S&P 600 小型股
6,V4,2997,0.208816,-0.050597,0.148930,0.617284,保留期,S&P 600 小型股
9,rw,2558,0.273433,0.000000,0.000000,,保留期,S&P 600 小型股
9,V1,2558,0.237396,-0.131793,0.255556,0.631353,保留期,S&P 600 小型股
9,V2,2558,0.248926,-0.089625,0.253600,0.626271,保留期,S&P 600 小型股
9,V3,2558,0.257442,-0.058479,0.233383,0.628616,保留期,S&P 600 小型股
9,V4,2558,0.250827,-0.082674,0.181233,0.628616,保留期,S&P 600 小型股
