ticker,sector,period_end,month_end,price,mc,ni_ttm,pe_now,m_ttm,m_bar,stale,n_quarters,fin_age_days,implied_m,ni_hat_12,lnpe_hat_6,lnpe_hat_12,lnpe_hat_24,lnpe_flat_12,m_hat_12,ni_hat_6,ni_hat_24,ens_3,ens_6,ens_9,ens_12,ens_18,ens_24,ens_36,adj,core_pe_now,core_lnpe_hat_12,core_lnpe_hat_24,core_ni_hat_12,core_ni_ttm,core_implied_m,core_ens_12,group,status,fin_src,px_src,split_adj
AAOI,光通訊,2026-06-30,2026-09-30,101.06,8.24326e+09,-5.702e+07,-144.568,-0.095676,-0.147167,False,9,92,0.477446,-5.01369e+07,,,5.69898,,-0.0542824,-6.61969e+07,3.34538e+07,,,,,4.14812,4.58325,4.83432,True,-127.261,,5.92985,-5.58627e+07,-6.47747e+07,0.477869,,光通訊,ok,loosygoosie(12季),stell0,1
AAPL,那斯達克其他,2026-06-27,2026-09-30,337.02,4.96292e+12,1.2893e+11,38.4932,0.276186,0.256798,False,68,95,0.377609,1.62135e+11,3.58374,3.51732,3.40342,3.42132,0.293128,1.44606e+11,2.00002e+11,3.62119,3.5909,3.54989,3.51681,3.54338,3.53382,3.50208,False,38.4932,3.51732,3.40342,1.62135e+11,1.2893e+11,0.377609,3.51681,那斯達克其他,ok,SEC鏡像+AXIOM+1季,stell0,1
AMAT,半導體設備,2026-07-26,2026-09-30,474.38,3.79504e+11,9.267e+09,40.9522,0.300516,0.256944,False,68,66,0.583719,1.23803e+10,3.61627,3.51876,3.30495,3.42276,0.318724,1.07037e+10,1.68764e+10,3.64173,3.62427,3.5988,3.49901,3.42965,3.39041,3.36557,True,49.324,3.60051,3.36713,1.14084e+10,7.6941e+09,0.583781,3.51823,半導體設備,ok,SEC鏡像+AXIOM+1季,blake,1
AMD,那斯達克其他,2026-06-27,2026-09-30,614.61,1.01964e+12,6.434e+09,158.477,0.155768,0.10173,False,63,95,0.707586,1.35908e+10,4.67351,4.41381,3.96631,4.31781,0.221978,9.99113e+09,2.34037e+10,4.62077,4.45155,4.11588,4.03429,3.93572,3.9776,3.87755,True,158.477,4.43806,3.9968,1.32652e+10,6.434e+09,0.708874,4.0515,那斯達克其他,ok,SEC鏡像+AXIOM+1季,blake,1
AMZN,四大CSP,2026-06-30,2026-09-30,249.27,2.71779e+12,1.35281e+11,20.09,0.174403,0.0819569,False,67,92,0.178581,1.60975e+11,2.81777,2.92233,2.94854,2.82633,0.180855,1.70342e+11,1.72611e+11,2.95136,2.92427,2.97913,3.10551,3.17229,3.12052,3.12491,True,34.9226,3.34847,3.21668,1.05121e+11,7.78233e+10,0.180378,3.42871,四大CSP,ok,SEC鏡像+AXIOM+1季,blake,1
ANET,光通訊,2025-09-30,2026-01-31,141.74,1.80945e+11,3.3566e+09,53.9074,0.397309,0.335991,True,44,365,0.555121,4.21232e+09,3.92227,3.85618,3.69103,3.76018,0.400976,3.75813e+09,5.4694e+09,3.9492,3.91299,3.83959,3.80557,3.81617,3.82866,3.69887,False,53.9074,3.85618,3.69103,4.21232e+09,3.3566e+09,0.555121,3.80557,光通訊,ok,SEC鏡像+AXIOM+3季,stell0,1
AVAV,軍工,2026-08-01,2026-09-30,155.94,7.76934e+09,-2.02818e+08,-38.3069,-0.101274,-0.00270922,False,28,60,0.225733,-4.20587e+07,,,4.70199,,-0.0189013,-1.35011e+08,8.54517e+07,,,,,,,3.71341,False,-38.3069,,4.70199,-4.20587e+07,-2.02818e+08,0.225733,,軍工,ok,yennanliu+AXIOM+1季,yen,1
AVGO,那斯達克其他,2026-05-03,2026-09-30,354.99,1.73519e+12,2.9317e+10,59.1872,0.388485,0.342618,False,35,150,0.63151,4.23245e+10,3.91048,3.80951,3.56995,3.71351,0.40553,3.64666e+10,5.91999e+10,3.97691,3.91331,3.94118,3.88115,3.78231,3.70248,3.55981,True,63.8389,3.84326,3.59654,4.09198e+10,2.71808e+10,0.632435,3.86432,那斯達克其他,ok,SEC鏡像,blake,1
CEG,電力,2025-09-30,2026-01-31,280.68,8.81335e+10,2.739e+09,32.1773,0.114249,0.018959,True,16,365,0.212141,2.48177e+09,3.52386,3.66588,3.44186,3.56988,0.106236,2.72642e+09,3.41777e+09,3.51835,3.58839,3.61459,3.6866,3.75586,3.6523,3.41766,True,29.3353,3.55096,3.36591,2.784e+09,3.00435e+09,0.210071,3.64215,電力,ok,SEC鏡像+AXIOM+3季,blake,1
CIEN,光通訊,2026-08-01,2026-09-30,355.91,5.20746e+10,6.5441e+08,79.5749,0.10869,0.0414126,False,9,60,0.317128,9.93891e+08,4.12538,4.05481,3.83906,3.95881,0.132838,8.82756e+08,1.35746e+09,4.19189,4.04021,3.96532,3.95246,3.84645,3.87487,3.85674,False,79.5749,4.05481,3.83906,9.93891e+08,6.5441e+08,0.317128,3.95246,光通訊,ok,loosygoosie(12季),stell0,1
COHR,光通訊,2026-06-30,2026-09-30,300.6,5.90279e+10,8.04998e+08,73.3268,0.11309,0.0148455,False,9,92,0.399341,1.1461e+09,4.13221,4.03765,3.65177,3.94165,0.125868,9.9382e+08,1.85566e+09,4.09343,4.13051,3.98197,3.85146,3.72296,3.7808,3.72889,False,73.3268,4.03765,3.65177,1.1461e+09,8.04998e+08,0.399341,3.85146,光通訊,ok,loosygoosie(12季),stell0,1
COP,能源,2025-09-30,2026-01-31,104.23,1.31226e+11,8.852e+09,14.8244,0.152374,0.177893,True,64,365,0.16183,9.05479e+09,2.76218,2.76962,2.76287,2.67362,0.150569,8.69493e+09,1.00347e+10,2.77652,2.82617,2.93149,2.90225,2.98667,2.92505,3.0654,False,14.8244,2.76962,2.76287,9.05479e+09,8.852e+09,0.16183,2.90225,能源,ok,SEC鏡像+AXIOM+3季,stell0,1
CRDO,光通訊,2026-08-01,2026-09-30,193.87,3.76841e+10,5.38305e+08,70.005,0.338334,0.216335,False,9,60,0.351289,6.8206e+08,4.18615,4.10787,3.94389,4.01187,0.323644,6.0115e+08,8.84572e+08,4.26309,4.31253,4.33497,4.25858,4.41823,4.35236,3.84479,False,70.005,4.10787,3.94389,6.8206e+08,5.38305e+08,0.351289,4.25858,光通訊,ok,loosygoosie(12季),stell0,1
CRWD,那斯達克其他,2025-10-31,2026-02-28,371.98,9.34882e+10,-3.14161e+08,-297.581,-0.068817,-0.0690866,True,28,334,0.630825,-6.26202e+07,,,5.40095,,-0.0111122,-2.23748e+08,5.1114e+08,,,,,4.53611,4.56732,4.19452,False,-297.581,,5.40095,-6.26202e+07,-3.14161e+08,0.630825,,那斯達克其他,ok,SEC鏡像+AXIOM+3季,stell0,1
CSCO,那斯達克其他,2026-04-25,2026-08-31,110.49,4.40192e+11,1.1958e+10,36.8115,0.196852,0.20639,True,68,158,0.288764,1.60581e+10,3.5096,3.407,3.23069,3.311,0.221929,1.3813e+10,2.10842e+10,3.57055,3.52781,3.5068,3.42453,3.37918,3.30092,3.21777,False,36.8115,3.407,3.23069,1.60581e+10,1.1958e+10,0.288764,3.42453,那斯達克其他,ok,SEC鏡像,stell0,1
CVX,能源,2025-09-30,2026-01-31,176.9,3.44254e+11,1.2768e+10,26.9622,0.0662148,0.0967927,True,68,365,0.133407,1.8515e+10,3.17762,3.0188,2.9066,2.9228,0.0929916,1.50557e+10,2.28003e+10,3.30049,3.29103,3.27526,3.21687,3.22966,3.13041,3.06112,False,26.9622,3.0188,2.9066,1.8515e+10,1.2768e+10,0.133407,3.21687,能源,ok,SEC鏡像+AXIOM+3季,stell0,1
FN,光通訊,2026-06-26,2026-09-30,401.57,1.45774e+10,4.73027e+08,30.8173,0.101921,0.0987439,False,9,96,0.12264,5.5022e+08,3.40471,3.37291,3.188,3.27691,0.0987216,5.08017e+08,7.28677e+08,3.40332,3.41431,3.42447,3.47719,3.54214,3.49937,3.41241,False,30.8173,3.37291,3.188,5.5022e+08,4.73027e+08,0.12264,3.47719,光通訊,ok,loosygoosie(12季),natezone,1
GD,軍工,2025-09-28,2026-01-31,351.09,9.57212e+10,4.215e+09,22.7097,0.0818304,0.0806285,True,64,367,0.118599,5.16089e+09,3.07177,3.01633,2.93672,2.92033,0.0920993,4.65374e+09,6.15163e+09,3.13417,3.13935,3.21026,3.13576,3.19826,3.15929,3.2216,False,22.7097,3.01633,2.93672,5.16089e+09,4.215e+09,0.118599,3.13576,軍工,ok,SEC鏡像+AXIOM+2季,stell0,1
GEV,電力,2025-09-30,2026-01-31,726.37,2.00478e+11,1.704e+09,117.651,0.0452349,0.0196117,True,8,365,0.241693,3.16962e+09,4.52147,4.24309,3.82125,4.14709,0.0727711,2.28699e+09,5.31993e+09,4.58719,4.46063,4.197,3.99627,3.76141,3.7271,3.63599,True,117.651,4.24309,3.82125,3.16962e+09,1.704e+09,0.241693,3.99627,電力,ok,SEC鏡像+AXIOM+3季,blake,1
GLW,光通訊,2025-09-30,2026-01-31,103.25,8.9621e+10,1.366e+09,65.6083,0.0915857,0.080936,True,64,365,0.260575,2.45764e+09,3.8996,3.69239,3.48188,3.59639,0.133197,1.90406e+09,3.33912e+09,4.05263,3.92204,3.75501,3.58307,3.52672,3.60448,3.56128,True,56.4631,3.63625,3.44005,2.59956e+09,1.58725e+09,0.260285,3.55993,光通訊,ok,SEC鏡像+AXIOM+2季,stell0,1
GOOGL,四大CSP,2026-06-30,2026-09-30,337.83,4.15835e+12,2.44205e+11,17.0281,0.547709,0.276895,False,43,92,0.367459,2.63404e+11,2.72631,2.85518,2.92085,2.75918,0.505971,2.85591e+11,2.71517e+11,2.83053,2.82954,2.95013,3.31296,3.40564,3.32132,3.32812,True,31.8114,3.34876,3.26337,1.60792e+11,1.30719e+11,0.376462,3.44153,四大CSP,ok,SEC鏡像+AXIOM+1季,blake,1
INTC,那斯達克其他,2026-06-27,2026-09-30,122.6,6.2575e+11,-1.1289e+10,-55.4301,-0.197942,-0.029788,False,67,95,0.658393,-9.4018e+09,,,,,-0.118171,-1.5004e+10,-6.24109e+08,,,,,3.30979,,3.70018,True,-49.5642,,,-1.03498e+10,-1.2625e+10,0.658289,,那斯達克其他,ok,SEC鏡像+AXIOM+1季,yen,1
KLAC,半導體設備,2025-09-30,2026-01-31,1427.94,1.90987e+11,4.23684e+09,45.0777,0.338289,0.32154,True,62,365,0.41968,5.49904e+09,3.72536,3.64363,3.52573,3.54763,0.366479,4.83e+09,6.81054e+09,3.7579,3.74799,3.59501,3.57647,3.63328,3.60597,3.46411,False,45.0777,3.64363,3.52573,5.49904e+09,4.23684e+09,0.41968,3.57647,半導體設備,ok,SEC鏡像+AXIOM+2季,stell0,1
KTOS,軍工,2026-06-28,2026-09-30,46.16,8.77502e+09,3.09e+07,283.981,0.0202956,0.00647006,False,39,94,0.29198,6.06903e+07,5.77983,5.06988,4.0947,4.97388,0.0342986,2.8441e+07,1.77145e+08,5.15441,5.30562,4.74276,4.64933,4.41899,4.1815,3.96908,False,283.981,5.06988,4.0947,6.06903e+07,3.09e+07,0.29198,4.64933,軍工,ok,yennanliu+AXIOM+2季,yen,1
LHX,軍工,2025-10-03,2026-01-31,342.85,6.44901e+10,1.759e+09,36.6629,0.0809108,0.0797823,True,66,362,0.231997,2.65018e+09,3.45486,3.28788,3.07068,3.19188,0.108613,2.13753e+09,3.6249e+09,3.58092,3.50537,3.57342,3.3982,3.34982,3.29896,3.30644,False,36.6629,3.28788,3.07068,2.65018e+09,1.759e+09,0.231997,3.3982,軍工,ok,SEC鏡像+AXIOM+3季,stell0,1
LITE,光通訊,2026-06-27,2026-09-30,937,9.01394e+10,-6.9351e+09,-12.9976,-2.30096,-0.182604,False,9,95,0.627651,-1.63758e+09,,,,,-0.321749,-1.89547e+09,-1.21584e+09,,,,,3.89782,,,True,204.648,5.0301,4.68066,6.48727e+08,4.4046e+08,0.736667,4.68528,光通訊,ok,loosygoosie(12季),stell0,1
LMT,軍工,2025-09-28,2026-01-31,634.22,1.48598e+11,4.2e+09,35.3804,0.0572605,0.0993205,True,60,367,0.120187,8.5831e+09,3.18639,2.94745,2.89899,2.85145,0.10313,6.44209e+09,9.91698e+09,3.43162,3.25498,3.21775,3.11663,3.17732,3.16473,3.15781,False,35.3804,2.94745,2.89899,8.5831e+09,4.2e+09,0.120187,3.11663,軍工,ok,SEC鏡像+AXIOM+3季,stell0,1
LRCX,半導體設備,2026-03-29,2026-07-31,293.02,3.69715e+11,6.7082e+09,55.1139,0.309392,0.273121,True,64,185,0.530372,8.83575e+09,3.91638,3.82993,3.67245,3.73393,0.335345,7.72416e+09,1.13848e+10,3.9252,3.92176,3.90239,3.81352,3.71348,3.7505,3.57757,False,55.1139,3.82993,3.67245,8.83575e+09,6.7082e+09,0.530372,3.81352,半導體設備,ok,SEC鏡像,blake,1
META,四大CSP,2026-03-31,2026-07-31,556.71,1.43297e+12,7.0587e+10,20.3008,0.328368,0.339257,True,54,183,0.289054,8.50163e+10,2.88608,2.92066,2.98075,2.82466,0.344651,8.3883e+10,8.81247e+10,2.9815,2.8972,2.98505,3.08862,3.13279,3.09779,3.02871,True,18.3712,2.94644,2.98183,8.28526e+10,7.8001e+10,0.29278,3.11153,四大CSP,ok,SEC鏡像,blake,1
MRVL,光通訊,2026-05-02,2026-08-31,211.66,1.89076e+11,2.5267e+09,74.8312,0.289856,-0.0312414,True,22,151,0.636027,2.0153e+09,4.70396,4.63738,4.12613,4.54138,0.169348,1.79713e+09,3.69883e+09,4.20135,4.34352,4.19235,4.09729,4.03924,4.16459,3.98169,True,203.41,4.94115,4.32235,1.48735e+09,9.2953e+08,0.631979,4.34006,光通訊,ok,yennanliu+AXIOM+1季,yen,1
