群組,h,公司數,n,本益比不變,模型,改善,OOS_R2,方向命中,模型較準的公司,市值中位_億美元
S&P 500,3,421,2886,0.134329,0.130574,-0.027951,0.118065,0.573805,0.562945,436.874062
S&P 500,6,417,1631,0.189674,0.177773,-0.062747,0.206886,0.621091,0.577938,434.397900
S&P 500,9,406,406,0.221597,0.206721,-0.067133,0.268274,0.618227,0.561576,434.472863
Nasdaq-100,3,83,560,0.157193,0.159815,0.016683,0.131489,0.550000,0.602410,880.051460
Nasdaq-100,6,81,317,0.237609,0.216617,-0.088347,0.187089,0.567823,0.518519,842.897904
Nasdaq-100,9,78,78,0.277054,0.274551,-0.009034,0.251317,0.551282,0.512821,852.848800
S&P 400 中型股,3,340,2297,0.153234,0.151150,-0.013597,0.108070,0.590335,0.511765,81.804576
S&P 400 中型股,6,338,1299,0.226661,0.207427,-0.084859,0.244273,0.614319,0.606509,80.447250
S&P 400 中型股,9,323,323,0.248967,0.220416,-0.114681,0.340963,0.609907,0.560372,80.318384
S&P 600 小型股,3,458,2955,0.169084,0.160968,-0.048001,0.122067,0.605415,0.598253,28.295032
S&P 600 小型股,6,428,1638,0.249802,0.230888,-0.075714,0.236110,0.629426,0.581776,27.302034
S&P 600 小型股,9,403,403,0.320307,0.284494,-0.111809,0.331061,0.622829,0.568238,26.834048
Russell 2000,3,997,6254,0.164855,0.158019,-0.041467,0.099230,0.614327,0.588766,13.469867
Russell 2000,6,909,3379,0.230573,0.215058,-0.067288,0.230338,0.634507,0.596260,13.649806
Russell 2000,9,822,822,0.277632,0.244406,-0.119678,0.296612,0.644769,0.574209,13.706075
其他,3,220,1252,0.187291,0.195633,0.044541,-0.141179,0.563898,0.477273,2.099323
其他,6,184,637,0.234683,0.238972,0.018274,-0.044430,0.576138,0.543478,3.691069
其他,9,147,147,0.305038,0.244956,-0.196966,0.334564,0.666667,0.585034,8.339287
